"trimestre","brecha"
"2003-3","53.94054"
"2003-4","46.79403"
"2004-1","39.22482"
"2004-2",""
"2004-3","36.74550"
"2004-4","36.25791"
"2005-1","34.90095"
"2005-2","33.33090"
"2005-3","36.36726"
"2005-4","29.45200"
"2006-1","34.66045"
"2006-2","30.12952"
"2006-3","31.95052"
"2006-4","31.01602"
"2007-1","29.46265"
"2007-2","25.44948"
"2007-3",""
"2007-4","27.97652"
"2008-1","28.44917"
"2008-2","24.30423"
"2008-3","28.22510"
"2008-4","23.62746"
"2009-1","26.30435"
"2009-2","26.39722"
"2009-3","28.13046"
"2009-4","23.48705"
"2010-1","23.78182"
"2010-2","21.86756"
"2010-3","22.61861"
"2010-4","21.06400"
"2011-1","20.20804"
"2011-2","20.91379"
"2011-3","21.28001"
"2011-4","18.53366"
"2012-1","21.06278"
"2012-2","18.15207"
"2012-3","21.29815"
"2012-4","16.69654"
"2013-1","18.91912"
"2013-2","17.45415"
"2013-3","20.12604"
"2013-4","17.62206"
"2014-1","18.41527"
"2014-2","18.60816"
"2014-3","19.81977"
"2014-4","18.05050"
"2015-1","17.82402"
"2015-2","16.30297"
"2015-3",""
"2015-4",""
"2016-1",""
"2016-2","18.98632"
"2016-3","22.26254"
"2016-4","18.76025"
"2017-1","21.85018"
"2017-2","19.64971"
"2017-3","19.91416"
"2017-4","16.95152"
"2018-1","20.27845"
"2018-2","18.09168"
"2018-3","19.29756"
"2018-4","19.97851"
"2019-1","21.20288"
"2019-2","20.42495"
"2019-3","23.14634"
"2019-4","20.85105"
"2020-1","22.70183"
"2020-2","25.23428"
"2020-3","21.58944"
"2020-4","20.95254"
"2021-1","22.94404"
"2021-2","19.97744"
"2021-3","20.49504"
"2021-4","16.54309"
"2022-1","20.36072"
"2022-2","16.29134"
"2022-3","16.79863"
"2022-4","15.46130"
"2023-1","18.99050"
"2023-2","16.37007"
"2023-3","18.85358"
"2023-4","18.13020"
"2024-1","22.79742"
"2024-2","18.66473"
"2024-3","17.59647"
"2024-4","16.78283"
"2025-1","19.04792"
"2025-2","17.56668"
