"decil","variable","valor"
"1","EPH","1.77787244319916"
"1","ajustados","1.50804209709167"
"2","EPH","3.11381363868713"
"2","ajustados","2.35891270637512"
"3","EPH","4.09319400787354"
"3","ajustados","3.05102586746216"
"4","EPH","5.13310432434082"
"4","ajustados","3.82251858711243"
"5","EPH","6.29121160507202"
"5","ajustados","4.71476078033447"
"6","EPH","7.71133136749268"
"6","ajustados","5.9257755279541"
"7","EPH","9.47066211700439"
"7","ajustados","7.49893522262573"
"8","EPH","12.0724029541016"
"8","ajustados","10.1262311935425"
"9","EPH","16.5074634552002"
"9","ajustados","14.8458528518677"
"10","EPH","33.8289451599121"
"10","ajustados","46.14794921875"
