"ano","variable","valor"
"1992","e612","0.99742"
"1993","e612","0.99878"
"1994","e612","0.99862"
"1995","e612","0.96293"
"1996","e612","0.97325"
"1997","e612","0.96897"
"1998","e612","0.94971"
"1999","e612","0.95868"
"2000","e612","0.96253"
"2001","e612","0.95857"
"2002","e612","0.95883"
"2003","e612","0.95310"
"2004","e612","0.95435"
"2005","e612","0.95410"
"2006","e612","0.96065"
"2007","e612","0.96827"
"2008","e612","0.96644"
"2009","e612","0.96021"
"2010","e612","0.97229"
"2011","e612","0.97911"
"2012","e612","0.98250"
"2013","e612","0.97850"
"2014","e612","0.98538"
"2015","e612","0.98899"
"2016","e612","0.99563"
"2017","e612","0.99560"
"2018","e612","0.99381"
"2019","e612","0.99415"
"2020","e612","0.99618"
"2021","e612","0.99688"
"2022","e612","0.99654"
"2023","e612","0.99570"
"2024","e612","0.99080"
"2025","e612","0.99000"
"1992","e1319","0.86844"
"1993","e1319","0.86356"
"1994","e1319","0.86030"
"1995","e1319","0.84501"
"1996","e1319","0.85533"
"1997","e1319","0.84551"
"1998","e1319","0.84004"
"1999","e1319","0.85992"
"2000","e1319","0.85629"
"2001","e1319","0.86030"
"2002","e1319","0.87554"
"2003","e1319","0.87378"
"2004","e1319","0.87369"
"2005","e1319","0.85694"
"2006","e1319","0.86111"
"2007","e1319","0.87191"
"2008","e1319","0.88076"
"2009","e1319","0.88240"
"2010","e1319","0.89184"
"2011","e1319","0.89092"
"2012","e1319","0.90892"
"2013","e1319","0.90590"
"2014","e1319","0.90509"
"2015","e1319","0.91909"
"2016","e1319","0.91999"
"2017","e1319","0.92109"
"2018","e1319","0.92817"
"2019","e1319","0.92598"
"2020","e1319","0.93894"
"2021","e1319","0.94113"
"2022","e1319","0.93652"
"2023","e1319","0.94710"
"2024","e1319","0.96540"
"2025","e1319","0.95750"
"1992","e2025","0.75591"
"1993","e2025","0.75268"
"1994","e2025","0.74784"
"1995","e2025","0.73732"
"1996","e2025","0.74798"
"1997","e2025","0.74924"
"1998","e2025","0.73265"
"1999","e2025","0.74046"
"2000","e2025","0.74239"
"2001","e2025","0.73652"
"2002","e2025","0.74985"
"2003","e2025","0.76229"
"2004","e2025","0.76162"
"2005","e2025","0.75054"
"2006","e2025","0.77724"
"2007","e2025","0.78186"
"2008","e2025","0.77876"
"2009","e2025","0.78444"
"2010","e2025","0.78860"
"2011","e2025","0.80631"
"2012","e2025","0.80844"
"2013","e2025","0.80201"
"2014","e2025","0.81973"
"2015","e2025","0.81876"
"2016","e2025","0.82458"
"2017","e2025","0.81722"
"2018","e2025","0.83870"
"2019","e2025","0.81961"
"2020","e2025","0.82613"
"2021","e2025","0.83682"
"2022","e2025","0.84842"
"2023","e2025","0.86450"
"2024","e2025","0.86200"
"2025","e2025","0.87590"
