"ano","variable","valor"
"1992","brechaempleo","17.95793"
"1993","brechaempleo","18.47930"
"1994","brechaempleo","19.88429"
"1995","brechaempleo","19.71603"
"1996","brechaempleo","18.26681"
"1997","brechaempleo","17.75212"
"1998","brechaempleo","19.87134"
"1999","brechaempleo","18.57698"
"2000","brechaempleo","17.73669"
"2001","brechaempleo","20.42993"
"2002","brechaempleo","20.26683"
"2003","brechaempleo","20.10372"
"2004","brechaempleo","19.28460"
"2005","brechaempleo","18.55630"
"2006","brechaempleo","17.73550"
"2007","brechaempleo","19.67279"
"2008","brechaempleo","19.13070"
"2009","brechaempleo","19.27829"
"2010","brechaempleo","18.33974"
"2011","brechaempleo","16.88462"
"2012","brechaempleo","18.35602"
"2013","brechaempleo","19.57728"
"2014","brechaempleo","19.65947"
"2015","brechaempleo","18.85373"
"2016","brechaempleo","18.45544"
"2017","brechaempleo","18.88604"
"2018","brechaempleo","19.57394"
"2019","brechaempleo","20.85746"
"2020","brechaempleo","19.92880"
"2021","brechaempleo","18.69893"
"2022","brechaempleo","17.46906"
"2023","brechaempleo","17.95243"
"2024","brechaempleo","17.86547"
"2025","brechaempleo","18.21671"
"1992","brechahoras","-5.17343"
"1993","brechahoras","-3.95249"
"1994","brechahoras","-4.22475"
"1995","brechahoras","-2.39437"
"1996","brechahoras","-0.80240"
"1997","brechahoras","-2.20934"
"1998","brechahoras","-3.07366"
"1999","brechahoras","-2.85059"
"2000","brechahoras","-1.70209"
"2001","brechahoras","-1.15334"
"2002","brechahoras","-1.20193"
"2003","brechahoras","-1.25053"
"2004","brechahoras","-1.10455"
"2005","brechahoras","-1.13207"
"2006","brechahoras","-1.59674"
"2007","brechahoras","-1.30490"
"2008","brechahoras","-1.35174"
"2009","brechahoras","-0.89132"
"2010","brechahoras","-1.98317"
"2011","brechahoras","-1.19929"
"2012","brechahoras","-0.82373"
"2013","brechahoras","-1.67511"
"2014","brechahoras","-1.21078"
"2015","brechahoras","-0.91552"
"2016","brechahoras","-1.09389"
"2017","brechahoras","-0.41178"
"2018","brechahoras","-0.17377"
"2019","brechahoras","-0.61838"
"2020","brechahoras","1.20463"
"2021","brechahoras","0.74996"
"2022","brechahoras","0.29530"
"2023","brechahoras","0.14709"
"2024","brechahoras","0.44184"
"2025","brechahoras","-0.33415"
