"ano","variable","valor"
"1992","cv","0.26463"
"1993","cv","0.24500"
"1994","cv","0.24519"
"1995","cv","0.28084"
"1996","cv","0.28752"
"1997","cv","0.27178"
"1998","cv","0.25672"
"1999","cv","0.25330"
"2000","cv","0.27138"
"2001","cv","0.27480"
"2002","cv","0.28035"
"2003","cv","0.27941"
"2004","cv","0.31545"
"2005","cv","0.32465"
"2006","cv","0.32264"
"2007","cv","0.32650"
"2008","cv","0.33018"
"2009","cv","0.30195"
"2010","cv","0.31323"
"2011","cv","0.28660"
"2012","cv","0.29183"
"2013","cv","0.26496"
"2014","cv","0.27334"
"2015","cv","0.27462"
"2016","cv","0.23190"
"2017","cv","0.22106"
"2018","cv","0.23362"
"2019","cv","0.23182"
"2020","cv","0.19456"
"2021","cv","0.22182"
"2022","cv","0.23279"
"2023","cv","0.22957"
"2024","cv","0.24990"
"1992","brechagbanea","1.77956"
"1993","brechagbanea","1.77968"
"1994","brechagbanea","1.76103"
"1995","brechagbanea","1.88794"
"1996","brechagbanea","1.94744"
"1997","brechagbanea","1.90840"
"1998","brechagbanea","1.87875"
"1999","brechagbanea","1.89021"
"2000","brechagbanea","1.93686"
"2001","brechagbanea","1.90222"
"2002","brechagbanea","1.86176"
"2003","brechagbanea","1.85255"
"2004","brechagbanea","1.94576"
"2005","brechagbanea","1.88924"
"2006","brechagbanea","1.75653"
"2007","brechagbanea","1.84173"
"2008","brechagbanea","1.82179"
"2009","brechagbanea","1.73886"
"2010","brechagbanea","1.80906"
"2011","brechagbanea","1.67485"
"2012","brechagbanea","1.70414"
"2013","brechagbanea","1.64173"
"2014","brechagbanea","1.54682"
"2015","brechagbanea","1.49348"
"2016","brechagbanea","1.43158"
"2017","brechagbanea","1.44481"
"2018","brechagbanea","1.42380"
"2019","brechagbanea","1.45750"
"2020","brechagbanea","1.30124"
"2021","brechagbanea","1.45952"
"2022","brechagbanea","1.45030"
"2023","brechagbanea","1.42682"
"2024","brechagbanea","1.63498"
