"ano","variable","valor"
"1986","quintil1","6.74010"
"1987","quintil1","6.76789"
"1988","quintil1","6.79569"
"1989","quintil1","6.95030"
"1990","quintil1","7.10492"
"1991","quintil1","7.25953"
"1992","quintil1","7.37783"
"1993","quintil1","7.22315"
"1994","quintil1","7.28106"
"1995","quintil1","7.14267"
"1996","quintil1","7.00428"
"1997","quintil1","7.18363"
"1998","quintil1","7.01373"
"1999","quintil1","7.20768"
"2000","quintil1","7.19080"
"2001","quintil1","7.20809"
"2002","quintil1","7.35304"
"2003","quintil1","7.36629"
"2004","quintil1","7.89756"
"2005","quintil1","7.93103"
"2006","quintil1","7.93490"
"2007","quintil1","8.14490"
"2008","quintil1","8.35038"
"2009","quintil1","8.43991"
"2010","quintil1","8.75228"
"2011","quintil1","8.99696"
"2012","quintil1","9.12394"
"2013","quintil1","9.25986"
"2014","quintil1","9.19565"
"2015","quintil1","9.17554"
"2016","quintil1","9.07772"
"2017","quintil1","9.29267"
"2018","quintil1","9.41987"
"2019","quintil1","9.29324"
"2020","quintil1","9.64404"
"2021","quintil1","9.98565"
"2022","quintil1","9.98363"
"2023","quintil1","10.07674"
"2024","quintil1","9.91762"
"2025","quintil1","10.11698"
"1986","quintil5","11.67292"
"1987","quintil5","11.80636"
"1988","quintil5","11.93981"
"1989","quintil5","11.99332"
"1990","quintil5","12.04683"
"1991","quintil5","12.10033"
"1992","quintil5","12.19109"
"1993","quintil5","12.15273"
"1994","quintil5","12.24647"
"1995","quintil5","12.42662"
"1996","quintil5","12.60676"
"1997","quintil5","12.70436"
"1998","quintil5","12.99734"
"1999","quintil5","12.95229"
"2000","quintil5","13.20551"
"2001","quintil5","13.18650"
"2002","quintil5","13.37478"
"2003","quintil5","13.31454"
"2004","quintil5","13.49074"
"2005","quintil5","13.53113"
"2006","quintil5","13.66430"
"2007","quintil5","13.71828"
"2008","quintil5","13.55423"
"2009","quintil5","13.65256"
"2010","quintil5","13.80668"
"2011","quintil5","13.74790"
"2012","quintil5","13.60741"
"2013","quintil5","13.76906"
"2014","quintil5","13.84469"
"2015","quintil5","13.72467"
"2016","quintil5","13.86017"
"2017","quintil5","13.96211"
"2018","quintil5","14.13690"
"2019","quintil5","14.32543"
"2020","quintil5","14.43082"
"2021","quintil5","14.30880"
"2022","quintil5","14.31977"
"2023","quintil5","14.30930"
"2024","quintil5","14.62471"
"2025","quintil5","14.41224"
"1986","brecha","4.91613"
"1987","brecha","5.01717"
"1988","brecha","5.11822"
"1989","brecha","5.02812"
"1990","brecha","4.93802"
"1991","brecha","4.84793"
"1992","brecha","4.82615"
"1993","brecha","4.94032"
"1994","brecha","4.97627"
"1995","brecha","5.29100"
"1996","brecha","5.60573"
"1997","brecha","5.52602"
"1998","brecha","5.98361"
"1999","brecha","5.74461"
"2000","brecha","6.01470"
"2001","brecha","5.97841"
"2002","brecha","6.02173"
"2003","brecha","5.94824"
"2004","brecha","5.59318"
"2005","brecha","5.60010"
"2006","brecha","5.72940"
"2007","brecha","5.57338"
"2008","brecha","5.20385"
"2009","brecha","5.21265"
"2010","brecha","5.05440"
"2011","brecha","4.75094"
"2012","brecha","4.48348"
"2013","brecha","4.50920"
"2014","brecha","4.64903"
"2015","brecha","4.54913"
"2016","brecha","4.78245"
"2017","brecha","4.66943"
"2018","brecha","4.71703"
"2019","brecha","5.03220"
"2020","brecha","4.78679"
"2021","brecha","4.32315"
"2022","brecha","4.33614"
"2023","brecha","4.23256"
"2024","brecha","4.70708"
"2025","brecha","4.29526"
