"iso3","pais","consumo_per_capita"
"ISL","Islandia","87.1"
"MDV","Maldivas","80.08"
"KIR","Kiribati","72.99"
"MAC","Macao","68.37"
"HKG","Hong Kong","65.88"
"KOR","Corea del Sur","55.65"
"PRT","Portugal","54.33"
"ATG","Antigua y Barbuda","54.27"
"MYS","Malasia","52.17"
"NOR","Noruega","49.87"
"PYF","Polinesia Francesa","45.74"
"JPN","Japón","45.68"
"WSM","Samoa","43.47"
"BRB","Barbados","43.27"
"CHN","China","41.58"
"IDN","Indonesia","41.24"
"KHM","Camboya","40.95"
"VNM","Vietnam","40.93"
"MMR","Myanmar","40.31"
"ESP","España","40.06"
"KNA","Saint Kitts y Nevis","35.74"
"FRA","Francia","33.82"
"SLB","Islas Salomón","33.67"
"LCA","Santa Lucía","33.43"
"FIN","Finlandia","31.83"
"LUX","Luxemburgo","31.12"
"OMN","Omán","31.08"
"SWE","Suecia","30.62"
"MLT","Malta","30.36"
"GRD","Granada","30.32"
"TWN","Taiwán","29.68"
"ITA","Italia","29.62"
"LTU","Lituania","29.6"
"VUT","Vanuatu","29.46"
"DNK","Dinamarca","29.12"
"FJI","Fiji","28.99"
"MUS","Mauricio","28.83"
"THA","Tailandia","28.62"
"GAB","Gabón","28.11"
"JAM","Jamaica","27.58"
"BHS","Bahamas","26.98"
"PER","Perú","26.24"
"PHL","Filipinas","26.2"
"ARE","Emiratos Árabes Unidos","26.04"
"STP","Santo Tomé y Príncipe","26.03"
"BGD","Bangladesh","25.7"
"ISR","Israel","25.35"
"GUY","Guyana","25.3"
"LAO","Lao","25.21"
"LVA","Letonia","24.91"
"NZL","Nueva Zelanda","24.54"
"AUS","Australia","24.49"
"BEL","Bélgica","24.04"
"SLE","Sierra Leona","24.04"
"COG","Congo","24"
"LKA","Sri Lanka","23.94"
"GHA","Ghana","23.84"
"DMA","Dominica","23.51"
"RUS","Rusia","22.91"
"NCL","Nueva Caledonia","22.75"
"USA","Estados Unidos","22.29"
"EGY","Egipto","21.16"
"CIV","Costa de Marfil","20.94"
"CAN","Canadá","20.36"
"HRV","Croacia","20.33"
"GMB","Gambia","20.1"
"IRL","Irlanda","19.94"
"NLD","Países Bajos","19.67"
"VCT","San Vicente y las Granadinas","19.6"
"GRC","Grecia","19.37"
"CYP","Chipre","19.31"
"WLD","Mundo","18.7430813953488"
"TTO","Trinidad y Tobago","18.34"
"GBR","Reino Unido","17.99"
"CMR","Camerún","17.81"
"CRI","Costa Rica","17.57"
"BLZ","Belice","17.18"
"SUR","Suriname","16.96"
"MAR","Marruecos","16.83"
"CHE","Suiza","16.72"
"MDA","Moldavia","16.18"
"UKR","Ucrania","16.03"
"UGA","Uganda","15.87"
"TUN","Túnez","15.67"
"BEN","Benin","15.27"
"PAN","Panamá","15.06"
"KWT","Kuwait","14.69"
"AUT","Austria","14.44"
"CHL","Chile","14.4"
"SEN","Senegal","14.35"
"MEX","México","13.79"
"ZMB","Zambia","13.34"
"DEU","Alemania","13.15"
"MOZ","Mozambique","13.13"
"EST","Estonia","13.09"
"SVN","Eslovenia","12.95"
"AGO","Angola","12.88"
"MNE","Montenegro","12.03"
"BLR","Belarús","11.92"
"SAU","Arabia Saudita","11.81"
"URY","Uruguay","11.81"
"IRN","Irán","11.57"
"NAM","Namibia","11.15"
"GIN","Guinea","11.07"
"POL","Polonia","10.84"
"CZE","Chequia","10.67"
"BFA","Burkina Faso","10.66"
"GEO","Georgia","10.5"
"VEN","Venezuela","10.25"
"SVK","Eslovaquia","9.85"
"CPV","Cabo Verde","9.4"
"MWI","Malawi","9.07"
"IND","India","8.86"
"MLI","Malí","8.82"
"COL","Colombia","8.73"
"TGO","Togo","8.73"
"ALB","Albania","8.51"
"DOM","República Dominicana","8.21"
"MRT","Mauritania","8.05"
"BRA","Brasil","8.03"
"ROU","Rumania","7.94"
"SRB","Serbia","7.93"
"BGR","Bulgaria","7.32"
"NGA","Nigeria","7.2"
"TLS","Timor-Leste","7.19"
"SLV","El Salvador","7.18"
"ARG","Argentina","7.12"
"MKD","Macedonia del Norte","7"
"TZA","Tanzanía","6.51"
"ECU","Ecuador","6.44"
"ZAF","Sudáfrica","6.38"
"NIC","Nicaragua","6.36"
"HUN","Hungría","6.15"
"CUB","Cuba","6.13"
"TCD","Chad","5.84"
"BIH","Bosnia y Herzegovina","5.76"
"TUR","Turquía","5.43"
"PRY","Paraguay","5.39"
"RWA","Ruanda","5.21"
"ARM","Armenia","5.14"
"LBN","Líbano","4.97"
"HTI","Haití","4.91"
"LBR","Liberia","4.91"
"JOR","Jordania","4.83"
"HND","Honduras","4.48"
"UZB","Uzbekistán","3.89"
"SWZ","Eswatini","3.86"
"DJI","Djibouti","3.8"
"MDG","Madagascar","3.71"
"KAZ","Kazajstán","3.63"
"GTM","Guatemala","3.38"
"NPL","Nepal","3.35"
"KEN","Kenia","2.93"
"DZA","Argelia","2.83"
"TKM","Turkmenistán","2.7"
"IRQ","Iraq","2.68"
"ZWE","Zimbabwe","2.63"
"YEM","Yemen","2.5"
"GNB","Guinea-Bissau","2.4"
"AZE","Azerbaiyán","2.13"
"BOL","Bolivia","2.13"
"BWA","Botswana","2.11"
"LSO","Lesotho","1.94"
"NER","Níger","1.86"
"KGZ","Kirguistán","1.54"
"PAK","Pakistán","1.41"
"MNG","Mongolia","1.05"
"TJK","Tayikistán","0.94"
"SDN","Sudán","0.93"
"ETH","Etiopía","0.52"
"AFG","Afganistán","0.38"
"CAF","República Centroafricana","0"
"PRK","Corea del Norte","0"
