anio,especie,fob_mill_usd,share_fob
2024,Calamar Illex,372.70606693,0.208226817438642
2024,Langostino,988.86114113,0.55246594186758
2024,Merluza Hubbsi,311.23886036,0.1738857590643
2024,Otras especies,117.09818846,0.0654214816294783
