anio,grupo,desembarque_toneladas,share
1989,Crustáceos,11782.5,2.34100060952444
1989,Moluscos,26587.4,5.28250537709909
1989,Peces,464940.52,92.3764940133765
1990,Crustáceos,10116.2,1.73432668307634
1990,Moluscos,34817.5,5.96913063087032
1990,Peces,538358.946,92.2965426860534
1991,Crustáceos,8991.0,1.27643958587802
1991,Moluscos,49510.1,7.02887905024797
1991,Peces,645880.063,91.694681363874
1992,Crustáceos,25077.3,3.42955368535345
1992,Moluscos,80992.7,11.0765039606228
1992,Peces,625141.764,85.4939423540237
1993,Crustáceos,20088.6,2.06965215348035
1993,Moluscos,197424.0,20.3398448248611
1993,Peces,753114.274,77.5905030216585
1994,Crustáceos,22241.0,2.25954765940563
1994,Moluscos,200549.6,20.3745955341368
1994,Peces,761521.455,77.3658568064576
1995,Crustáceos,7275.5,0.633379523274686
1995,Moluscos,203843.3,17.7458830563863
1995,Peces,937560.583,81.620737420339
1996,Crustáceos,10730.1,0.8587214072085
1996,Moluscos,298258.8,23.8694156110678
1996,Peces,940554.888,75.2718629817237
1997,Crustáceos,7811.7,0.581547764797749
1997,Moluscos,419229.4,31.2098417127516
1997,Peces,916219.157,68.2086105224507
1998,Crustáceos,23959.4,2.13893917694152
1998,Moluscos,296696.1,26.4870953335959
1998,Peces,799497.904,71.3739654894625
1999,Crustáceos,23361.7,2.2909544447263
1999,Moluscos,350598.1,34.3812426110941
1999,Peces,645776.758,63.3278029441796
2000,Crustáceos,37574.2,4.41886890964878
2000,Moluscos,286073.7,33.6433557813125
2000,Peces,526664.72,61.9377753090387
2001,Crustáceos,79494.7,9.08499419394738
2001,Moluscos,237434.0,27.1349726641613
2001,Peces,558082.316,63.7800331418913
2002,Crustáceos,52278.0,5.93476857662939
2002,Moluscos,184731.2,20.9712866001576
2002,Peces,643867.608,73.093944823213
2003,Crustáceos,55037.2,6.55747706173085
2003,Moluscos,148211.7,17.6588711458819
2003,Peces,636055.599,75.7836517923872
2004,Crustáceos,28651.2,3.27957256191823
2004,Moluscos,83281.9,9.53290033731286
2004,Peces,761692.943,87.1875271007689
2005,Crustáceos,8710.5,1.01089584990215
2005,Moluscos,152645.5,17.715251989695
2005,Peces,700305.466,81.2738521604029
2006,Crustáceos,45803.3,4.265706316866
2006,Moluscos,303977.2,28.3096952015082
2006,Peces,723976.027,67.4245984816258
2007,Crustáceos,48433.3,5.28066705664765
2007,Moluscos,241126.1,26.289900807253
2007,Peces,627622.075,68.4294321360993
2008,Crustáceos,48621.4,5.22855330321657
2008,Moluscos,265045.1,28.5019031353759
2008,Peces,616254.21,66.2695435614075
2009,Crustáceos,54302.3,7.05446959829388
2009,Moluscos,80630.8,10.4748330602224
2009,Peces,634824.275,82.4706973414837
2010,Crustáceos,73924.9,9.66770312866965
2010,Moluscos,94393.1,12.344480252186
2010,Peces,596340.358,77.9878166191443
2011,Crustáceos,86396.5,11.7775199390039
2011,Moluscos,84164.0,11.4731868553278
2011,Peces,563010.748,76.7492932056683
2012,Crustáceos,84530.513,12.2107588101701
2012,Moluscos,100655.987,14.5401457584507
2012,Peces,507076.072,73.2490954313792
2013,Crustáceos,105897.445,12.8493688447657
2013,Moluscos,197882.553,24.0106445574858
2013,Peces,520365.112,63.1399865977485
2014,Crustáceos,132607.503,16.7622506683291
2014,Moluscos,173630.842,21.9478056031041
2014,Peces,484869.637,61.2899437285667
2015,Crustáceos,147025.028,19.1511541359919
2015,Moluscos,131182.454,17.087535575859
2015,Peces,489500.965,63.761310288149
2016,Crustáceos,181087.688,25.6598114231012
2016,Moluscos,64949.734,9.20326469914723
2016,Peces,459687.515,65.1369238777515
2017,Crustáceos,245608.219,31.5302425237547
2017,Moluscos,104781.576,13.4514574339275
2017,Peces,428570.972,55.0183000423178
2018,Crustáceos,257375.119,32.5109845644877
2018,Moluscos,112216.154,14.1748653279114
2018,Peces,422064.601,53.3141501076009
2019,Crustáceos,218018.959,27.9072605584332
2019,Moluscos,99910.416,12.7889153521436
2019,Peces,463297.283,59.3038240894232
2020,Crustáceos,186244.235,23.5825018669784
2020,Moluscos,176539.897,22.3537252071114
2020,Peces,426971.917,54.0637729259102
2021,Crustáceos,225704.684,28.2819295851105
2021,Moluscos,139450.462,17.473842708976
2021,Peces,432897.488,54.2442277059134
2022,Crustáceos,212090.686,26.5813185803854
2022,Moluscos,174429.805,21.8612816246891
2022,Peces,411373.283,51.5573997949256
2023,Crustáceos,202793.187,25.9450304182566
2023,Moluscos,158779.83,20.3140331295035
2023,Peces,420053.305,53.7409364522399
2024,Crustáceos,224109.177,27.2803405896141
2024,Moluscos,162385.076,19.7667950917975
2024,Peces,435010.069,52.9528643185884
