anio,iso3,expo_pesca,share_global,pais_nombre,geocodigoFundar,geonombreFundar
1976,LCA,0,0.0,Santa Lucía,LCA,Santa Lucía
1976,LKA,3650129,0.102839161845824,Sri Lanka,LKA,Sri Lanka
1976,MAC,7519255,0.21184837081238,Macao,MAC,Macao
1976,MAR,68814520,1.9387883440894,Marruecos,MAR,Marruecos
1976,MDG,15982802,0.450301335001519,Madagascar,MDG,Madagascar
1976,MDV,2067886,0.0582608622962952,Maldivas,MDV,Maldivas
1976,MEX,38918806,1.09650299731331,México,MEX,México
1976,MLI,938840,0.0264509880903753,Malí,MLI,Malí
1976,MLT,3307,9.31718052222e-05,Malta,MLT,Malta
1976,MMR,211205,0.0059505144003533,Myanmar,MMR,Myanmar
1976,MOZ,5933657,0.167175547100008,Mozambique,MOZ,Mozambique
1976,MRT,5511671,0.155286464124949,Mauritania,MRT,Mauritania
1976,MSR,200553,0.0056504037050924,Montserrat,MSR,Montserrat
1976,MTQ,24682,0.0006953935580574,Martinica,MTQ,Martinica
1976,MUS,424083,0.0119481640986011,Mauricio,MUS,Mauricio
1976,MWI,218208,0.0061478177423465,Malawi,MWI,Malawi
1976,MYS,41154326,1.15948679955415,Malasia,MYS,Malasia
1976,NCL,34635,0.0009758105454711,Nueva Caledonia,NCL,Nueva Caledonia
1976,NER,2937,8.27473818983e-05,Níger,NER,Níger
1976,NGA,4328223,0.121943861601006,Nigeria,NGA,Nigeria
1976,NIC,349456,0.0098456142623984,Nicaragua,NIC,Nicaragua
1976,NIU,0,0.0,Niue,NIU,Niue
1976,NLD,10122719,0.285198670392416,Países Bajos,NLD,Países Bajos
1976,NOR,470112041,13.2449916893539,Noruega,NOR,Noruega
1976,NZL,7105523,0.200191836999795,Nueva Zelanda,NZL,Nueva Zelanda
1976,OMN,0,0.0,Omán,OMN,Omán
1976,PAK,20816303,0.586480958138387,Pakistán,PAK,Pakistán
1976,PAN,9855517,0.277670489957278,Panamá,PAN,Panamá
1976,PCI,209420,0.0059002236013446,Islas del Pacífico (ex),PCI,Islas del Pacífico (ex)
1976,PCZ,19058,0.0005369423235336,Zona del Canal de Panamá (ex),PCZ,Zona del Canal de Panamá (ex)
1976,PER,25893891,0.729537516993817,Perú,PER,Perú
1976,PHL,16600967,0.467717588093512,Filipinas,PHL,Filipinas
1976,PNG,5375766,0.151457460741601,Papúa Nueva Guinea,PNG,Papúa Nueva Guinea
1976,POL,5002904,0.140952403094554,Polonia,POL,Polonia
1976,PRK,4491646,0.126548160338483,Corea del Norte,PRK,Corea del Norte
1976,PRT,4581149,0.129069828340542,Portugal,PRT,Portugal
1976,PRY,0,0.0,Paraguay,PRY,Paraguay
1976,PYF,16876,0.0004754664000395,Polinesia Francesa,PYF,Polinesia Francesa
1976,QAT,1603938,0.0451895370198333,Qatar,QAT,Qatar
1976,REU,127108,0.0035811556752923,Reunión,REU,Reunión
1976,ROU,482074,0.0135820093228661,Rumania,ROU,Rumania
1976,RWA,0,0.0,Ruanda,RWA,Ruanda
1976,SAU,875348,0.0246621570479888,Arabia Saudita,SAU,Arabia Saudita
1976,SDN,1242,3.49922534278e-05,Sudán,SDN,Sudán
1976,SEN,10055099,0.283293536594675,Senegal,SEN,Senegal
1976,SGP,6261841,0.176421841543632,Singapur,SGP,Singapur
1976,SLB,993581,0.0279932674340922,Islas Salomón,SLB,Islas Salomón
1976,SLE,0,0.0,Sierra Leona,SLE,Sierra Leona
1976,SLV,136649,0.0038499649264642,El Salvador,SLV,El Salvador
1976,SPM,0,0.0,San Pedro y Miquelón,SPM,San Pedro y Miquelón
1976,STP,0,0.0,Santo Tomé y Príncipe,STP,Santo Tomé y Príncipe
1976,SUR,7187242,0.202494197674412,Suriname,SUR,Suriname
1976,SWE,29146600,0.821179721225056,Suecia,SWE,Suecia
1976,SYC,332869,0.0093782901821983,Seychelles,SYC,Seychelles
1976,SYR,144242,0.0040638909975415,Siria,SYR,Siria
1976,TCD,96213,0.0027107163277441,Chad,TCD,Chad
1976,TGO,6141,0.0001730172530601,Togo,TGO,Togo
1976,THA,133648004,3.76541451376851,Tailandia,THA,Tailandia
1976,TON,0,0.0,Tonga,TON,Tonga
1976,TTO,2130542,0.060026139776793,Trinidad y Tobago,TTO,Trinidad y Tobago
1976,TUN,2234123,0.0629444429992688,Túnez,TUN,Túnez
1976,TUR,7094472,0.199880484831815,Turquía,TUR,Turquía
1976,TWN,163307261,4.60103789333945,Taiwán,TWN,Taiwán
1976,TZA,253530,0.0071429839062596,Tanzanía,TZA,Tanzanía
1976,URY,269795,0.0076012359207562,Uruguay,URY,Uruguay
1976,USA,107574541,3.0308177142203,Estados Unidos,USA,Estados Unidos
1976,VEN,3769784,0.106210335826432,Venezuela,VEN,Venezuela
1976,VIR,0,0.0,Islas Vírgenes de EEUU,VIR,Islas Vírgenes de EEUU
1976,VNM,12625830,0.355721612799948,Vietnam,VNM,Vietnam
1976,VUT,9537,0.0002686965547035,Vanuatu,VUT,Vanuatu
1976,WLF,0,0.0,Wallis y Futuna,WLF,Wallis y Futuna
1976,WSM,0,0.0,Samoa,WSM,Samoa
1976,YEM,1859631,0.0523934615413624,Yemen,YEM,Yemen
1976,YMD,7573598,0.213379436857494,Yemen,YMD,Yemen
1976,YUG,959756,0.0270402779234654,Yugoslavia,YUG,Yugoslavia
1976,ZAF,3590379,0.101155758349595,Sudáfrica,ZAF,Sudáfrica
1976,ZMB,261138,0.0073573325890933,Zambia,ZMB,Zambia
1977,AFG,8537,0.0001655753720672,Afganistán,AFG,Afganistán
1977,AGO,0,0.0,Angola,AGO,Angola
1977,ALB,20370,0.000395076763384,Albania,ALB,Albania
1977,ANT,226939,0.0044014887386167,Antillas Holandesas,ANT,Antillas Holandesas
1977,ARE,860006,0.0166798422666127,Emiratos Árabes Unidos,ARE,Emiratos Árabes Unidos
1977,ARG,15725680,0.305000037133725,Argentina,ARG,Argentina
1977,ATG,76509,0.0014838943588489,Antigua y Barbuda,ATG,Antigua y Barbuda
1977,AUS,81263425,1.57610657488984,Australia,AUS,Australia
1977,AUT,1357597,0.0263306346951377,Austria,AUT,Austria
1977,BDI,11621,0.000225389644933,Burundi,BDI,Burundi
1977,BEL,2983313,0.0578614454689097,Bélgica,BEL,Bélgica
1977,BEN,0,0.0,Benin,BEN,Benin
1977,BFA,1805,3.50080293523e-05,Burkina Faso,BFA,Burkina Faso
