"anio","especie","desembarque_toneladas","share"
"2024","Calamar Illex","154566.968","0.188151131845171"
"2024","Langostino","222153.576","0.270422893770241"
"2024","Merluza Hubbsi","311041.012","0.37862370735038"
"2024","Otras especies","133742.766","0.162802267034208"
