"anio","fob_index","toneladas_index","precio_index"
"2002","100","100","100"
"2003","122.007833631593","103.515727068243","117.864055141262"
"2004","112.200337291179","104.643071513794","107.221945675007"
"2005","111.471511596927","105.248978547355","105.912202793276"
"2006","171.192736991019","133.198956698059","128.524082496447"
"2007","151.824678079213","114.768054149538","132.288274123209"
"2008","178.835314561906","119.378017087489","149.805901392082"
"2009","154.804456367056","102.619370016721","150.853056632322"
"2010","184.300167064391","97.3123517253765","189.390312531447"
"2011","203.007162020584","96.9667519540126","209.35749412011"
"2012","183.54618196619","91.9825508167772","199.544566155597"
"2013","207.706646602647","107.615055570056","193.00891079077"
"2014","217.106960056243","104.828092293189","207.107613338061"
"2015","200.888880875088","97.4098099978856","206.230646461017"
"2016","232.93342375906","94.0597259382821","247.644165912094"
"2017","270.970687360053","100.706044526011","269.070926810222"
"2018","285.802068074821","101.566501641865","281.394026036843"
"2019","244.052266071181","98.17211432941","248.596322630151"
"2020","225.881417065153","102.018381589159","221.412468563563"
"2021","259.225460973788","105.182341604583","246.453403698035"
"2022","232.769505000938","99.6618858618475","233.559201682783"
"2023","230.309825585418","100.913431653119","228.225144871782"
"2024","258.643769515726","110.051845433084","235.019929468599"
