anio,especie_agregada,desembarque_toneladas
1989,Calamar Illex,23101.7
1989,Langostino,11352.8
1989,Merluza Hubbsi,298683.62
1989,Otras especies,170172.3
1990,Calamar Illex,28341.2
1990,Langostino,9629.4
1990,Merluza Hubbsi,371975.846
1990,Otras especies,173346.2
1991,Calamar Illex,47482.7
1991,Langostino,8521.4
1991,Merluza Hubbsi,456203.263
1991,Otras especies,192173.8
1992,Calamar Illex,78014.7
1992,Langostino,24495.6
1992,Merluza Hubbsi,393208.564
1992,Otras especies,235492.9
1993,Calamar Illex,195513.4
1993,Langostino,19270.9
1993,Merluza Hubbsi,452039.674
1993,Otras especies,303802.9
1994,Calamar Illex,198839.8
1994,Langostino,16669.6
1994,Merluza Hubbsi,465846.655
1994,Otras especies,302956.0
1995,Calamar Illex,199747.0
1995,Langostino,6207.9
1995,Merluza Hubbsi,587488.683
1995,Otras especies,355235.8
1996,Calamar Illex,294251.7
1996,Langostino,9874.3
1996,Merluza Hubbsi,604804.788
1996,Otras especies,340613.0
1997,Calamar Illex,411723.4
1997,Langostino,6482.0
1997,Merluza Hubbsi,587347.657
1997,Otras especies,337707.2
1998,Calamar Illex,291217.5
1998,Langostino,23333.1
1998,Merluza Hubbsi,461390.304
1998,Otras especies,344212.5
1999,Calamar Illex,343447.6
1999,Langostino,15989.9
1999,Merluza Hubbsi,315652.658
1999,Otras especies,344646.4
2000,Calamar Illex,279067.6
2000,Langostino,37150.0
2000,Merluza Hubbsi,195171.42
2000,Otras especies,338923.6
2001,Calamar Illex,230778.2
2001,Langostino,78859.4
2001,Merluza Hubbsi,249446.816
2001,Otras especies,315926.6
2002,Calamar Illex,177320.0
2002,Langostino,51419.3
2002,Merluza Hubbsi,358324.408
2002,Otras especies,293813.1
2003,Calamar Illex,141030.8
2003,Langostino,52901.7
2003,Merluza Hubbsi,336512.799
2003,Otras especies,308859.2
2004,Calamar Illex,76497.3
2004,Langostino,27129.8
2004,Merluza Hubbsi,419825.543
2004,Otras especies,350173.4
2005,Calamar Illex,146131.3
2005,Langostino,7482.2
2005,Merluza Hubbsi,365064.766
2005,Otras especies,342983.2
2006,Calamar Illex,292078.6
2006,Langostino,44405.4
2006,Merluza Hubbsi,355617.527
2006,Otras especies,381655.0
2007,Calamar Illex,233062.4
2007,Langostino,47618.7
2007,Merluza Hubbsi,301690.875
2007,Otras especies,334809.5
2008,Calamar Illex,255530.9
2008,Langostino,47406.1
2008,Merluza Hubbsi,263322.51
2008,Otras especies,363661.2
2009,Calamar Illex,72604.0
2009,Langostino,53693.0
2009,Merluza Hubbsi,280677.575
2009,Otras especies,362782.8
2010,Calamar Illex,86199.9
2010,Langostino,72938.3
2010,Merluza Hubbsi,281900.158
2010,Otras especies,323620.0
2011,Calamar Illex,76598.0
2011,Langostino,82922.0
2011,Merluza Hubbsi,287780.348
2011,Otras especies,286270.9
2012,Calamar Illex,94982.636
2012,Langostino,79926.943
2012,Merluza Hubbsi,257983.381
2012,Otras especies,259369.612
2013,Calamar Illex,191741.819
2013,Langostino,101760.789
2013,Merluza Hubbsi,276206.394
2013,Otras especies,254436.108
2014,Calamar Illex,168729.098
2014,Langostino,129059.233
2014,Merluza Hubbsi,262459.472
2014,Otras especies,230860.179
2015,Calamar Illex,126670.922
2015,Langostino,142796.178
2015,Merluza Hubbsi,266274.028
2015,Otras especies,231967.319
2016,Calamar Illex,59890.597
2016,Langostino,178454.434
2016,Merluza Hubbsi,282953.743
2016,Otras especies,184426.163
2017,Calamar Illex,99169.708
2017,Langostino,243161.666
2017,Merluza Hubbsi,282187.272
2017,Otras especies,154442.121
2018,Calamar Illex,108303.537
2018,Langostino,254925.676
2018,Merluza Hubbsi,269610.75
2018,Otras especies,158815.911
2019,Calamar Illex,96264.561
2019,Langostino,215538.333
2019,Merluza Hubbsi,314325.918
2019,Otras especies,155097.846
2020,Calamar Illex,171161.573
2020,Langostino,183903.799
2020,Merluza Hubbsi,272464.994
2020,Otras especies,162225.683
2021,Calamar Illex,132255.028
2021,Langostino,223479.702
2021,Merluza Hubbsi,293028.735
2021,Otras especies,149289.169
2022,Calamar Illex,167107.482
2022,Langostino,209779.989
2022,Merluza Hubbsi,285014.236
2022,Otras especies,135992.067
2023,Calamar Illex,153284.374
2023,Langostino,200551.616
2023,Merluza Hubbsi,297345.022
2023,Otras especies,130445.31
2024,Calamar Illex,154566.968
2024,Langostino,222153.576
2024,Merluza Hubbsi,311041.012
2024,Otras especies,133742.766
