"anio","iso3","pais_nombre","produccion_captura","produccion_acuicola","produccion_total","participacion"
"2023","BEN","Benin","52100.334","3130","55230.334","0.000241521635702734"
"2023","KAZ","Kazajstán","35815.942","17107.709","52923.651","0.000231434536624034"
"2023","CRI","Costa Rica","33935","16467.64","50402.64","0.000220410183587448"
"2023","NER","Níger","49371.56","494","49865.56","0.000218061538726759"
"2023","TUV","Tuvalu","48979","0.25","48979.25","0.000214185714964048"
"2023","SSD","Sudán del Sur","47000","50","47050","0.000205749126192386"
"2023","SDN","Sudán","40960","5500","46460","0.000203169062760856"
"2023","BOL","Bolivia","16766","29050","45816","0.000200352857930507"
"2023","UKR","Ucrania","28164.907","15270.822","43435.729","0.000189943959347063"
"2023","SLB","Islas Salomón","40061.154","710.128","40771.282","0.000178292362279349"
"2023","RWA","Ruanda","31600","7302","38902","0.000170118012904064"
"2023","PRY","Paraguay","17975","20150","38125","0.000166720200554404"
"2023","GUY","Guyana","36396","1565","37961","0.000166003030380216"
"2023","MUS","Mauricio","35484.71","2354.545","37839.255","0.000165470640850603"
"2023","KGZ","Kirguistán","0","33600","33600","0.000146932425931226"
"2023","FJI","Fiji","32413.43","542.3","32955.73","0.000144115040393883"
"2023","LBY","Libia","32130","10","32140","0.000140547862185405"
"2023","SUR","Suriname","31870","45","31915","0.00013956393969033"
"2023","BFA","Burkina Faso","30278.749","1187","31465.749","0.000137599370068841"
"2023","GAB","Gabón","29930","90","30020","0.000131277125787363"
"2023","SOM","Somalia","30000","0","30000","0.000131189666010023"
"2023","LBR","Liberia","28172.193","1362","29534.193","0.000129152697184852"
"2023","CAF","Rep. Centroafricana","29000","390","29390","0.000128522142801153"
"2023","CUB","Cuba","13415.58","12823.82","26239.4","0.00011474460407678"
"2023","ARM","Armenia","1099.999","24800","25899.999","0.000113260407282331"
"2023","TGO","Togo","22236.934","1568","23804.934","0.000104098711361688"
"2023","MLT","Malta","2013.59","20833.294","22846.884","9.99091693776581e-05"
"2023","HUN","Hungría","4601.538","17785.024","22386.562","9.78961863964225e-05"
"2023","CZE","Chequia","3369","18613","21982","9.6127041274411e-05"
"2023","DOM","Rep. Dominicana","17286","3820","21106","9.22963030269183e-05"
"2023","BDI","Burundi","20120","615","20735","9.0673924157261e-05"
"2023","BRN","Brunei","17696.02","1690.55","19386.57","8.47772547793312e-05"
"2023","ALB","Albania","10011","9327","19338","8.45648587100609e-05"
"2023","QAT","Qatar","18970.4","69.32","19039.72","8.3260483590812e-05"
"2023","BEL","Bélgica","17986","261","18247","7.97939278561631e-05"
"2023","HTI","Haití","16420","1655","18075","7.9041773771039e-05"
"2023","BHR","Bahrein","17998","61","18059","7.8971805949167e-05"
