geocodigoFundar,geonombreFundar,anio,tipo_carne,valor,share
AFG,Afganistán,2022,Aviar,0.87,12.1678321678322
AFG,Afganistán,2022,Caprina y ovina,3.62,50.6293706293706
AFG,Afganistán,2022,Otras carnes,0.28,3.91608391608392
AFG,Afganistán,2022,Pescados y mariscos,0.38,5.31468531468531
AFG,Afganistán,2022,Porcina,0.01,0.13986013986014
AFG,Afganistán,2022,Vacuna,1.99,27.8321678321678
AGO,Angola,2022,Aviar,10.52,29.0688035368886
AGO,Angola,2022,Caprina y ovina,0.72,1.98949986184029
AGO,Angola,2022,Otras carnes,0.27,0.746062448190108
AGO,Angola,2022,Pescados y mariscos,12.88,35.5899419729207
AGO,Angola,2022,Porcina,8.29,22.9068803536889
AGO,Angola,2022,Vacuna,3.51,9.6988118264714
ALB,Albania,2022,Aviar,22.56,36.558094312105
ALB,Albania,2022,Caprina y ovina,8.87,14.3736833576406
ALB,Albania,2022,Otras carnes,0.27,0.437530384054448
ALB,Albania,2022,Pescados y mariscos,8.51,13.7903095122346
ALB,Albania,2022,Porcina,6.31,10.2252471236428
ALB,Albania,2022,Vacuna,15.19,24.6151353103225
ARE,Emiratos Árabes Unidos,2022,Aviar,55.25,50.5767118271695
ARE,Emiratos Árabes Unidos,2022,Caprina y ovina,9.82,8.98938117905529
ARE,Emiratos Árabes Unidos,2022,Otras carnes,3.54,3.24057121933358
ARE,Emiratos Árabes Unidos,2022,Pescados y mariscos,26.04,23.8374221896741
ARE,Emiratos Árabes Unidos,2022,Porcina,0.66,0.604174295129989
ARE,Emiratos Árabes Unidos,2022,Vacuna,13.93,12.7517392896375
ARG,Argentina,2022,Aviar,48.19,40.0315667054328
ARG,Argentina,2022,Caprina y ovina,0.99,0.822395746801794
ARG,Argentina,2022,Otras carnes,1.18,0.980229273965775
ARG,Argentina,2022,Pescados y mariscos,7.12,5.91460375477654
ARG,Argentina,2022,Porcina,16.95,14.0804120285762
ARG,Argentina,2022,Vacuna,45.95,38.1707924904469
ARM,Armenia,2022,Aviar,18.45,28.5471143431843
ARM,Armenia,2022,Caprina y ovina,3.88,6.0034039919542
