anio,desembarque_toneladas,cmp_total
1989,298683.62,
1990,371975.846,
1991,456203.263,
1992,393208.564,
1993,452039.674,
1994,465846.655,
1995,587488.683,
1996,604804.788,
1997,587347.657,
1998,461390.304,
1999,315652.658,
2000,195171.42,
2001,249446.816,
2002,358324.408,
2003,336512.799,
2004,419825.543,
2005,365064.766,
2006,355617.527,
2007,301690.875,
2008,263322.51,
2009,280677.575,
2010,281900.158,338000.0
2011,287780.348,321000.0
2012,257983.381,313000.0
2013,276206.394,312000.0
2014,262459.472,322000.0
2015,266274.028,320000.0
2016,282953.743,320000.0
2017,282187.272,320000.0
2018,269610.75,325000.0
2019,314325.918,313000.0
2020,272464.994,332000.0
2021,293028.735,347000.0
2022,285014.236,335000.0
2023,297345.022,350000.0
2024,311041.012,348500.0
