"dinth_t","subclase_desc","share_gasto"
"1","Pescados y mariscos en conserva","0.342"
"1","Pescados y mariscos frescos, congelados o semipreparados","0.655"
"2","Pescados y mariscos en conserva","0.363"
"2","Pescados y mariscos frescos, congelados o semipreparados","0.734"
"3","Pescados y mariscos en conserva","0.417"
"3","Pescados y mariscos frescos, congelados o semipreparados","0.737"
"4","Pescados y mariscos en conserva","0.394"
"4","Pescados y mariscos frescos, congelados o semipreparados","1.28"
"5","Pescados y mariscos en conserva","0.486"
"5","Pescados y mariscos frescos, congelados o semipreparados","0.963"
"6","Pescados y mariscos en conserva","0.427"
"6","Pescados y mariscos frescos, congelados o semipreparados","1.09"
"7","Pescados y mariscos en conserva","0.455"
"7","Pescados y mariscos frescos, congelados o semipreparados","1.191"
"8","Pescados y mariscos en conserva","0.524"
"8","Pescados y mariscos frescos, congelados o semipreparados","1.039"
"9","Pescados y mariscos en conserva","0.734"
"9","Pescados y mariscos frescos, congelados o semipreparados","0.989"
"10","Pescados y mariscos en conserva","0.823"
"10","Pescados y mariscos frescos, congelados o semipreparados","1.733"
