anio,share_bienes,share_expo
1962,0.0190337525656263,
1963,0.0554279561409631,
1964,0.0180826308998523,
1965,0.0679738718846035,
1966,0.0478869182196241,
1967,0.0448443362248276,
1968,0.0758080059456318,
1969,0.0708438310771647,
1970,0.182707733331388,
1971,0.245845515721876,
1972,0.437177617567788,
1973,0.617883267341792,
1974,0.836694533248993,
1975,0.674273806818616,
1976,0.316520752113783,
1977,1.09068610283421,
1978,2.63009343672274,
1979,3.09777224717384,
1980,2.69082321692184,2.18997985908549
1981,1.88127625007454,1.5894869844751
1982,3.16872144251059,2.63653599427991
1983,2.55094439749274,2.16263722554251
1984,1.96398949070655,1.66397321331694
1985,1.72539904959694,1.44930158245517
1986,3.11059812783454,2.54304969275852
1987,4.00170850216792,3.15782552880774
1988,2.86172799097447,2.36151838850863
1989,2.76683572664868,2.27795829459846
1990,2.51961498999264,2.11257872092942
1991,3.63274312823582,3.0462240241677
1992,4.50994840634265,3.64477850161761
1993,5.39004592753856,4.35616790600942
1994,4.41219346011434,3.63905184487644
1995,3.79176012674916,3.19125262804813
1996,3.3180637607097,2.79479067279359
1997,2.97177315247934,2.51121752698913
1998,2.82851737026154,2.3692002324518
1999,2.92434788032848,2.40147602891723
2000,2.44945802375844,2.05468658565047
2001,2.85485998874638,2.42862544654569
2002,2.53059778021567,2.22565057865432
2003,2.70485948242216,2.3488019203358
2004,2.11442486791433,1.83626982653876
2005,1.64644734999203,1.41455155172449
2006,2.25505939215085,1.92068550449168
2007,1.81330677896044,1.53065023581258
2008,1.67935726931238,1.44446315977789
2009,1.89415621863192,1.58788852712049
2010,1.82416577838351,1.5243754899701
2011,1.61646626772321,1.36778972067942
2012,1.54431453362562,1.30498757883342
2013,1.7996119985886,1.51626424912768
2014,2.14923978282881,1.784345554828
2015,2.37477450410527,1.91653674320592
2016,2.75683046292751,2.22386252186783
2017,3.00841810725307,2.35648580408253
2018,2.68393237419511,2.13154098002265
2019,2.25921815308654,1.82731287079127
2020,2.32758203972653,1.98684464663146
2021,1.8785832134138,1.66534598958167
2022,1.62511370764142,1.38927536311219
2023,2.0144924341174,1.6218650564175
