anio,especie,variable,valor
2002,Calamar,Valores,100.0
2002,Calamar,Toneladas,100.0
2002,Calamar,Precio,100.0
2002,Langostino,Valores,100.0
2002,Langostino,Toneladas,100.0
2002,Langostino,Precio,100.0
2002,Merluza Hubbsi,Valores,100.0
2002,Merluza Hubbsi,Toneladas,100.0
2002,Merluza Hubbsi,Precio,100.0
2002,Otras especies,Valores,100.0
2002,Otras especies,Toneladas,100.0
2002,Otras especies,Precio,100.0
2003,Calamar,Valores,89.5879053889295
2003,Calamar,Toneladas,82.3864134618195
2003,Calamar,Precio,108.74111594923
2003,Langostino,Valores,152.380781011332
2003,Langostino,Toneladas,89.9473020964601
2003,Langostino,Precio,169.411174609682
2003,Merluza Hubbsi,Valores,335.526057856563
2003,Merluza Hubbsi,Toneladas,227.838026740018
2003,Merluza Hubbsi,Precio,147.265170198927
2003,Otras especies,Valores,89.7766891296624
2003,Otras especies,Toneladas,100.995338088218
2003,Otras especies,Precio,88.8919140517595
2004,Calamar,Valores,97.3664959765911
2004,Calamar,Toneladas,50.4730539505607
2004,Calamar,Precio,192.907875303054
2004,Langostino,Valores,85.4829938501156
2004,Langostino,Toneladas,52.4916943521595
2004,Langostino,Precio,162.850513600537
2004,Merluza Hubbsi,Valores,679.688593911899
2004,Merluza Hubbsi,Toneladas,382.449890650012
2004,Merluza Hubbsi,Precio,177.719646554663
2004,Otras especies,Valores,81.4121357947308
2004,Otras especies,Toneladas,97.7037096067259
2004,Otras especies,Precio,83.3255319807493
2005,Calamar,Valores,208.630821750792
2005,Calamar,Toneladas,90.465843653477
2005,Calamar,Precio,230.618334307408
2005,Langostino,Valores,33.7279975688363
2005,Langostino,Toneladas,13.2813991675259
2005,Langostino,Precio,253.949129481057
2005,Merluza Hubbsi,Valores,671.867036321376
2005,Merluza Hubbsi,Toneladas,339.783103735937
2005,Merluza Hubbsi,Precio,197.734092406054
2005,Otras especies,Valores,89.2466471595816
2005,Otras especies,Toneladas,97.0406821532454
2005,Otras especies,Precio,91.9682809099017
2006,Calamar,Valores,207.359180687637
2006,Calamar,Toneladas,171.909072307587
2006,Calamar,Precio,120.621429633813
2006,Langostino,Valores,148.445734667274
2006,Langostino,Toneladas,74.7546492534464
2006,Langostino,Precio,198.577260611561
2006,Merluza Hubbsi,Valores,850.611890559803
2006,Merluza Hubbsi,Toneladas,358.300453182423
2006,Merluza Hubbsi,Precio,237.40184613351
2006,Otras especies,Valores,116.796409001759
2006,Otras especies,Toneladas,100.818026058892
2006,Otras especies,Precio,115.848736151146
2007,Calamar,Valores,140.691294806145
2007,Calamar,Toneladas,145.598308503279
2007,Calamar,Precio,96.6297591314233
2007,Langostino,Valores,115.397903121326
2007,Langostino,Toneladas,85.7257417802727
2007,Langostino,Precio,134.612895409068
2007,Merluza Hubbsi,Valores,879.912627068806
2007,Merluza Hubbsi,Toneladas,298.960611458075
2007,Merluza Hubbsi,Precio,294.323932098393
2007,Otras especies,Valores,111.573979127612
2007,Otras especies,Toneladas,85.1795035263179
2007,Otras especies,Precio,130.98688593922
2008,Calamar,Valores,190.437698122409
2008,Calamar,Toneladas,169.830752891427
2008,Calamar,Precio,112.133812563474
2008,Langostino,Valores,152.411570419776
2008,Langostino,Toneladas,82.0273418108222
2008,Langostino,Precio,185.805814323813
2008,Merluza Hubbsi,Valores,873.104819513288
2008,Merluza Hubbsi,Toneladas,253.658151647014
2008,Merluza Hubbsi,Precio,344.205306963005
2008,Otras especies,Valores,129.814933029847
2008,Otras especies,Toneladas,91.8783121488624
2008,Otras especies,Precio,141.290071610718
2009,Calamar,Valores,80.4535479151427
2009,Calamar,Toneladas,52.6293225243835
2009,Calamar,Precio,152.868294813919
2009,Langostino,Valores,128.583367321641
2009,Langostino,Toneladas,98.8830335662733
2009,Langostino,Precio,130.035823825593
2009,Merluza Hubbsi,Valores,864.608362037582
2009,Merluza Hubbsi,Toneladas,320.965887313147
2009,Merluza Hubbsi,Precio,269.377026099361
2009,Otras especies,Valores,123.810871781836
2009,Otras especies,Toneladas,92.9190739929075
2009,Otras especies,Precio,133.245916539468
2010,Calamar,Valores,146.643501584979
2010,Calamar,Toneladas,52.6195788796757
2010,Calamar,Precio,278.686193822087
2010,Langostino,Valores,187.944147213359
2010,Langostino,Toneladas,122.597090159239
2010,Langostino,Precio,153.30229042895
2010,Merluza Hubbsi,Valores,907.155058948724
2010,Merluza Hubbsi,Toneladas,313.974252023538
2010,Merluza Hubbsi,Precio,288.92657697317
2010,Otras especies,Valores,122.424385974541
2010,Otras especies,Toneladas,79.5644897796549
2010,Otras especies,Precio,153.868121713068
2011,Calamar,Valores,148.964886613021
2011,Calamar,Toneladas,50.3990022507819
2011,Calamar,Precio,295.57110252259
2011,Langostino,Valores,206.137088841439
2011,Langostino,Toneladas,148.455340436094
2011,Langostino,Precio,138.85461327016
2011,Merluza Hubbsi,Valores,994.539191800386
2011,Merluza Hubbsi,Toneladas,285.209568687575
2011,Merluza Hubbsi,Precio,348.704707340948
2011,Otras especies,Valores,138.358862966098
2011,Otras especies,Toneladas,79.7067378571144
2011,Otras especies,Precio,173.584902212565
2012,Calamar,Valores,188.650329188003
2012,Calamar,Toneladas,66.6913505665929
2012,Calamar,Precio,282.870758479589
2012,Langostino,Valores,190.771574578345
2012,Langostino,Toneladas,149.30690800779
2012,Langostino,Precio,127.771432095018
2012,Merluza Hubbsi,Valores,786.535607269876
2012,Merluza Hubbsi,Toneladas,245.004847473677
2012,Merluza Hubbsi,Precio,321.028589997339
2012,Otras especies,Valores,119.682032588193
2012,Otras especies,Toneladas,69.5971630075308
2012,Otras especies,Precio,171.963952862911
2013,Calamar,Valores,282.08363813704
2013,Calamar,Toneladas,126.946049439253
2013,Calamar,Precio,222.207496320729
2013,Langostino,Valores,245.856225458442
2013,Langostino,Toneladas,173.899262993088
2013,Langostino,Precio,141.37853216101
2013,Merluza Hubbsi,Valores,783.435548461172
2013,Merluza Hubbsi,Toneladas,260.464906545217
2013,Merluza Hubbsi,Precio,300.783533126436
2013,Otras especies,Valores,106.677951120598
2013,Otras especies,Toneladas,60.8793879746583
2013,Otras especies,Precio,175.228356705892
2014,Calamar,Valores,201.091197268959
2014,Calamar,Toneladas,116.964659800645
2014,Calamar,Precio,171.924748562257
2014,Langostino,Valores,303.81988595923
2014,Langostino,Toneladas,205.214419368389
2014,Langostino,Precio,148.049969828792
2014,Merluza Hubbsi,Valores,801.005348791621
2014,Merluza Hubbsi,Toneladas,256.530561630555
2014,Merluza Hubbsi,Precio,312.245583411304
2014,Otras especies,Valores,108.644450157279
2014,Otras especies,Toneladas,61.6201139578436
2014,Otras especies,Precio,176.313289896878
2015,Calamar,Valores,127.061692270178
2015,Calamar,Toneladas,92.1144683380265
2015,Calamar,Precio,137.938908580472
2015,Langostino,Valores,305.416936573819
2015,Langostino,Toneladas,230.63733913774
2015,Langostino,Precio,132.423022965687
2015,Merluza Hubbsi,Valores,663.051331597076
2015,Merluza Hubbsi,Toneladas,215.173719928753
2015,Merluza Hubbsi,Precio,308.146985522498
2015,Otras especies,Valores,104.555472430596
2015,Otras especies,Toneladas,59.4569072000638
2015,Otras especies,Precio,175.850842827701
2016,Calamar,Valores,115.391367959034
2016,Calamar,Toneladas,44.7428164979392
2016,Calamar,Precio,257.899204812797
2016,Langostino,Valores,400.996457218717
2016,Langostino,Toneladas,305.288883797304
2016,Langostino,Precio,131.349838956127
2016,Merluza Hubbsi,Valores,661.877957937775
2016,Merluza Hubbsi,Toneladas,230.297837801276
2016,Merluza Hubbsi,Precio,287.400856324543
2016,Otras especies,Valores,106.081762223461
2016,Otras especies,Toneladas,54.5909869705542
2016,Otras especies,Precio,194.321019110133
2017,Calamar,Valores,222.429895147525
2017,Calamar,Toneladas,74.7961142344906
2017,Calamar,Precio,297.381618582742
2017,Langostino,Valores,479.899314635765
2017,Langostino,Toneladas,349.96754114637
2017,Langostino,Precio,137.126806978666
2017,Merluza Hubbsi,Valores,662.653672743566
2017,Merluza Hubbsi,Toneladas,216.720402227583
2017,Merluza Hubbsi,Precio,305.764323954926
2017,Otras especies,Valores,103.85962986606
2017,Otras especies,Toneladas,47.6399569669682
2017,Otras especies,Precio,218.009495554482
2018,Calamar,Valores,290.586442331139
2018,Calamar,Toneladas,90.2846118619131
2018,Calamar,Precio,321.856002189587
2018,Langostino,Valores,520.008717001352
2018,Langostino,Toneladas,354.068812769695
2018,Langostino,Precio,146.866568939974
2018,Merluza Hubbsi,Valores,688.705928477415
2018,Merluza Hubbsi,Toneladas,206.653439451672
2018,Merluza Hubbsi,Precio,333.266134018774
2018,Otras especies,Valores,85.940167360391
2018,Otras especies,Toneladas,43.5458421325258
2018,Otras especies,Precio,197.355621459435
2019,Calamar,Valores,256.474356864179
2019,Calamar,Toneladas,82.2541032436593
2019,Calamar,Precio,311.807371000607
2019,Langostino,Valores,420.724324392409
2019,Langostino,Toneladas,315.948285026922
2019,Langostino,Precio,133.162401674869
2019,Merluza Hubbsi,Valores,747.041415889552
2019,Merluza Hubbsi,Toneladas,242.104634635763
2019,Merluza Hubbsi,Precio,308.561385870802
2019,Otras especies,Valores,73.2984308158025
2019,Otras especies,Toneladas,42.6754667091684
2019,Otras especies,Precio,171.757772012965
2020,Calamar,Valores,482.469588393075
2020,Calamar,Toneladas,144.440497510499
2020,Calamar,Precio,334.026534599831
2020,Langostino,Valores,331.843096414833
2020,Langostino,Toneladas,247.7235821209
2020,Langostino,Precio,133.95700706963
2020,Merluza Hubbsi,Valores,599.790872329105
2020,Merluza Hubbsi,Toneladas,220.513038802336
2020,Merluza Hubbsi,Precio,271.997917033263
2020,Otras especies,Valores,60.4580262219128
2020,Otras especies,Toneladas,42.2342330158983
2020,Otras especies,Precio,143.14934096034
2021,Calamar,Valores,303.608772982199
2021,Calamar,Toneladas,117.81535705586
2021,Calamar,Precio,257.698809874377
2021,Langostino,Valores,478.73591392561
2021,Langostino,Toneladas,316.018028792913
2021,Langostino,Precio,151.490063954334
2021,Merluza Hubbsi,Valores,702.490742949957
2021,Merluza Hubbsi,Toneladas,243.572493179717
2021,Merluza Hubbsi,Precio,288.411361143161
2021,Otras especies,Valores,56.9229994598482
2021,Otras especies,Toneladas,41.0991956807587
2021,Otras especies,Precio,138.501492588814
2022,Calamar,Valores,381.98830260912
2022,Calamar,Toneladas,142.241964903392
2022,Calamar,Precio,268.548246551965
2022,Langostino,Valores,375.265739065761
2022,Langostino,Toneladas,257.799121701608
2022,Langostino,Precio,145.565173608356
2022,Merluza Hubbsi,Valores,715.782271696211
2022,Merluza Hubbsi,Toneladas,217.449037945573
2022,Merluza Hubbsi,Precio,329.172425161692
2022,Otras especies,Valores,59.6428763803477
2022,Otras especies,Toneladas,35.6114812925848
2022,Otras especies,Precio,167.482155236174
