"anio","inflacion","iso3"
"2000","-0.73369945312316","ARG"
"2001","-1.54342782205186","ARG"
"2002","40.952868852459","ARG"
"2003","3.65632041869595","ARG"
"2004","6.10098176718095","ARG"
"2005","12.3265036351619","ARG"
"2006","9.83818770226537","ARG"
"2007","21.5205780710022","ARG"
"2008","20.5985005170631","ARG"
"2009","18.4736588241599","ARG"
"2010","27.0288609427305","ARG"
"2011","23.2755243759125","ARG"
"2012","23.006037496028","ARG"
"2013","31.9438247105517","ARG"
"2014","39.0082409269708","ARG"
"2015","31.5689061319607","ARG"
"2016","31.4284602059287","ARG"
"2017","25.0392","ARG"
"2018","47.1043480764433","ARG"
"2019","53.8","ARG"
"2020","36.1","ARG"
"2021","50.9","ARG"
"2022","94.8","ARG"
"2023","211.4","ARG"
"2000","4.205","ALB"
"2001","3.527","ALB"
"2002","1.681","ALB"
"2003","3.298","ALB"
"2004","2.204","ALB"
"2005","2.038","ALB"
"2006","2.513","ALB"
"2007","3.027","ALB"
"2008","2.215","ALB"
"2009","3.501","ALB"
"2010","3.495","ALB"
"2011","1.743","ALB"
"2012","2.463","ALB"
"2013","1.776","ALB"
"2014","0.719","ALB"
"2015","1.937","ALB"
"2016","2.165","ALB"
"2017","1.808","ALB"
"2018","1.799","ALB"
"2019","1.15","ALB"
"2020","1.051","ALB"
"2021","3.7","ALB"
"2022","7.425","ALB"
"2023","3.95","ALB"
"2000","0.3","DZA"
"2001","4.2","DZA"
"2002","2.1","DZA"
"2003","5.563","DZA"
"2004","2.19","DZA"
"2005","1.226","DZA"
"2006","3.839","DZA"
"2007","4.803","DZA"
"2008","4.863","DZA"
"2009","5.753","DZA"
"2010","2.725","DZA"
"2011","5.16","DZA"
"2012","9.035","DZA"
"2013","1.148","DZA"
"2014","5.253","DZA"
"2015","4.362","DZA"
"2016","6.957","DZA"
"2017","4.933","DZA"
"2018","2.702","DZA"
"2019","2.434","DZA"
"2020","3.516","DZA"
"2021","8.485","DZA"
"2022","9.295","DZA"
"2023","7.838","DZA"
"2000","268.35","AGO"
"2001","116.068","AGO"
"2002","105.59","AGO"
"2003","76.56","AGO"
"2004","31.013","AGO"
"2005","18.53","AGO"
"2006","12.207","AGO"
"2007","11.776","AGO"
"2008","13.17","AGO"
"2009","13.987","AGO"
"2010","15.322","AGO"
"2011","11.376","AGO"
"2012","9.042","AGO"
"2013","7.687","AGO"
"2014","7.498","AGO"
"2015","12.091","AGO"
"2016","41.125","AGO"
"2017","23.667","AGO"
"2018","18.604","AGO"
"2019","16.893","AGO"
"2020","25.103","AGO"
"2021","27.046","AGO"
"2022","13.848","AGO"
"2023","19.997","AGO"
"2000","0.418","ARM"
"2001","2.828","ARM"
"2002","1.98","ARM"
"2003","8.546","ARM"
"2004","1.877","ARM"
"2005","-0.211","ARM"
"2006","5.242","ARM"
"2007","6.611","ARM"
"2008","5.346","ARM"
"2009","6.647","ARM"
"2010","9.33","ARM"
"2011","4.642","ARM"
"2012","3.107","ARM"
"2013","5.596","ARM"
"2014","4.569","ARM"
"2015","-0.184","ARM"
"2016","-1.172","ARM"
"2017","5.595","ARM"
"2018","1.346","ARM"
"2019","0.72","ARM"
"2020","3.746","ARM"
"2021","7.702","ARM"
"2022","8.294","ARM"
"2023","-0.455","ARM"
"2000","5.789","AUS"
"2001","3.146","AUS"
"2002","3.05","AUS"
"2003","2.445","AUS"
"2004","2.638","AUS"
"2005","2.693","AUS"
"2006","3.337","AUS"
"2007","2.999","AUS"
"2008","3.695","AUS"
"2009","2.052","AUS"
"2010","2.646","AUS"
"2011","2.99","AUS"
"2012","2.102","AUS"
"2013","2.647","AUS"
"2014","1.719","AUS"
"2015","1.69","AUS"
"2016","1.385","AUS"
"2017","2.095","AUS"
"2018","1.695","AUS"
"2019","1.842","AUS"
"2020","0.947","AUS"
"2021","3.584","AUS"
"2022","7.825","AUS"
"2023","4.049","AUS"
"2000","1.824","AUT"
"2001","1.765","AUT"
"2002","1.682","AUT"
"2003","1.336","AUT"
"2004","2.512","AUT"
"2005","1.531","AUT"
"2006","1.629","AUT"
"2007","3.467","AUT"
"2008","1.469","AUT"
"2009","1.052","AUT"
"2010","2.182","AUT"
"2011","3.395","AUT"
"2012","2.913","AUT"
"2013","1.987","AUT"
"2014","0.807","AUT"
"2015","1.071","AUT"
"2016","1.585","AUT"
"2017","2.331","AUT"
"2018","1.715","AUT"
"2019","1.827","AUT"
"2020","1.012","AUT"
"2021","3.789","AUT"
"2022","10.54","AUT"
"2023","5.653","AUT"
"2000","2.202","AZE"
"2001","1.78","AZE"
"2002","3.155","AZE"
"2003","3.529","AZE"
"2004","10.455","AZE"
"2005","5.36","AZE"
"2006","11.44","AZE"
"2007","19.56","AZE"
"2008","15.355","AZE"
"2009","0.699","AZE"
"2010","7.918","AZE"
"2011","5.624","AZE"
"2012","-0.26","AZE"
"2013","3.524","AZE"
"2014","-0.145","AZE"
"2015","7.58","AZE"
"2016","15.669","AZE"
"2017","7.938","AZE"
"2018","1.519","AZE"
"2019","2.362","AZE"
"2020","2.615","AZE"
"2021","11.994","AZE"
"2022","14.357","AZE"
"2023","2.092","AZE"
"2000","2.288","BGD"
"2001","2.162","BGD"
"2002","2.446","BGD"
"2003","4.382","BGD"
"2004","8.819","BGD"
"2005","7.348","BGD"
"2006","7.54","BGD"
"2007","9.197","BGD"
"2008","10.032","BGD"
"2009","2.243","BGD"
"2010","8.702","BGD"
"2011","10.044","BGD"
"2012","5.546","BGD"
"2013","8.049","BGD"
"2014","6.966","BGD"
"2015","6.253","BGD"
"2016","5.531","BGD"
"2017","5.944","BGD"
"2018","5.542","BGD"
"2019","5.518","BGD"
"2020","6.021","BGD"
"2021","5.642","BGD"
"2022","7.563","BGD"
"2023","9.745","BGD"
"2000","107.495","BLR"
"2001","46.121","BLR"
"2002","34.792","BLR"
"2003","25.373","BLR"
"2004","14.44","BLR"
"2005","7.94","BLR"
"2006","6.62","BLR"
"2007","12.072","BLR"
"2008","13.3","BLR"
"2009","10.113","BLR"
"2010","9.927","BLR"
"2011","108.686","BLR"
"2012","21.778","BLR"
"2013","16.466","BLR"
"2014","16.22","BLR"
"2015","11.97","BLR"
"2016","10.576","BLR"
"2017","4.59","BLR"
"2018","5.642","BLR"
"2019","4.73","BLR"
"2020","7.336","BLR"
"2021","9.975","BLR"
"2022","12.876","BLR"
"2023","5.84","BLR"
"2000","2.964","BEL"
"2001","1.925","BEL"
"2002","1.333","BEL"
"2003","1.634","BEL"
"2004","2.01","BEL"
"2005","2.759","BEL"
"2006","2.073","BEL"
"2007","3.111","BEL"
"2008","2.699","BEL"
"2009","0.333","BEL"
"2010","3.382","BEL"
"2011","3.185","BEL"
"2012","2.082","BEL"
"2013","1.167","BEL"
"2014","-0.391","BEL"
"2015","1.45","BEL"
"2016","2.204","BEL"
"2017","2.059","BEL"
"2018","2.198","BEL"
"2019","0.922","BEL"
"2020","0.351","BEL"
"2021","6.592","BEL"
"2022","10.213","BEL"
"2023","0.532","BEL"
"2000","8.936","BEN"
"2001","2.24","BEN"
"2002","1.782","BEN"
"2003","1.184","BEN"
"2004","2.931","BEN"
"2005","3.114","BEN"
"2006","6.374","BEN"
"2007","0.332","BEN"
"2008","7.523","BEN"
"2009","-0.188","BEN"
"2010","4.179","BEN"
"2011","1.994","BEN"
"2012","6.89","BEN"
"2013","-1.785","BEN"
