"fecha","inflacion_mensual"
"1989-01-01","8.92000661557979"
"1989-02-01","9.59153717669683"
"1989-03-01","17.0053574727509"
"1989-04-01","33.3701744690931"
"1989-05-01","78.4686871078487"
"1989-06-01","114.472354916954"
"1989-07-01","196.634240670072"
"1989-08-01","37.8613379652842"
"1989-09-01","9.35538225912684"
"1989-10-01","5.59527828023052"
"1989-11-01","6.51900166620307"
"1989-12-01","40.0729486416202"
"1990-01-01","79.2049203354873"
"1990-02-01","61.5703969740248"
"1990-03-01","95.5256637713419"
"1990-04-01","11.372610274844"
"1990-05-01","13.6074310756"
"1990-06-01","13.897887153577"
"1990-07-01","10.8253932742392"
"1990-08-01","15.337704464333"
"1990-09-01","15.6773641245471"
"1990-10-01","7.69041169436513"
"1990-11-01","6.18061425434473"
"1990-12-01","4.67627204374281"
"1991-01-01","7.69866739522254"
"1991-02-01","26.990406595643"
"1991-03-01","11.0422917769985"
"1991-04-01","5.51056073897485"
"1991-05-01","2.80449729853529"
"1991-06-01","3.12374200491425"
"1991-07-01","2.59101777703501"
"1991-08-01","1.30088419998504"
"1991-09-01","1.76644921563163"
"1991-10-01","1.35080081184795"
"1991-11-01","0.38892501450698"
"1991-12-01","0.64921974009462"
"1992-01-01","3.04264641837242"
"1992-02-01","2.15404841890459"
"1992-03-01","2.09960013506922"
"1992-04-01","1.28675011110231"
"1992-05-01","0.673058936558713"
"1992-06-01","0.784089475590855"
"1992-07-01","1.72880389155206"
"1992-08-01","1.49664329081034"
"1992-09-01","1.03374213828074"
"1992-10-01","1.26590009423257"
"1992-11-01","0.460951498110185"
"1992-12-01","0.283697229845337"
"1993-01-01","0.832374481548337"
"1993-02-01","0.730440725728498"
"1993-03-01","0.751852481813975"
"1993-04-01","1.04532818657312"
"1993-05-01","1.28656111752232"
"1993-06-01","0.71930692334039"
"1993-07-01","0.321693702373227"
"1993-08-01","0.0160353347509856"
"1993-09-01","0.824084061562269"
"1993-10-01","0.565284070981731"
"1993-11-01","0.0571659858211726"
"1993-12-01","-0.013125519917645"
