sector,valor
Alimentos y bebidas no alcoholicas,26.93381
Bebidas alcoholicas y tabaco,3.4954
Prendas de vestir y calzado,9.90447
Vivienda agua electricidad gas y otros combustibles,9.43438
Equipamiento y mantenimiento del hogar,6.36303
Salud,8.01883
Transporte,10.98752
Comunicaciones,2.82317
Recreacion y cultura,7.26937
Educacion,2.29781
Restaurantes y hoteles,8.95496
Bienes y servicios varios,3.54986
