"anio","codigo","nivel","rubro","precio_relativo"
"2013","13","1","Cuidado personal, protección social y otros productos","100"
"2013","13.1","2","Cuidado personal","100"
"2013","13.2","2","Efectos personales","100"
"2013","13.3","2","Otros servicios","100"
"2014","01","1","Alimentos y bebidas no alcohólicas","101.310545847059"
"2014","01.1","2","Alimentos","101.116132504123"
"2014","01.1.1","3","Pan y cereales","102.736532259363"
"2014","01.1.2","3","Carnes y derivados","102.18211788994"
"2014","01.1.3","3","Pescados y mariscos","102.172518615253"
"2014","01.1.4","3","Leche, productos lácteos y huevos","99.8523637353818"
"2014","01.1.5","3","Aceites, mantecas y otras grasas","92.9634481386381"
"2014","01.1.6","3","Frutas","104.858193552675"
"2014","01.1.7","3","Verduras, tubérculos y legumbres","97.3003665684635"
"2014","01.1.8","3","Azúcar, repostería y postres","101.248481576161"
"2014","01.1.9","3","Otros alimentos","101.572709760454"
"2014","01.2","2","Bebidas no alcohólicas","102.689032493003"
"2014","02","1","Bebidas alcohólicas y tabaco","100.031445638862"
"2014","02.1","2","Bebidas alcohólicas","93.5908345321243"
"2014","02.1.1","3","Vinos","90.9107801096475"
"2014","02.1.2","3","Cerveza","102.394615561855"
"2014","02.2","2","Tabaco","105.350191052076"
"2014","03","1","Prendas de vestir y calzado","101.732338176709"
"2014","03.1","2","Prendas de vestir","103.078356773724"
"2014","03.2","2","Calzado","97.4113193483949"
"2014","04","1","Vivienda, agua, electricidad, gas y otros combustibles","98.8822963983964"
"2014","04.1","2","Alquiler de la vivienda","91.7756471031175"
"2014","04.2","2","Mantenimiento y reparación de la vivienda","116.966669864601"
"2014","04.3","2","Suministro de agua y otros servicios relacionados con la vivienda","98.8990758183658"
"2014","04.3.1","3","Suministro de agua","148.59624367717"
"2014","04.3.2","3","Gastos comunes por la vivienda","92.9003113053449"
"2014","04.4","2","Electricidad, gas y otros combustibles","103.868725464967"
"2014","04.4.1","3","Electricidad","72.6302575005445"
"2014","04.4.2","3","Gas","145.150586388291"
"2014","05","1","Equipamiento y mantenimiento del hogar","98.4078211641929"
"2014","05.1","2","Muebles, accesorios y alfombras","102.019552317733"
"2014","05.2","2","Artículos textiles para el hogar","102.541327372444"
"2014","05.3","2","Electrodomésticos","106.148683807435"
"2014","05.4","2","Cristalería, vajilla y utensilios para el hogar","109.996074247875"
"2014","05.5","2","Herramientas y accesorios para la casa y el jardín","106.784691763674"
"2014","05.6","2","Bienes y servicios para la conservación del hogar","94.24651738342"
"2014","06","1","Salud","94.0213949821129"
"2014","06.1","2","Medicamentos y productos medicinales","94.7638823327703"
"2014","06.1.1","3","Medicamentos","93.7261738286023"
"2014","06.1.2","3","Productos medicinales","97.5656095563889"
"2014","06.1.3","3","Artefactos y equipos terapéuticos","101.238156979147"
"2014","06.1.4","3","Servicios para pacientes externos","94.6045663608591"
"2014","06.2","2","Seguros médicos","93.0553557869002"
"2014","07","1","Transporte","108.768278458231"
"2014","07.1","2","Adquisición de vehículos","108.509910449812"
"2014","07.2","2","Funcionamiento de equipos de transporte personal","105.639104335069"
"2014","07.3","2","Servicios de transporte de pasajeros","112.177313577634"
"2014","07.3.1","3","Transporte de pasajeros por ferrocarril","109.865511207683"
"2014","07.3.2","3","Transporte de pasajeros por carretera","112.035783909447"
"2014","07.3.3","3","Transporte de pasajeros por aire","114.881546205416"
"2014","08","1","Información y comunicación","88.8587496737393"
"2014","09","1","Recreación y cultura","100.508444737182"
"2014","09.1","2","Productos de recreación","102.145762818451"
"2014","09.2","2","Servicios de recreación","97.8456226801756"
"2014","09.3","2","Servicios culturales","100.40974863843"
"2014","09.4","2","Diarios, libros y artículos de papelería y dibujo","99.7477630849471"
"2014","09.5","2","Paquetes turísticos","103.672258327377"
"2014","10","1","Educación","97.0868941485137"
"2014","11","1","Restaurantes y hoteles","99.2566109919921"
"2014","11.1","2","Servicios de alimentos y bebidas preparadas fuera del hogar","100.433260576409"
"2014","11.2","2","Servicios de alojamiento","89.5583379275342"
"2014","12","1","Seguros y servicios financieros","94.1652021025972"
"2014","12.1","2","Seguros","95.2129264412841"
"2014","12.2","2","Servicios financieros","87.1568420138992"
"2014","13","1","Cuidado personal, protección social y otros productos","98.1085270196675"
"2014","13.1","2","Cuidado personal","100.188658643844"
"2014","13.2","2","Efectos personales","98.5836457463432"
"2014","13.3","2","Otros servicios","89.6565142577841"
"2015","01","1","Alimentos y bebidas no alcohólicas","98.9137002825279"
"2015","01.1","2","Alimentos","98.0008757718257"
"2015","01.1.1","3","Pan y cereales","96.9268624411644"
"2015","01.1.2","3","Carnes y derivados","97.993357682681"
