"anio","fuente","valor","pais_nombre"
"1900","MDP","-15.3178122690318","Argentina"
"1901","MDP","0.174558149683605","Argentina"
"1902","MDP","-5.66325419298627","Argentina"
"1903","MDP","10.1131378434542","Argentina"
"1904","MDP","6.64709582721746","Argentina"
"1905","MDP","9.02477388910737","Argentina"
"1906","MDP","1.13615870153292","Argentina"
"1907","MDP","-1.67617689015692","Argentina"
"1908","MDP","5.7127312295974","Argentina"
"1909","MDP","1.14942528735634","Argentina"
"1910","MDP","3.32428765264585","Argentina"
"1911","MDP","-1.98621142481944","Argentina"
"1912","MDP","4.22039859320047","Argentina"
"1913","MDP","-2.74787080186405","Argentina"
"1914","MDP","-13.0370125578321","Argentina"
"1915","MDP","-1.74805244157325","Argentina"
"1916","MDP","-4.71862309031135","Argentina"
"1917","MDP","-9.74223665516541","Argentina"
"1918","MDP","16.4155610523949","Argentina"
"1919","MDP","1.81572339192581","Argentina"
"1920","MDP","5.02750901157276","Argentina"
"1921","MDP","-0.054190751445077","Argentina"
"1922","MDP","4.75329839146936","Argentina"
"1923","MDP","7.19461697722568","Argentina"
"1924","MDP","4.03991630452279","Argentina"
"1925","MDP","-3.35705445544554","Argentina"
"1926","MDP","1.90491435889226","Argentina"
"1927","MDP","4.06848884699968","Argentina"
"1928","MDP","3.24528301886792","Argentina"
"1929","MDP","1.76900584795321","Argentina"
"1930","MDP","-6.5795144375808","Argentina"
"1931","MDP","-9.01122558819006","Argentina"
"1932","MDP","-5.12083826263309","Argentina"
"1933","MDP","2.81439258995368","Argentina"
"1934","MDP","6.18503118503118","Argentina"
"1935","MDP","2.72475118290096","Argentina"
"1936","MDP","-0.952986022871656","Argentina"
"1937","MDP","5.4361770365619","Argentina"
"1938","MDP","-1.27756653992395","Argentina"
"1939","MDP","1.86411955014636","Argentina"
"1940","MDP","0.317604355716881","Argentina"
"1941","MDP","3.43735866123926","Argentina"
"1942","MDP","-0.466404314239909","Argentina"
"1943","MDP","-2.38687948455117","Argentina"
"1944","MDP","9.4959495949595","Argentina"
"1945","MDP","-4.87738046307713","Argentina"
"1946","MDP","7.10067694080369","Argentina"
"1947","MDP","9.09090909090908","Argentina"
"1948","MDP","3.20512820512822","Argentina"
"1949","MDP","-3.90587673196369","Argentina"
"1950","MDP","-1.19328775637042","Argentina"
"1951","MDP","1.72348723109825","Argentina"
"1952","MDP","-7.01211971308435","Argentina"
"1953","MDP","3.32491022742386","Argentina"
"1954","MDP","2.17531213798429","Argentina"
"1955","MDP","5.16502897455278","Argentina"
"1956","MDP","0.910397700047909","Argentina"
"1957","MDP","3.33570750237418","Argentina"
"1958","MDP","4.34233199310741","Argentina"
"1959","MDP","-8.02598260486623","Argentina"
"1960","MDP","6.06894900646398","Argentina"
"1961","MDP","5.45085204830154","Argentina"
"1962","MDP","-3.15710616438356","Argentina"
"1963","MDP","-3.91203447894794","Argentina"
"1964","MDP","8.63714778608396","Argentina"
"1965","MDP","7.50582257040018","Argentina"
"1966","MDP","-0.777941900541606","Argentina"
"1967","MDP","1.23064708217547","Argentina"
"1968","MDP","2.79411764705881","Argentina"
"1969","MDP","6.98140200286123","Argentina"
"1970","MDP","3.762146741553","Argentina"
"1971","MDP","3.12741644471176","Argentina"
"1972","MDP","1.39131883695742","Argentina"
"1973","MDP","4.2810188989318","Argentina"
"1974","MDP","4.6726026317863","Argentina"
