"anio","geocodigoFundar","geonombreFundar","gdppc_ppp"
"2024","ALB","Albania","21641.0531501345"
"2024","DZA","Argelia","15501.9197003966"
"2024","AND","Andorra","65928.3071971004"
"2024","AGO","Angola","8901.88736611562"
"2024","ATG","Antigua y Barbuda","29371.637778586"
"2024","ARG","Argentina","26771.9657650571"
"2024","ARM","Armenia","20078.7848984844"
"2024","ABW","Aruba","44558.9287594176"
"2024","AUS","Australia","60303.9817116245"
"2024","AUT","Austria","63788.078678479"
"2024","AZE","Azerbaiyán","22072.1491157176"
"2024","BHS","Bahamas","36244.0500123244"
"2024","BHR","Bahrein","58891.8304860737"
"2024","BGD","Bangladesh","8486.78495660517"
"2024","BRB","Barbados","21837.7254102057"
"2024","BLR","Belarús","29040.9725790425"
"2024","BEL","Bélgica","63347.7858809235"
"2024","BLZ","Belice","12621.4081961897"
"2024","BEN","Benin","3901.32588494392"
"2024","BMU","Bermuda","109311.936941299"
"2024","BOL","Bolivia","11329.1518061536"
"2024","BIH","Bosnia y Herzegovina","20527.6769425906"
"2024","BWA","Botswana","18068.5050714283"
"2024","BRA","Brasil","19652.3654991704"
"2024","BRN","Brunei","79071.7333801445"
"2024","BGR","Bulgaria","34221.6237270568"
"2024","BFA","Burkina Faso","2547.67232852209"
"2024","BDI","Burundi","1051.25931339275"
"2024","CPV","Cabo Verde","9848.95276350935"
"2024","KHM","Camboya","7008.88934551726"
"2024","CMR","Camerún","4916.93354019494"
"2024","CAN","Canadá","56706.8238031978"
"2024","CAF","Rep. Centroafricana","1111.21941638883"
"2024","TCD","Chad","2412.865855392"
"2024","CHL","Chile","30182.7871224714"
"2024","CHN","China","23845.6197217259"
"2024","COL","Colombia","18477.2146664536"
"2024","COM","Comoras","3482.53486037478"
"2024","COD","Rep. Dem. Congo","1602.074979895"
"2024","COG","Congo","6181.47071635967"
"2024","CRI","Costa Rica","26973.4361580719"
"2024","CIV","Costa de Marfil","6747.03796777388"
"2024","HRV","Croacia","42829.122254877"
"2024","CUW","Curazao","28762.058180431"
"2024","CYP","Chipre","52635.4765625"
"2024","CZE","Chequia","47963.8968485782"
"2024","DNK","Dinamarca","71431.2926242287"
"2024","DJI","Djibouti","6871.12440453129"
"2024","DMA","Dominica","18739.3640404986"
"2024","DOM","Rep. Dominicana","24229.8894872915"
"2024","ECU","Ecuador","13935.5391125402"
"2024","EGY","Egipto","16798.151577864"
"2024","SLV","El Salvador","11669.0817135644"
"2024","GNQ","Guinea Ecuatorial","15454.428493564"
"2024","EST","Estonia","41189.6675300734"
"2024","SWZ","Eswatini","10380.3966630516"
"2024","ETH","Etiopía","2892.22220168264"
"2024","FRO","Islas Feroe","72059.580327154"
"2024","FJI","Fiji","13592.4635937435"
"2024","FIN","Finlandia","56123.1479579839"
"2024","FRA","Francia","54799.3482689389"
"2024","GAB","Gabón","18923.6616611651"
"2024","GMB","Gambia","3057.68417746891"
"2024","GEO","Georgia","24883.9081161639"
"2024","DEU","Alemania","62554.5547232436"
"2024","GHA","Ghana","7055.62496009323"
"2024","GRC","Grecia","37474.2798239947"
"2024","GRD","Granada","17751.5098662481"
"2024","GTM","Guatemala","12640.8875023146"
"2024","GIN","Guinea","4016.34191386072"
"2024","GNB","Guinea-Bissau","2744.27981043716"
"2024","GUY","Guyana","70516.7215064805"
"2024","HTI","Haití","2809.64535578242"
"2024","HND","Honduras","6585.85535717861"
"2024","HKG","Hong Kong","66153.9746651078"
"2024","HUN","Hungría","40686.9319263343"
"2024","ISL","Islandia","67310.0573573616"
"2024","IND","India","9818.04270686639"
"2024","IDN","Indonesia","14470.4372020578"
"2024","IRN","Irán","17484.1320140467"
"2024","IRQ","Iraq","12725.0431260393"
"2024","IRL","Irlanda","119037.731175443"
"2024","ISR","Israel","47338.8424624205"
"2024","ITA","Italia","53265.0032474189"
"2024","JAM","Jamaica","11340.2638800451"
"2024","JPN","Japón","46106.9229230044"
"2024","JOR","Jordania","9520.25064497454"
"2024","KAZ","Kazajstán","35973.9633287017"
"2024","KEN","Kenia","5845.20117717825"
"2024","KIR","Kiribati","3257.1362912531"
"2024","KOR","Corea del Sur","55070.9386194121"
"2024","XKX","Kosovo","15716.2925564586"
"2024","KWT","Kuwait","46137.4674254845"
"2024","KGZ","Kirguistán","7048.98952111264"
"2024","LAO","Laos","8600.32454665553"
"2024","LVA","Letonia","37611.6699359404"
"2024","LSO","Lesotho","2640.28544552536"
"2024","LBR","Liberia","1646.05861366601"
"2024","LBY","Libia","12583.8338726816"
"2024","LTU","Lituania","47165.3665643051"
"2024","LUX","Luxemburgo","128475.279802738"
"2024","MAC","Macao","111693.502831434"
"2024","MDG","Madagascar","1657.04970622969"
"2024","MWI","Malawi","1634.24660266597"
"2024","MYS","Malasia","34116.2317848885"
"2024","MDV","Maldivas","23034.4098404839"
"2024","MLI","Malí","2916.18529537154"
"2024","MLT","Malta","62700.4227866392"
"2024","MHL","Islas Marshall","7209.26654997536"
"2024","MRT","Mauritania","6482.69016724334"
"2024","MUS","Mauricio","28011.1579806299"
"2024","MEX","México","22039.6287019016"
"2024","FSM","Micronesia","3824.1523439548"
"2024","MDA","Moldavia","16376.6113704265"
"2024","MNG","Mongolia","16842.6505873797"
"2024","MNE","Montenegro","28105.6498964095"
"2024","MAR","Marruecos","9162.7470703125"
"2024","MOZ","Mozambique","1500.31427446351"
"2024","MMR","Myanmar","5276.29433987853"
"2024","NAM","Namibia","10281.3356402988"
"2024","NRU","Nauru","12468.7614524615"
"2024","NPL","Nepal","5046.81592972946"
"2024","NLD","Países Bajos","70498.8840396071"
"2024","NZL","Nueva Zelanda","49316.3999433708"
"2024","NIC","Nicaragua","7661.60202722818"
"2024","NER","Níger","1803.4369300532"
"2024","NGA","Nigeria","7994.21563861459"
"2024","MKD","Macedonia del Norte","24203.2443419798"
"2024","NOR","Noruega","91105.246799623"
"2024","OMN","Omán","36721.0804634186"
"2024","PAK","Pakistán","5500.32394824285"
"2024","PAN","Panamá","36394.9175291147"
"2024","PNG","Papúa Nueva Guinea","4288.52828988176"
"2024","PRY","Paraguay","16296.2836189263"
"2024","PER","Perú","15661.7497711956"
"2024","PHL","Filipinas","10375.9404179938"
"2024","POL","Polonia","45153.0439773281"
"2024","PRT","Portugal","42197.2025135828"
"2024","PRI","Puerto Rico","44205.7494879255"
"2024","QAT","Qatar","110889.792701691"
"2024","ROU","Rumania","40503.9736277987"
"2024","RUS","Rusia","41704.7109375"
"2024","RWA","Ruanda","3264.64451474392"
"2024","WSM","Samoa","7686.24942571869"
"2024","STP","Santo Tomé y Príncipe","5491.29829852275"
"2024","SAU","Arabia Saudita","62792.7741476371"
"2024","SEN","Senegal","4460.92372176318"
"2024","SRB","Serbia","26900.7834030903"
"2024","SYC","Seychelles","29241.7758048825"
"2024","SLE","Sierra Leona","3098.76290609663"
"2024","SGP","Singapur","132569.525225795"
"2024","SXM","San Martín (parte holandesa)","47303.194758482"
"2024","SVK","Eslovaquia","40319.0547230873"
"2024","SVN","Eslovenia","48648.9078834081"
