"anio","geocodigoFundar","geonombreFundar","anios_educacion_promedio"
"2023","TCD","Chad","2.335"
"2023","TGO","Togo","5.861"
"2023","THA","Tailandia","9.04"
"2023","TJK","Tayikistán","11.271"
"2023","TKM","Turkmenistán","11.208"
"2023","TLS","Timor-Leste","6.227"
"2023","TON","Tonga","10.915"
"2023","TTO","Trinidad y Tobago","10.793"
"2023","TUN","Túnez","7.595"
"2023","TUR","Turquía","8.986"
"2023","TUV","Tuvalu","10.767"
"2023","TZA","Tanzanía","6.065"
"2023","UGA","Uganda","6.324"
"2023","UKR","Ucrania","11.123"
"2023","URY","Uruguay","10.54"
"2023","USA","Estados Unidos","13.91"
"2023","UZB","Uzbekistán","11.91"
"2023","VCT","San Vicente y las Granadinas","11.295"
"2023","VEN","Venezuela","9.678"
"2023","VNM","Vietnam","8.98"
"2023","VUT","Vanuatu","7.183"
"2023","WSM","Samoa","11.333"
"2023","YEM","Yemen","5.484"
"2023","ZAF","Sudáfrica","11.61"
"2023","ZMB","Zambia","7.397"
"2023","ZWE","Zimbabwe","8.931"
"2023","LCN","América Latina y el Caribe","9.13"
"2023","WLD","Mundo","8.775"
"2023","HIC","Países de altos ingresos","12.8831090598749"
