"anio","geocodigoFundar","geonombreFundar","le_birth","ranking"
"1965","SLE","Sierra Leona","32.8839","146"
"1970","SLE","Sierra Leona","34.36341","146"
"1975","SLE","Sierra Leona","35.08342","145"
"1980","SLE","Sierra Leona","41.763","155"
"1985","SLE","Sierra Leona","42.39","157"
"1990","SLE","Sierra Leona","44.0568","158"
"1995","SLE","Sierra Leona","42.7157","161"
"2000","SLE","Sierra Leona","45.0503","160"
"2005","SLE","Sierra Leona","48.2373","158"
"2010","SLE","Sierra Leona","53.6932","155"
"2015","SLE","Sierra Leona","57.189","157"
"2020","SLE","Sierra Leona","59.7632","152"
"1870","ZAF","Sudáfrica","30","32"
"1880","ZAF","Sudáfrica","31.3","29"
"1890","ZAF","Sudáfrica","33.7","28"
"1900","ZAF","Sudáfrica","35","30"
"1913","ZAF","Sudáfrica","36.1870687809125","33"
"1925","ZAF","Sudáfrica","37","39"
"1929","ZAF","Sudáfrica","37.5","40"
"1933","ZAF","Sudáfrica","38.1","42"
"1938","ZAF","Sudáfrica","40","42"
"1950","ZAF","Sudáfrica","45","78"
"1955","ZAF","Sudáfrica","48","79"
"1960","ZAF","Sudáfrica","49.1561","78"
"1965","ZAF","Sudáfrica","51.1439","80"
"1970","ZAF","Sudáfrica","53.13171","84"
"1975","ZAF","Sudáfrica","55.12683","90"
"1980","ZAF","Sudáfrica","56.792","113"
"1985","ZAF","Sudáfrica","59.514","112"
"1990","ZAF","Sudáfrica","63.3753","100"
"1995","ZAF","Sudáfrica","62.2616","108"
"2000","ZAF","Sudáfrica","58.4704","121"
"2005","ZAF","Sudáfrica","53.9797","142"
"2010","ZAF","Sudáfrica","58.8987","136"
"2015","ZAF","Sudáfrica","63.9499","128"
"2020","ZAF","Sudáfrica","65.2522","126"
"1870","SDN","Sudán","25","77.5"
"1880","SDN","Sudán","25","79"
"1890","SDN","Sudán","25","81"
"1900","SDN","Sudán","25","89"
"1913","SDN","Sudán","25","103.5"
"1925","SDN","Sudán","25","107.5"
"1929","SDN","Sudán","25","116.5"
"1933","SDN","Sudán","25","118"
"1938","SDN","Sudán","27.0005412067011","110.5"
"1950","SDN","Sudán","37.7","114"
"1955","SDN","Sudán","38.7","119.5"
"1960","SDN","Sudán","39.26585","125"
"1965","SDN","Sudán","40.86585","126"
"1970","SDN","Sudán","42.86585","124"
"1975","SDN","Sudán","45.46585","121"
"1980","SDN","Sudán","49.485","133"
"1985","SDN","Sudán","50.925","136"
"1990","SDN","Sudán","49.7321","142"
"1995","SDN","Sudán","51.991","139"
"2000","SDN","Sudán","58.3185","124"
"2005","SDN","Sudán","57.2786","132"
"2010","SDN","Sudán","63.0161","124"
"2015","SDN","Sudán","64.6587","124"
"2020","SDN","Sudán","65.6136","124"
"1870","TZA","Tanzanía","25","77.5"
"1880","TZA","Tanzanía","25","79"
"1890","TZA","Tanzanía","25","81"
"1900","TZA","Tanzanía","25","89"
"1913","TZA","Tanzanía","25.9","85"
"1925","TZA","Tanzanía","25.9","91"
"1929","TZA","Tanzanía","30.3027605207807","70"
"1933","TZA","Tanzanía","30.3027605207807","78"
"1938","TZA","Tanzanía","34.2","68"
"1950","TZA","Tanzanía","37.05","118"
"1955","TZA","Tanzanía","39.35","117"
"1960","TZA","Tanzanía","40.72146","115"
"1965","TZA","Tanzanía","43.10098","115"
"1970","TZA","Tanzanía","45.50098","112"
"1975","TZA","Tanzanía","47.95951","112"
"1980","TZA","Tanzanía","50.21","131"
"1985","TZA","Tanzanía","51.116","133"
"1990","TZA","Tanzanía","51.4849","138"
"1995","TZA","Tanzanía","50.7858","142"
"2000","TZA","Tanzanía","52.3623","138"
"2005","TZA","Tanzanía","56.2991","135"
"2010","TZA","Tanzanía","60.1048","132"
"2015","TZA","Tanzanía","64.6507","125"
"2020","TZA","Tanzanía","66.4077","121"
"1870","TGO","Togo","25","77.5"
"1880","TGO","Togo","25","79"
"1890","TGO","Togo","25","81"
"1900","TGO","Togo","25","89"
"1913","TGO","Togo","28","68"
"1925","TGO","Togo","28","74"
"1929","TGO","Togo","29.67363798082","79.5"
"1933","TGO","Togo","29.67363798082","92.5"
"1938","TGO","Togo","31.3","98"
"1950","TGO","Togo","36","126"
"1955","TGO","Togo","38.05","124"
"1960","TGO","Togo","39.5122","121"
"1965","TGO","Togo","41.98146","120"
"1970","TGO","Togo","44.46098","116.5"
"1975","TGO","Togo","46.99024","116.5"
"1980","TGO","Togo","54.823","119"
"1985","TGO","Togo","56.675","122"
"1990","TGO","Togo","54.3697","132"
"1995","TGO","Togo","54.0366","135"
"2000","TGO","Togo","54.742","132"
"2005","TGO","Togo","55.9618","136"
"2010","TGO","Togo","57.3042","140"
"2015","TGO","Togo","59.3958","147"
"2020","TGO","Togo","61.035","146"
"1870","TUN","Túnez","25","77.5"
"1880","TUN","Túnez","25","79"
"1890","TUN","Túnez","25","81"
"1900","TUN","Túnez","26.5816611455246","54"
"1913","TUN","Túnez","28.8","62.5"
"1925","TUN","Túnez","28.8","69"
"1929","TUN","Túnez","30.6986121267036","66"
"1933","TUN","Túnez","31.22","66"
"1938","TUN","Túnez","33.72","71.5"
"1950","TUN","Túnez","44.6","79"
"1955","TUN","Túnez","47.1","80"
"1960","TUN","Túnez","48.58781","80"
"1965","TUN","Túnez","51.08781","81"
"1970","TUN","Túnez","54.18781","80"
"1975","TUN","Túnez","58.55122","79"
"1980","TUN","Túnez","62.052","89"
"1985","TUN","Túnez","65.628","83"
"1990","TUN","Túnez","70.1103","60"
"1995","TUN","Túnez","71.9876","53"
"2000","TUN","Túnez","73.6901","48"
"2005","TUN","Túnez","74.7642","47"
"2010","TUN","Túnez","75.4206","54"
"2015","TUN","Túnez","75.6919","57"
"2020","TUN","Túnez","75.2923","60"
"1870","UGA","Uganda","25","77.5"
"1880","UGA","Uganda","25","79"
"1890","UGA","Uganda","25","81"
"1900","UGA","Uganda","25","89"
"1913","UGA","Uganda","25","103.5"
"1925","UGA","Uganda","25","107.5"
"1929","UGA","Uganda","25","116.5"
"1933","UGA","Uganda","25","118"
"1938","UGA","Uganda","26.4","115"
"1950","UGA","Uganda","40.05","100"
"1955","UGA","Uganda","42","101"
"1960","UGA","Uganda","44.06097","98"
"1965","UGA","Uganda","47.15781","97"
"1970","UGA","Uganda","49.75024","97"
"1975","UGA","Uganda","49.50927","106"
"1980","UGA","Uganda","50.037","132"
"1985","UGA","Uganda","49.864","140"
"1990","UGA","Uganda","46.4426","151"
"1995","UGA","Uganda","46.5674","152"
"2000","UGA","Uganda","48.3415","151"
"2005","UGA","Uganda","52.9756","147"
"2010","UGA","Uganda","57.0547","142"
"2015","UGA","Uganda","61.0856","139"
"2020","UGA","Uganda","62.8513","135"
"1870","ZMB","Zambia","25","77.5"
"1880","ZMB","Zambia","25","79"
"1890","ZMB","Zambia","25","81"
"1900","ZMB","Zambia","25","89"
"1913","ZMB","Zambia","25","103.5"
"1925","ZMB","Zambia","25","107.5"
"1929","ZMB","Zambia","28.8703174624662","83"
"1933","ZMB","Zambia","33.3819008887776","55"
"1938","ZMB","Zambia","36","53.5"
"1950","ZMB","Zambia","37.85","111.5"
"1955","ZMB","Zambia","40.35","112"
"1960","ZMB","Zambia","41.78146","108"
"1965","ZMB","Zambia","44.26097","108"
"1970","ZMB","Zambia","46.49024","107"
"1975","ZMB","Zambia","48.50976","110"
"1980","ZMB","Zambia","51.927","127"
"1985","ZMB","Zambia","52.103","130"
"1990","ZMB","Zambia","47.9263","147"
"1995","ZMB","Zambia","45.5534","156"
"2000","ZMB","Zambia","45.2312","159"
"2005","ZMB","Zambia","50.6591","155"
"2010","ZMB","Zambia","56.7991","143"
"2015","ZMB","Zambia","61.2078","138"
"2020","ZMB","Zambia","62.3803","140"
"1870","ZWE","Zimbabwe","25","77.5"
"1880","ZWE","Zimbabwe","25","79"
"1890","ZWE","Zimbabwe","25","81"
"1900","ZWE","Zimbabwe","25","89"
"1913","ZWE","Zimbabwe","25","103.5"
"1925","ZWE","Zimbabwe","25","107.5"
"1929","ZWE","Zimbabwe","26.4","99"
"1933","ZWE","Zimbabwe","26.4","105"
"1938","ZWE","Zimbabwe","29.3671469740634","107"
"1950","ZWE","Zimbabwe","41.5","94"
"1955","ZWE","Zimbabwe","44","93.5"
"1960","ZWE","Zimbabwe","45.46098","92"
"1965","ZWE","Zimbabwe","47.99024","94"
"1970","ZWE","Zimbabwe","50.50829","95"
"1975","ZWE","Zimbabwe","52.85659","95"
"1980","ZWE","Zimbabwe","58.958","103"
"1985","ZWE","Zimbabwe","61.262","102"
"1990","ZWE","Zimbabwe","59.4264","116"
"1995","ZWE","Zimbabwe","50.531","143"
"2000","ZWE","Zimbabwe","44.6864","161"
"2005","ZWE","Zimbabwe","44.7677","160"
"2010","ZWE","Zimbabwe","50.6523","157"
"2015","ZWE","Zimbabwe","59.5911","146"
"2020","ZWE","Zimbabwe","61.1242","145"
"1950","AFG","Afganistán","31.55","142"
"1955","AFG","Afganistán","32.8","142.5"
"1960","AFG","Afganistán","34.61171","141"
"1965","AFG","Afganistán","36.82049","139"
"1970","AFG","Afganistán","38.4","139"
"1975","AFG","Afganistán","39.4","140"
"1980","AFG","Afganistán","40.5","157"
"1985","AFG","Afganistán","41.5","159"
"1990","AFG","Afganistán","45.9672","153"
"1995","AFG","Afganistán","52.5442","138"
"2000","AFG","Afganistán","55.2978","131"
"2005","AFG","Afganistán","58.3608","128"
"2010","AFG","Afganistán","60.8508","129"
"2015","AFG","Afganistán","62.6587","134"
"2020","AFG","Afganistán","62.5751","139"
"1980","ARM","Armenia","70.933","36"
"1985","ARM","Armenia","69.706","55"
"1990","ARM","Armenia","68.8209","77"
"1995","ARM","Armenia","69.3108","76"
"2000","ARM","Armenia","70.6236","75"
"2005","ARM","Armenia","71.7922","75"
"2010","ARM","Armenia","73.1597","74"
"2015","ARM","Armenia","74.4361","73"
"2020","ARM","Armenia","72.173","85"
"1980","AZE","Azerbaiyán","64.917","80"
"1985","AZE","Azerbaiyán","65.554","84"
"1990","AZE","Azerbaiyán","62.3522","109"
"1995","AZE","Azerbaiyán","62.3052","107"
"2000","AZE","Azerbaiyán","64.8905","106"
"2005","AZE","Azerbaiyán","67.5619","100"
"2010","AZE","Azerbaiyán","69.5291","99"
"2015","AZE","Azerbaiyán","71.4512","95"
"2020","AZE","Azerbaiyán","66.8679","117"
"1870","BHR","Bahrein","25","77.5"
"1880","BHR","Bahrein","25","79"
"1890","BHR","Bahrein","25","81"
"1900","BHR","Bahrein","25","89"
"1913","BHR","Bahrein","26","81.5"
"1925","BHR","Bahrein","26","87.5"
"1929","BHR","Bahrein","26","107"
"1933","BHR","Bahrein","26","110"
"1938","BHR","Bahrein","26","118.5"
"1950","BHR","Bahrein","51.05","60"
"1955","BHR","Bahrein","54","62"
"1960","BHR","Bahrein","55.78878","63"
"1965","BHR","Bahrein","58.80439","63"
"1970","BHR","Bahrein","62.1039","60"
"1975","BHR","Bahrein","64.88342","58"
"1980","BHR","Bahrein","67.354","63"
"1985","BHR","Bahrein","69.995","51"
"1990","BHR","Bahrein","72.6677","37"
"1995","BHR","Bahrein","73.7988","38"
"2000","BHR","Bahrein","75.4964","35"
"2005","BHR","Bahrein","76.9306","34"
"2010","BHR","Bahrein","78.748","31"
"2015","BHR","Bahrein","79.4046","33"
"2020","BHR","Bahrein","79.1735","33"
"1950","BGD","Bangladesh","36.6","119"
"1955","BGD","Bangladesh","38.6","121"
"1960","BGD","Bangladesh","39.82976","119"
"1965","BGD","Bangladesh","42.24244","119"
"1970","BGD","Bangladesh","44.24878","119"
"1975","BGD","Bangladesh","46.00244","120"
"1980","BGD","Bangladesh","47.669","139"
"1985","BGD","Bangladesh","50.917","137"
"1990","BGD","Bangladesh","55.9886","126"
"1995","BGD","Bangladesh","59.4673","117"
"2000","BGD","Bangladesh","65.7791","101"
"2005","BGD","Bangladesh","67.2992","102"
"2010","BGD","Bangladesh","68.6384","104"
"2015","BGD","Bangladesh","70.4913","100"
"2020","BGD","Bangladesh","71.9678","91"
"1950","BRN","Brunei","60.35","34"
"1955","BRN","Brunei","61.5","42"
"1960","BRN","Brunei","62.38781","45"
"1965","BRN","Brunei","64.18049","46"
"1970","BRN","Brunei","67.00829","41"
"1975","BRN","Brunei","69.17122","39"
"1980","BRN","Brunei","70.628","41"
"1985","BRN","Brunei","72.465","35"
"1990","BRN","Brunei","71.6563","46"
"1995","BRN","Brunei","72.8161","43"
"2000","BRN","Brunei","74.0801","43"
"2005","BRN","Brunei","74.7309","48"
"2010","BRN","Brunei","74.8492","57"
"2015","BRN","Brunei","74.7498","67"
"2020","BRN","Brunei","74.7949","64"
"1870","KHM","Camboya","25","77.5"
"1880","KHM","Camboya","25","79"
"1890","KHM","Camboya","25","81"
"1900","KHM","Camboya","25","89"
"1913","KHM","Camboya","25","103.5"
"1925","KHM","Camboya","25","107.5"
"1929","KHM","Camboya","32","56.5"
"1933","KHM","Camboya","32","60"
"1938","KHM","Camboya","35","59.5"
"1950","KHM","Camboya","39.45","103"
"1955","KHM","Camboya","43.75","95"
"1960","KHM","Camboya","42.59512","104"
"1965","KHM","Camboya","44.61464","105"
"1970","KHM","Camboya","42.3561","129"
"1975","KHM","Camboya","34.85854","146"
"1980","KHM","Camboya","40.02","160"
"1985","KHM","Camboya","53.565","128"
"1990","KHM","Camboya","55.4341","129"
"1995","KHM","Camboya","56.3076","126"
"2000","KHM","Camboya","58.6253","120"
"2005","KHM","Camboya","64.2933","115"
"2010","KHM","Camboya","67.7123","108"
"2015","KHM","Camboya","69.8725","104"
"2020","KHM","Camboya","70.416","101"
"1870","CHN","China","25","77.5"
"1880","CHN","China","25","79"
"1890","CHN","China","25","81"
"1900","CHN","China","25","89"
"1913","CHN","China","25","103.5"
"1925","CHN","China","25","107.5"
"1929","CHN","China","32","56.5"
"1933","CHN","China","34","52"
"1938","CHN","China","35","59.5"
"1950","CHN","China","40.8","97"
"1955","CHN","China","44.65","90"
"1960","CHN","China","36.31951","135"
"1965","CHN","China","54.87683","73"
"1970","CHN","China","61.74195","62"
"1975","CHN","China","64.68049","60"
"1980","CHN","China","65.981","70"
"1985","CHN","China","66.89","76"
"1990","CHN","China","68.0052","83"
"1995","CHN","China","70.008","69"
"2000","CHN","China","71.8807","61"
"2005","CHN","China","74.1111","54"
"2010","CHN","China","75.5991","51"
"2015","CHN","China","76.9771","48"
"2020","CHN","China","78.0766","39"
"1870","HKG","Hong Kong","25","77.5"
"1880","HKG","Hong Kong","25","79"
"1890","HKG","Hong Kong","25","81"
"1900","HKG","Hong Kong","30.747","40"
"1913","HKG","Hong Kong","32.19","38"
"1925","HKG","Hong Kong","42.846","29"
"1929","HKG","Hong Kong","45.4545","29"
"1933","HKG","Hong Kong","46.731","29"
"1938","HKG","Hong Kong","48.174","31"
"1950","HKG","Hong Kong","61.05","32"
"1955","HKG","Hong Kong","64.75","31"
"1960","HKG","Hong Kong","66.04098","31"
"1965","HKG","Hong Kong","67.65171","32"
"1970","HKG","Hong Kong","69.9578","27"
"1975","HKG","Hong Kong","71.54512","23"
"1980","HKG","Hong Kong","74.588","10"
"1985","HKG","Hong Kong","75.817","10"
"1990","HKG","Hong Kong","77.4724","4"
"1995","HKG","Hong Kong","79.1505","2"
"2000","HKG","Hong Kong","80.7461","2"
"2005","HKG","Hong Kong","81.7707","2"
"2010","HKG","Hong Kong","82.993","1"
"2015","HKG","Hong Kong","84.2888","1"
"2020","HKG","Hong Kong","85.1968","1"
"1980","GEO","Georgia","69.686","48"
"1985","GEO","Georgia","70.04","50"
"1990","GEO","Georgia","68.389","80"
"1995","GEO","Georgia","68.8509","80"
"2000","GEO","Georgia","69.5754","86"
"2005","GEO","Georgia","71.13","82"
"2010","GEO","Georgia","72.1277","85"
"2015","GEO","Georgia","73.2972","80"
"2020","GEO","Georgia","72.7653","79"
"1870","IND","India","25","77.5"
"1880","IND","India","25.4424","41"
"1890","IND","India","25","81"
"1900","IND","India","25","89"
"1913","IND","India","25","103.5"
"1925","IND","India","27.95","76.5"
"1929","IND","India","29.3144","81.5"
"1933","IND","India","30.95","71.5"
"1938","IND","India","32.5928","83"
"1950","IND","India","41.22","95"
"1955","IND","India","41.22","105"
"1960","IND","India","44.32976","97"
"1965","IND","India","46.99756","98"
"1970","IND","India","49.37073","99"
"1975","IND","India","51.82586","99"
"1980","IND","India","55.107","118"
"1985","IND","India","56.86","120"
"1990","IND","India","58.6516","120"
"1995","IND","India","60.5962","112"
"2000","IND","India","62.6693","111"
"2005","IND","India","64.9955","111"
"2010","IND","India","66.9086","112"
"2015","IND","India","69.6363","106"
"2020","IND","India","70.1499","104"
"1870","IDN","Indonesia","25","77.5"
"1880","IDN","Indonesia","25","79"
"1890","IDN","Indonesia","25","81"
"1900","IDN","Indonesia","25","89"
"1913","IDN","Indonesia","27.5","73"
"1925","IDN","Indonesia","30","61.5"
"1929","IDN","Indonesia","30","77"
"1933","IDN","Indonesia","32.5","58"
"1938","IDN","Indonesia","35","59.5"
"1950","IDN","Indonesia","37.5","116"
"1955","IDN","Indonesia","39.95","115"
"1960","IDN","Indonesia","41.49024","109"
"1965","IDN","Indonesia","44.59707","106"
"1970","IDN","Indonesia","47.92195","103"
"1975","IDN","Indonesia","51.31951","100"
"1980","IDN","Indonesia","54.437","120"
"1985","IDN","Indonesia","58.288","118"
"1990","IDN","Indonesia","63.1807","101"
"1995","IDN","Indonesia","65.2375","98"
"2000","IDN","Indonesia","66.4334","99"
"2005","IDN","Indonesia","67.6492","99"
"2010","IDN","Indonesia","68.6793","103"
"2015","IDN","Indonesia","69.6989","105"
"2020","IDN","Indonesia","68.8077","110"
"1870","IRN","Irán","25","77.5"
"1880","IRN","Irán","25","79"
"1890","IRN","Irán","25","81"
"1900","IRN","Irán","25","89"
"1913","IRN","Irán","25","103.5"
"1925","IRN","Irán","25","107.5"
"1929","IRN","Irán","27.5","94.5"
"1933","IRN","Irán","30","86.5"
"1938","IRN","Irán","35","59.5"
"1950","IRN","Irán","46.1","74"
"1955","IRN","Irán","48.3","77"
"1960","IRN","Irán","47.77219","82"
"1965","IRN","Irán","50.22585","84"
"1970","IRN","Irán","52.79805","85"
"1975","IRN","Irán","55.49756","88"
"1980","IRN","Irán","58.589","104"
"1985","IRN","Irán","61.288","101"
"1990","IRN","Irán","64.3665","96"
"1995","IRN","Irán","67.7846","86"
"2000","IRN","Irán","69.6909","85"
"2005","IRN","Irán","71.8384","74"
"2010","IRN","Irán","73.0691","75"
"2015","IRN","Irán","75.1239","61"
"2020","IRN","Irán","74.832","63"
"1870","IRQ","Iraq","25","77.5"
"1880","IRQ","Iraq","25","79"
"1890","IRQ","Iraq","25","81"
"1900","IRQ","Iraq","25","89"
"1913","IRQ","Iraq","25","103.5"
"1925","IRQ","Iraq","25","107.5"
"1929","IRQ","Iraq","30","77"
"1933","IRQ","Iraq","30","86.5"
"1938","IRQ","Iraq","35","59.5"
"1950","IRQ","Iraq","44","80"
"1955","IRQ","Iraq","47","81"
"1960","IRQ","Iraq","48.77805","79"
"1965","IRQ","Iraq","51.77805","78"
"1970","IRQ","Iraq","55.37805","79"
"1975","IRQ","Iraq","59.61805","74"
"1980","IRQ","Iraq","61.001","92"
"1985","IRQ","Iraq","62.214","98"
"1990","IRQ","Iraq","58.4355","122"
"1995","IRQ","Iraq","66.4641","93"
"2000","IRQ","Iraq","66.8171","97"
"2005","IRQ","Iraq","64.8438","113"
"2010","IRQ","Iraq","67.0622","111"
"2015","IRQ","Iraq","69.4403","108"
"2020","IRQ","Iraq","69.1228","109"
"1950","ISR","Israel","68.87","9"
"1955","ISR","Israel","70.042","10"
"1960","ISR","Israel","70.975","10"
"1965","ISR","Israel","71.771","8"
"1970","ISR","Israel","72.57","9"
"1975","ISR","Israel","72.1","19"
"1980","ISR","Israel","73.9","16"
"1985","ISR","Israel","75.45","13"
"1990","ISR","Israel","77.1942","8"
"1995","ISR","Israel","77.6352","13"
"2000","ISR","Israel","78.9276","12"
"2005","ISR","Israel","80.2171","11"
"2010","ISR","Israel","81.7443","8"
"2015","ISR","Israel","82.0999","14"
"2020","ISR","Israel","82.3598","14"
"1870","JPN","Japón","36.6","16"
"1880","JPN","Japón","37.42","18"
"1890","JPN","Japón","37.67568","20"
"1900","JPN","Japón","38.6","24"
"1913","JPN","Japón","40.43652","26"
"1925","JPN","Japón","42.63","30"
"1929","JPN","Japón","45.68","28"
"1933","JPN","Japón","46.9775","28"
"1938","JPN","Japón","48.275","30"
"1950","JPN","Japón","59.24","37"
"1955","JPN","Japón","65.7","28"
"1960","JPN","Japón","67.7","30"
"1965","JPN","Japón","70.24","21"
"1970","JPN","Japón","72","12"
"1975","JPN","Japón","74.36","7"
"1980","JPN","Japón","76.14","2"
"1985","JPN","Japón","77.8","1"
"1990","JPN","Japón","78.9838","1"
"1995","JPN","Japón","79.6702","1"
"2000","JPN","Japón","81.1759","1"
"2005","JPN","Japón","82.012","1"
"2010","JPN","Japón","82.9193","2"
"2015","JPN","Japón","83.8928","2"
"2020","JPN","Japón","84.6879","2"
"1870","JOR","Jordania","25","77.5"
"1880","JOR","Jordania","25","79"
"1890","JOR","Jordania","25","81"
"1900","JOR","Jordania","25","89"
"1913","JOR","Jordania","25","103.5"
"1925","JOR","Jordania","25","107.5"
"1929","JOR","Jordania","28.2065217391304","90"
"1933","JOR","Jordania","28.2065217391304","101"
"1938","JOR","Jordania","37.6086956521739","46"
"1950","JOR","Jordania","43.25","82"
"1955","JOR","Jordania","52.3","64"
"1960","JOR","Jordania","52.3","72"
"1965","JOR","Jordania","51.7","79"
"1970","JOR","Jordania","56.6","76"
"1975","JOR","Jordania","61.2","68"
"1980","JOR","Jordania","62.627","86"
"1985","JOR","Jordania","64.847","89"
"1990","JOR","Jordania","69.8538","63"
"1995","JOR","Jordania","70.8699","65"
"2000","JOR","Jordania","71.9178","60"
"2005","JOR","Jordania","72.9321","63"
"2010","JOR","Jordania","73.9996","63"
"2015","JOR","Jordania","75.0112","63"
"2020","JOR","Jordania","75.1843","61"
"1980","KAZ","Kazajstán","64.961","79"
"1985","KAZ","Kazajstán","66.87","77"
"1990","KAZ","Kazajstán","64.8758","94"
"1995","KAZ","Kazajstán","63.7216","105"
"2000","KAZ","Kazajstán","64.1781","108"
"2005","KAZ","Kazajstán","65.117","110"
"2010","KAZ","Kazajstán","68.1157","106"
"2015","KAZ","Kazajstán","70.7265","99"
"2020","KAZ","Kazajstán","70.0304","106"
"1870","KOR","Corea del Sur","25","77.5"
"1880","KOR","Corea del Sur","25","79"
"1890","KOR","Corea del Sur","25","81"
"1900","KOR","Corea del Sur","25","89"
"1913","KOR","Corea del Sur","25","103.5"
"1925","KOR","Corea del Sur","29.5","63"
"1929","KOR","Corea del Sur","33.60512","47"
"1933","KOR","Corea del Sur","37.38824","43"
"1938","KOR","Corea del Sur","42.57104","39"
"1950","KOR","Corea del Sur","47.924","70"
"1955","KOR","Corea del Sur","51.231","68"
"1960","KOR","Corea del Sur","52.4","71"
"1965","KOR","Corea del Sur","58.838","62"
"1970","KOR","Corea del Sur","62.1","61"
"1975","KOR","Corea del Sur","64.1","65"
"1980","KOR","Corea del Sur","65.9","72"
"1985","KOR","Corea del Sur","68.6","66"
"1990","KOR","Corea del Sur","71.9401","42"
"1995","KOR","Corea del Sur","73.9409","36"
"2000","KOR","Corea del Sur","76.4661","31"
"2005","KOR","Corea del Sur","78.5192","24"
"2010","KOR","Corea del Sur","80.763","17"
"2015","KOR","Corea del Sur","82.5605","8"
"2020","KOR","Corea del Sur","83.6089","4"
"1870","KWT","Kuwait","25","77.5"
"1880","KWT","Kuwait","25","79"
"1890","KWT","Kuwait","25","81"
"1900","KWT","Kuwait","25","89"
"1913","KWT","Kuwait","26","81.5"
"1925","KWT","Kuwait","26","87.5"
"1929","KWT","Kuwait","26","107"
"1933","KWT","Kuwait","26","110"
"1938","KWT","Kuwait","26","118.5"
"1950","KWT","Kuwait","55.8","51"
"1955","KWT","Kuwait","58.3","53"
"1960","KWT","Kuwait","59.75854","55"
"1965","KWT","Kuwait","62.94488","48"
"1970","KWT","Kuwait","66.11171","44"
"1975","KWT","Kuwait","68.62975","41"
"1980","KWT","Kuwait","70.254","45"
"1985","KWT","Kuwait","72.82","32"
"1990","KWT","Kuwait","73.2805","33"
"1995","KWT","Kuwait","75.5368","26"
"2000","KWT","Kuwait","76.722","28"
"2005","KWT","Kuwait","76.9027","35"
"2010","KWT","Kuwait","77.9817","37"
"2015","KWT","Kuwait","79.5624","32"
"2020","KWT","Kuwait","76.9198","48"
"1980","KGZ","Kirguistán","63.085","82"
"1985","KGZ","Kirguistán","65.104","86"
"1990","KGZ","Kirguistán","64.2722","97"
"1995","KGZ","Kirguistán","63.927","104"
"2000","KGZ","Kirguistán","65.3982","104"
"2005","KGZ","Kirguistán","66.3854","105"
"2010","KGZ","Kirguistán","68.254","105"
"2015","KGZ","Kirguistán","69.9963","103"
"2020","KGZ","Kirguistán","69.6291","107"
"1870","LAO","Laos","25","77.5"
"1880","LAO","Laos","25","79"
"1890","LAO","Laos","25","81"
"1900","LAO","Laos","25","89"
"1913","LAO","Laos","25","103.5"
"1925","LAO","Laos","25","107.5"
"1929","LAO","Laos","25","116.5"
"1933","LAO","Laos","28.7692307692308","97"
"1938","LAO","Laos","34","69.5"
"1950","LAO","Laos","37.85","111.5"
"1955","LAO","Laos","40.45","111"
"1960","LAO","Laos","40.41707","116"
"1965","LAO","Laos","40.41707","129"
"1970","LAO","Laos","40.41707","133"
"1975","LAO","Laos","42.27561","132"
"1980","LAO","Laos","48.759","134"
"1985","LAO","Laos","50.952","135"
"1990","LAO","Laos","53.7128","133"
"1995","LAO","Laos","56.3851","125"
"2000","LAO","Laos","58.3779","122"
"2005","LAO","Laos","60.9802","121"
"2010","LAO","Laos","63.9731","119"
"2015","LAO","Laos","66.67","116"
"2020","LAO","Laos","68.4968","111"
"1870","LBN","Líbano","30.234153616704","29"
"1880","LBN","Líbano","30.9858314690529","31"
"1890","LBN","Líbano","32.1551081282625","31"
"1900","LBN","Líbano","33.7419835943326","32"
"1913","LBN","Líbano","34.4101416853095","34"
"1925","LBN","Líbano","39.7247916585853","33"
"1929","LBN","Líbano","41.751528709918","35"
"1933","LBN","Líbano","43.7803574945963","33"
"1938","LBN","Líbano","48.6920208799403","28"
"1950","LBN","Líbano","56","50"
"1955","LBN","Líbano","58.55","52"
"1960","LBN","Líbano","59.82586","53"
"1965","LBN","Líbano","62.02488","53"
"1970","LBN","Líbano","64.16341","53"
"1975","LBN","Líbano","65.00244","57"
"1980","LBN","Líbano","66.522","68"
"1985","LBN","Líbano","67.418","73"
"1990","LBN","Líbano","64.4747","95"
"1995","LBN","Líbano","72.0432","51"
"2000","LBN","Líbano","73.9309","45"
"2005","LBN","Líbano","76.2726","38"
"2010","LBN","Líbano","78.1559","36"
"2015","LBN","Líbano","79.2294","34"
"2020","LBN","Líbano","77.8038","41"
"1870","MYS","Malasia","25","77.5"
"1880","MYS","Malasia","25","79"
"1890","MYS","Malasia","25","81"
"1900","MYS","Malasia","25","89"
"1913","MYS","Malasia","25","103.5"
"1925","MYS","Malasia","25","107.5"
"1929","MYS","Malasia","27.7921348314607","92"
"1933","MYS","Malasia","31.3101265822785","65"
"1938","MYS","Malasia","33.2013422818792","79"
"1950","MYS","Malasia","48.5","65"
"1955","MYS","Malasia","52.15","66"
"1960","MYS","Malasia","54.30146","65"
"1965","MYS","Malasia","57.92097","65"
"1970","MYS","Malasia","61.55024","64"
"1975","MYS","Malasia","64.35756","61"
"1980","MYS","Malasia","66.691","65"
"1985","MYS","Malasia","68.867","63"
"1990","MYS","Malasia","71.3071","50"
"1995","MYS","Malasia","72.3838","46"
"2000","MYS","Malasia","72.7755","53"
