"anio","geocodigoFundar","geonombreFundar","libdem_index"
"2024","LCN","América Latina y el Caribe","0.487383630587684"
"2024","WLD","Mundo","0.28819206271699"
"2024","HIC","Países de altos ingresos","0.696775378185312"
"2024","MEX","México","0.251"
"2024","SUR","Suriname","0.637"
"2024","SWE","Suecia","0.845"
"2024","CHE","Suiza","0.847"
"2024","GHA","Ghana","0.567"
"2024","ZAF","Sudáfrica","0.652"
"2024","JPN","Japón","0.734"
"2024","MMR","Myanmar","0.016"
"2024","RUS","Rusia","0.056"
"2024","ALB","Albania","0.396"
"2024","EGY","Egipto","0.129"
"2024","YEM","Yemen","0.047"
"2024","COL","Colombia","0.557"
"2024","POL","Polonia","0.616"
"2024","BRA","Brasil","0.712"
"2024","USA","Estados Unidos","0.748"
"2024","PRT","Portugal","0.751"
"2024","SLV","El Salvador","0.092"
"2024","BGD","Bangladesh","0.068"
"2024","BOL","Bolivia","0.314"
"2024","HTI","Haití","0.079"
"2024","HND","Honduras","0.382"
"2024","MLI","Malí","0.147"
"2024","PAK","Pakistán","0.199"
"2024","PER","Perú","0.493"
"2024","SEN","Senegal","0.462"
"2024","SSD","Sudán del Sur","0.072"
"2024","SDN","Sudán","0.038"
"2024","VNM","Vietnam","0.124"
"2024","AFG","Afganistán","0.016"
"2024","ARG","Argentina","0.553"
"2024","ETH","Etiopía","0.098"
"2024","IND","India","0.291"
"2024","KEN","Kenia","0.432"
"2024","PRK","Corea del Norte","0.014"
"2024","KOR","Corea del Sur","0.631"
"2024","XKX","Kosovo","0.473"
"2024","LBN","Líbano","0.207"
"2024","NGA","Nigeria","0.315"
"2024","PHL","Filipinas","0.308"
"2024","TZA","Tanzanía","0.368"
"2024","TWN","Taiwán","0.7"
"2024","THA","Tailandia","0.289"
"2024","UGA","Uganda","0.201"
"2024","VEN","Venezuela","0.049"
"2024","BEN","Benin","0.329"
"2024","BTN","Bhután","0.454"
"2024","BFA","Burkina Faso","0.129"
"2024","KHM","Camboya","0.056"
"2024","IDN","Indonesia","0.326"
"2024","MOZ","Mozambique","0.171"
"2024","NPL","Nepal","0.522"
"2024","NIC","Nicaragua","0.019"
"2024","NER","Níger","0.18"
"2024","ZMB","Zambia","0.392"
"2024","ZWE","Zimbabwe","0.156"
"2024","GIN","Guinea","0.075"
"2024","CIV","Costa de Marfil","0.251"
"2024","MRT","Mauritania","0.135"
"2024","CAN","Canadá","0.744"
"2024","AUS","Australia","0.808"
"2024","BWA","Botswana","0.478"
"2024","BDI","Burundi","0.072"
"2024","CPV","Cabo Verde","0.649"
"2024","CAF","República Centroafricana","0.1"
"2024","CHL","Chile","0.787"
"2024","CRI","Costa Rica","0.805"
"2024","TLS","Timor-Leste","0.549"
"2024","ECU","Ecuador","0.446"
"2024","FRA","Francia","0.799"
"2024","DEU","Alemania","0.792"
"2024","GTM","Guatemala","0.469"
"2024","IRN","Irán","0.092"
"2024","IRQ","Iraq","0.228"
"2024","IRL","Irlanda","0.83"
"2024","ITA","Italia","0.705"
"2024","JOR","Jordania","0.274"
"2024","LVA","Letonia","0.765"
"2024","LSO","Lesotho","0.516"
"2024","LBR","Liberia","0.404"
"2024","MWI","Malawi","0.482"
"2024","MDV","Maldivas","0.423"
"2024","MNG","Mongolia","0.389"
"2024","MAR","Marruecos","0.247"
"2024","NLD","Países Bajos","0.761"
"2024","PAN","Panamá","0.584"
"2024","PNG","Papua Nueva Guinea","0.384"
"2024","QAT","Qatar","0.08"
"2024","SLE","Sierra Leona","0.348"
"2024","ESP","España","0.745"
"2024","SYR","Siria","0.054"
"2024","TUN","Túnez","0.258"
"2024","TUR","Turquía","0.117"
"2024","UKR","Ucrania","0.233"
"2024","GBR","Reino Unido","0.752"
"2024","URY","Uruguay","0.769"
"2024","DZA","Argelia","0.116"
"2024","AGO","Angola","0.164"
"2024","ARM","Armenia","0.414"
"2024","AZE","Azerbaiyán","0.054"
"2024","BLR","Belarús","0.036"
"2024","CMR","Camerún","0.14"
"2024","TCD","Chad","0.054"
"2024","CHN","China","0.036"
"2024","COD","República Democrática del Congo","0.133"
"2024","COG","Congo","0.117"
"2024","DJI","Djibouti","0.121"
"2024","DOM","República Dominicana","0.45"
"2024","ERI","Eritrea","0.009"
"2024","GAB","Gabón","0.155"
"2024","GMB","Gambia","0.507"
"2024","GEO","Georgia","0.328"
"2024","GNB","Guinea-Bissau","0.149"
"2024","JAM","Jamaica","0.684"
"2024","KAZ","Kazajstán","0.134"
"2024","KGZ","Kirguistán","0.183"
"2024","LAO","Lao","0.102"
"2024","LBY","Libia","0.106"
"2024","MDG","Madagascar","0.221"
"2024","MDA","Moldavia","0.518"
"2024","NAM","Namibia","0.515"
"2024","PSE","Palestina","0.117"
"2024","RWA","Ruanda","0.09"
"2024","SOM","Somalia","0.126"
"2024","LKA","Sri Lanka","0.486"
"2024","SWZ","Eswatini","0.097"
"2024","TJK","Tayikistán","0.05"
"2024","TGO","Togo","0.173"
"2024","TTO","Trinidad y Tobago","0.627"
"2024","TKM","Turkmenistán","0.033"
"2024","UZB","Uzbekistán","0.078"
"2024","AUT","Austria","0.762"
"2024","BHR","Bahrein","0.052"
"2024","BRB","Barbados","0.67"
"2024","BEL","Bélgica","0.805"
"2024","BIH","Bosnia y Herzegovina","0.342"
"2024","BGR","Bulgaria","0.508"
"2024","COM","Comoras","0.107"
"2024","HRV","Croacia","0.619"
"2024","CUB","Cuba","0.055"
"2024","CYP","Chipre","0.651"
"2024","CZE","Chequia","0.817"
"2024","DNK","Dinamarca","0.883"
"2024","GNQ","Guinea Ecuatorial","0.049"
"2024","EST","Estonia","0.85"
"2024","FJI","Fiji","0.414"
"2024","FIN","Finlandia","0.802"
"2024","GRC","Grecia","0.576"
"2024","GUY","Guyana","0.315"
"2024","HKG","Hong Kong","0.133"
"2024","ISL","Islandia","0.759"
"2024","ISR","Israel","0.617"
"2024","KWT","Kuwait","0.266"
"2024","LTU","Lituania","0.734"
"2024","LUX","Luxemburgo","0.783"
"2024","MKD","Macedonia del Norte","0.374"
"2024","MYS","Malasia","0.362"
"2024","MLT","Malta","0.637"
"2024","MUS","Mauricio","0.368"
"2024","MNE","Montenegro","0.478"
"2024","NZL","Nueva Zelanda","0.809"
"2024","NOR","Noruega","0.839"
"2024","OMN","Omán","0.14"
"2024","PRY","Paraguay","0.388"
"2024","ROU","Rumania","0.445"
"2024","STP","Santo Tomé y Príncipe","0.565"
"2024","SAU","Arabia Saudita","0.047"
"2024","SRB","Serbia","0.22"
"2024","SYC","Seychelles","0.659"
"2024","SGP","Singapur","0.343"
"2024","SVK","Eslovaquia","0.584"
"2024","SVN","Eslovenia","0.619"
"2024","SLB","Islas Salomón","0.519"
