fecha,metodología,tasa_pobreza
1974-09-01,Metodología tradicional (serie empalmada),4.7138274943771306
1980-09-01,Metodología tradicional (serie empalmada),8.882518475799083
1986-10-01,Metodología tradicional (serie empalmada),16.51442965717158
1988-05-01,Metodología tradicional (serie empalmada),32.297536185700146
1988-10-01,Metodología tradicional (serie empalmada),35.00706103349378
1989-05-01,Metodología tradicional (serie empalmada),28.07067742314207
1989-10-01,Metodología tradicional (serie empalmada),51.26421012025559
1990-05-01,Metodología tradicional (serie empalmada),46.06192241249181
1990-10-01,Metodología tradicional (serie empalmada),36.52439494825821
1991-05-01,Metodología tradicional (serie empalmada),31.32210724049443
1991-10-01,Metodología tradicional (serie empalmada),23.30191369102527
1992-05-01,Metodología tradicional (serie empalmada),20.917531824966872
1992-05-01,Metodología actual (serie empalmada),29.71387
1992-10-01,Metodología tradicional (serie empalmada),19.291816916290692
1992-10-01,Metodología actual (serie empalmada),29.05726
1993-05-01,Metodología tradicional (serie empalmada),19.183435922378944
1993-05-01,Metodología actual (serie empalmada),28.28445
1993-10-01,Metodología tradicional (serie empalmada),18.208006977173234
1993-10-01,Metodología actual (serie empalmada),26.89137
1994-05-01,Metodología tradicional (serie empalmada),17.449340019791016
1994-05-01,Metodología actual (serie empalmada),27.86435
1994-10-01,Metodología tradicional (serie empalmada),20.59238884323163
1994-10-01,Metodología actual (serie empalmada),29.62144
1995-05-01,Metodología tradicional (serie empalmada),24.060580648407484
1995-05-01,Metodología actual (serie empalmada),34.92065
1995-10-01,Metodología tradicional (serie empalmada),26.878486490112866
1995-10-01,Metodología actual (serie empalmada),38.49914
1996-05-01,Metodología tradicional (serie empalmada),28.93772537443603
1996-05-01,Metodología actual (serie empalmada),39.05742
1996-10-01,Metodología tradicional (serie empalmada),30.238297301376974
1996-10-01,Metodología actual (serie empalmada),40.17138
1997-05-01,Metodología tradicional (serie empalmada),28.50420139878905
1997-05-01,Metodología actual (serie empalmada),39.22493
1997-10-01,Metodología tradicional (serie empalmada),28.179058417053813
1997-10-01,Metodología actual (serie empalmada),36.74578
1998-05-01,Metodología tradicional (serie empalmada),26.33658152055414
1998-05-01,Metodología actual (serie empalmada),37.12393
1998-10-01,Metodología tradicional (serie empalmada),28.070677423142065
1998-10-01,Metodología actual (serie empalmada),39.29074
1999-05-01,Metodología tradicional (serie empalmada),29.371249350083016
1999-05-01,Metodología actual (serie empalmada),39.17654
1999-10-01,Metodología tradicional (serie empalmada),28.93772537443603
1999-10-01,Metodología actual (serie empalmada),38.82707
2000-05-01,Metodología tradicional (serie empalmada),32.189155191788394
2000-05-01,Metodología actual (serie empalmada),40.34336
2000-10-01,Metodología tradicional (serie empalmada),31.32210724049443
2000-10-01,Metodología actual (serie empalmada),40.4925
2001-05-01,Metodología tradicional (serie empalmada),35.44058500914076
2001-05-01,Metodología actual (serie empalmada),45.29704
2001-10-01,Metodología tradicional (serie empalmada),37.80987202925045
2001-10-01,Metodología actual (serie empalmada),45.64636
2002-05-01,Metodología tradicional (serie empalmada),52.3217550274223
2002-05-01,Metodología actual (serie empalmada),60.12266
2002-10-01,Metodología tradicional (serie empalmada),56.76416819012797
