"anio","geocodigoFundar","geonombreFundar","women_political_empowerment"
"2024","ROU","Rumania","0.86"
"2024","STP","Santo Tomé y Príncipe","0.842"
"2024","SAU","Arabia Saudita","0.367"
"2024","SRB","Serbia","0.878"
"2024","SYC","Seychelles","0.889"
"2024","SGP","Singapur","0.781"
"2024","SVK","Eslovaquia","0.882"
"2024","SVN","Eslovenia","0.942"
"2024","SLB","Islas Salomón","0.657"
"2024","VUT","Vanuatu","0.683"
"2024","ARE","Emiratos Árabes Unidos","0.608"
"2024","HUN","Hungría","0.83"
