anio,salario_medio_real_ppa_consumo_privado_2017_base1970,salario_medio_real_ppa_consumo_privado_2017_empalme
1935,50.94491599958618,1074.5699200102
1936,49.897211912064186,1052.47092788443
1937,50.55598231151096,1066.36622718072
1938,52.98651373526798,1117.63289248703
1939,51.69285007545969,1090.3459291431
1940,51.43660224998585,1084.9409500609
1941,52.20491693357936,1101.14684287459
1942,52.281548656457495,1102.76321896841
1943,53.94319347501064,1137.81192804416
1944,59.864676166195366,1262.7124614332
1945,55.046776497820574,1161.08956227473
1946,61.213915591266,1291.17167218319
1947,74.02800454756066,1561.45643513934
1948,86.79418633226365,1830.73070265085
1949,86.47758841141493,1824.0527722665
1950,81.2354762152211,1713.48205146299
1951,76.79293617990365,1619.77653057388
1952,71.52078576948033,1508.57222031736
1953,76.36285358926287,1610.70489298346
1954,83.77809009704204,1767.11284743147
1955,81.79078666750577,1725.1950928251
1956,87.69223200969128,1849.67298281413
1957,84.6954150085679,1786.4617802437201
1958,92.62792651169455,1953.78050251748
1959,71.36785079439768,1505.34639648947
1960,72.69112101891484,1533.25784459791
1961,79.83256254211823,1683.89070159209
1962,79.55529268939246,1678.04230950784
1963,78.34990340642341,1652.61729819971
1964,86.60393362530674,1826.71774410366
1965,95.20024476644319,2008.03784629774
1966,95.62636804228161,2017.02597093094
1967,95.25098934897169,2009.10819062786
1968,91.30912669537247,1925.9633477469
1969,95.99558414714706,2024.81376510995
1970,100,2109.27802887913
1971,105.40896671477905,2223.36817538335
1972,99.47415225106317,2098.18643784545
1973,114.64070117443613,2418.09112202536
1974,132.1669834315631,2787.76914295428
1975,129.52831926472652,2732.11237942729
1976,81.44016867789347,1717.79958460491
1977,77.8810400208395,1642.72766582213
1978,78.82412444709084,1662.61993841883
1979,89.28919742461622,1883.35742343994
1980,101.45389525454716,2139.94472204621
1981,91.67518627810861,1933.68456209816
1982,76.03228864905226,1603.73235932842
1983,100.80518001577417,2126.26151404478
1984,113.28274566533376,2389.44806482991
1985,97.07136871849481,2047.50505271146
1986,96.79830277483632,2041.74533275752
1987,91.74598944728558,1935.17799778936
1988,82.53414417578182,1740.87456942319
1989,65.37221464152819,1378.88176042546
1990,77.95274405468723,1644.2401032539
1991,79.82966105685398,1683.8295012009
1992,82.89799509390987,1748.54919689714
1993,87.87691144758124,1853.5683856214
1994,85.63084467676224,1806.19259271056
1995,82.45657610825592,1739.23844321744
1996,79.34038116285137,1673.50922789698
1997,78.20610291806,1649.58414609324
1998,78.1422206294593,1648.23669101544
1999,78.89763288247353,1664.17043569573
2000,79.4266839754814,1675.32959416209
2001,80.75330235319947,1703.31166413037
2002,65.52227063428568,1382.04685851171
2003,63.63486730456934,1342.23627476167
2004,68.92468846847166,1453.81331033886
2005,75.22978564211414,1586.80533972198
2006,83.79533786379393,1767.47665078604
2007,86.70983317758089,1828.95146009246
2008,90.90242146554279,1917.3848036918
2009,96.08140806793583,2026.62403021467
2010,97.76062156605543,2062.04331158848
2011,105.61249575090767,2227.6611686248
2012,109.66829533300732,2313.2092581054
2013,111.21273409356282,2345.78576555129
2014,107.27272374136983,2262.67999285692
2015,114.38825385619,2412.7663062071
2016,108.55570826125317,2289.74170344874
2017,110.6262640350313,2333.41548146073
2018,103.5341153651661,2183.82234779182
2019,95.06866676285327,2005.26250037718
2020,95.00617402637602,2003.94435481702
2021,93.52715813139996,1972.74779750066
2022,92.71816343270362,1955.6838500662614
2023,92.5203115521264,1951.5106038195217
2024,84.9384593202848,1791.588260511205
2025,89.76826990415813,1893.4623939933242
