"anio","geocodigoFundar","geonombreFundar","tasa_pobreza_monetaria","poverty_line"
"2025","ABW","Aruba","19.57","15"
"2025","AFG","Afganistán","98.97","15"
"2025","AGO","Angola","95.1","15"
"2025","ALB","Albania","48.5","15"
"2025","AND","Andorra","1.3","15"
"2025","ARE","Emiratos Árabes Unidos","1.27","15"
"2025","ARG","Argentina","35.82","15"
"2025","ARM","Armenia","90.28","15"
"2025","ASM","Samoa Americana","9.38","15"
"2025","ATG","Antigua y Barbuda","32.08","15"
"2025","AUS","Australia","2.2","15"
"2025","AUT","Austria","2.32","15"
"2025","AZE","Azerbaiyán","37.29","15"
"2025","BDI","Burundi","99.43","15"
"2025","BEL","Bélgica","0.54","15"
"2025","BEN","Benin","96.46","15"
"2025","BFA","Burkina Faso","97.52","15"
"2025","BGD","Bangladesh","92.3","15"
"2025","BGR","Bulgaria","12.35","15"
"2025","BHR","Bahrein","2.64","15"
"2025","BHS","Bahamas","22.46","15"
"2025","BIH","Bosnia y Herzegovina","19.92","15"
"2025","BLR","Belarús","15.38","15"
"2025","BLZ","Belice","44.56","15"
"2025","BMU","Bermuda","1.43","15"
"2025","BOL","Bolivia","44.01","15"
"2025","BRA","Brasil","44.76","15"
"2025","BRB","Barbados","42.77","15"
"2025","BRN","Brunei","2.07","15"
"2025","BTN","Bhután","37.1","15"
"2025","BWA","Botswana","78.07","15"
"2025","CAF","Rep. Centroafricana","99.18","15"
"2025","CAN","Canadá","0.96","15"
"2025","CHE","Suiza","0.5","15"
"2025","CHI","Islas Del Canal","15.06","15"
"2025","CHL","Chile","27.5","15"
"2025","CHN","China","48.07","15"
"2025","CIV","Costa de Marfil","94.06","15"
"2025","CMR","Camerún","91.64","15"
"2025","COD","Rep. Dem. Congo","99.38","15"
"2025","COG","Congo","96.22","15"
"2025","COL","Colombia","62.56","15"
"2025","COM","Comoras","90.7","15"
"2025","CPV","Cabo Verde","79.56","15"
"2025","CRI","Costa Rica","33.56","15"
"2025","CUB","Cuba","36.24","15"
"2025","CUW","Curazao","14.29","15"
"2025","CYM","Islas Caimán","4.56","15"
"2025","CYP","Chipre","0.81","15"
"2025","CZE","Chequia","3.12","15"
"2025","DEU","Alemania","1.47","15"
"2025","DJI","Djibouti","91.26","15"
"2025","DMA","Dominica","64.06","15"
"2025","DNK","Dinamarca","0.88","15"
"2025","DOM","Rep. Dominicana","39.93","15"
"2025","DZA","Argelia","79.34","15"
"2025","ECU","Ecuador","59.65","15"
"2025","EGY","Egipto","89.99","15"
"2025","ERI","Eritrea","92.99","15"
"2025","ESP","España","5.81","15"
"2025","EST","Estonia","5.05","15"
"2025","ETH","Etiopía","98.66","15"
"2025","FIN","Finlandia","1.1","15"
"2025","FJI","Fiji","88.24","15"
"2025","FRA","Francia","1.42","15"
"2025","FRO","Islas Feroe","10.36","15"
"2025","FSM","Micronesia","94.34","15"
"2025","GAB","Gabón","70.69","15"
"2025","GBR","Reino Unido","1.73","15"
"2025","GEO","Georgia","79.98","15"
"2025","GHA","Ghana","94.6","15"
"2025","GIB","Gibraltar","3.3","15"
"2025","GIN","Guinea","94.22","15"
"2025","GMB","Gambia","92.96","15"
"2025","GNB","Guinea-Bissau","98.42","15"
"2025","GNQ","Guinea Ecuatorial","86.6","15"
"2025","GRC","Grecia","12.66","15"
"2025","GRD","Granada","51.22","15"
"2025","GRL","Groenlandia","9.89","15"
"2025","GTM","Guatemala","72.86","15"
"2025","GUM","Guam","6.8","15"
"2025","GUY","Guyana","5.7","15"
"2025","HKG","Hong Kong","0.88","15"
"2025","HND","Honduras","75.3","15"
"2025","HRV","Croacia","6","15"
"2025","HTI","Haití","98.04","15"
"2025","HUN","Hungría","14.28","15"
"2025","IDN","Indonesia","90.2","15"
"2025","IMN","Isla de Man","12.88","15"
"2025","IND","India","96.47","15"
"2025","IRL","Irlanda","0.64","15"
"2025","IRN","Irán","73.92","15"
"2025","IRQ","Iraq","74.98","15"
"2025","ISL","Islandia","1.36","15"
"2025","ISR","Israel","13.86","15"
"2025","ITA","Italia","4.96","15"
"2025","JAM","Jamaica","49.38","15"
"2025","JOR","Jordania","62.5","15"
"2025","JPN","Japón","6.22","15"
"2025","KAZ","Kazajstán","60.32","15"
"2025","KEN","Kenia","97.68","15"
"2025","KGZ","Kirguistán","93.98","15"
"2025","KHM","Camboya","90.71","15"
"2025","KIR","Kiribati","94.42","15"
"2025","KNA","Saint Kitts y Nevis","33.83","15"
"2025","KOR","Corea del Sur","1.62","15"
"2025","KWT","Kuwait","5.91","15"
"2025","LAO","Laos","91.38","15"
"2025","LBN","Líbano","81.58","15"
"2025","LBR","Liberia","97.95","15"
"2025","LBY","Libia","71.16","15"
"2025","LCA","Santa Lucía","20.62","15"
"2025","LIE","Liechtenstein","15.07","15"
"2025","LKA","Sri Lanka","84.78","15"
"2025","LSO","Lesotho","96.46","15"
"2025","LTU","Lituania","7.54","15"
"2025","LUX","Luxemburgo","0.46","15"
"2025","LVA","Letonia","8.76","15"
"2025","MAC","Macao","0.3","15"
"2025","MAF","San Martín (parte francesa)","10.63","15"
"2025","MAR","Marruecos","75.42","15"
"2025","MCO","Mónaco","1.44","15"
"2025","MDA","Moldavia","66.64","15"
"2025","MDG","Madagascar","99.07","15"
"2025","MDV","Maldivas","31.77","15"
"2025","MEX","México","57.82","15"
"2025","MHL","Islas Marshall","66.59","15"
"2025","MKD","Macedonia del Norte","36.94","15"
"2025","MLI","Malí","97.36","15"
"2025","MLT","Malta","2.46","15"
"2025","MMR","Myanmar","96.98","15"
"2025","MNE","Montenegro","25.08","15"
"2025","MNG","Mongolia","58.56","15"
"2025","MNP","Islas Marianas","4.23","15"
"2025","MOZ","Mozambique","98.74","15"
"2025","MRT","Mauritania","93.12","15"
"2025","MUS","Mauricio","53.89","15"
"2025","MWI","Malawi","99.47","15"
"2025","MYS","Malasia","12.08","15"
"2025","NAM","Namibia","76.57","15"
"2025","NCL","Nueva Caledonia","9.23","15"
"2025","NER","Níger","98.81","15"
"2025","NGA","Nigeria","98.92","15"
"2025","NIC","Nicaragua","71.2","15"
"2025","NLD","Países Bajos","0.53","15"
"2025","NOR","Noruega","0.66","15"
"2025","NPL","Nepal","85.68","15"
"2025","NRU","Nauru","88.46","15"
"2025","NZL","Nueva Zelanda","3.87","15"
"2025","OMN","Omán","11.25","15"
"2025","PAK","Pakistán","97.34","15"
"2025","PAN","Panamá","40.24","15"
"2025","PER","Perú","68.66","15"
