"anio","geocodigoFundar","geonombreFundar","tasa_pobreza_monetaria","poverty_line"
"2025","PHL","Filipinas","91.83","15"
"2025","PLW","Palau","62.82","15"
"2025","PNG","Papúa Nueva Guinea","97.33","15"
"2025","POL","Polonia","3.5","15"
"2025","PRI","Puerto Rico","11.41","15"
"2025","PRK","Corea del Norte","86.66","15"
"2025","PRT","Portugal","7.98","15"
"2025","PRY","Paraguay","48.86","15"
"2025","PSE","Palestina","78.24","15"
"2025","PYF","Polinesia Francesa","5.93","15"
"2025","QAT","Qatar","0","15"
"2025","ROU","Rumania","13.2","15"
"2025","RUS","Rusia","5.47","15"
"2025","RWA","Ruanda","96.48","15"
"2025","SAU","Arabia Saudita","2.9","15"
"2025","SDN","Sudán","98.48","15"
"2025","SEN","Senegal","93.09","15"
"2025","SGP","Singapur","0.19","15"
"2025","SLB","Islas Salomón","98.16","15"
"2025","SLE","Sierra Leona","97.48","15"
"2025","SLV","El Salvador","60.52","15"
"2025","SMR","San Marino","0.38","15"
"2025","SOM","Somalia","98.93","15"
"2025","SRB","Serbia","28.36","15"
"2025","SSD","Sudán del Sur","99.9","15"
"2025","STP","Santo Tomé y Príncipe","90.14","15"
"2025","SUR","Suriname","49.96","15"
"2025","SVK","Eslovaquia","13.67","15"
"2025","SVN","Eslovenia","0.58","15"
"2025","SWE","Suecia","2.74","15"
"2025","SWZ","Eswatini","89","15"
"2025","SXM","San Martín (parte holandesa)","14.86","15"
"2025","SYC","Seychelles","27.78","15"
"2025","SYR","Siria","99.34","15"
"2025","TCA","Islas Turcas y Caicos","9.92","15"
"2025","TCD","Chad","97.58","15"
"2025","TGO","Togo","96.4","15"
"2025","THA","Tailandia","41.66","15"
"2025","TJK","Tayikistán","85.66","15"
"2025","TKM","Turkmenistán","68.03","15"
"2025","TLS","Timor-Leste","99.34","15"
"2025","TON","Tonga","69.12","15"
"2025","TTO","Trinidad y Tobago","18.92","15"
"2025","TUN","Túnez","58.9","15"
"2025","TUR","Turquía","25.28","15"
"2025","TUV","Tuvalu","70.99","15"
"2025","TWN","Taiwán","1.14","15"
"2025","TZA","Tanzanía","97.26","15"
"2025","UGA","Uganda","98.2","15"
"2025","UKR","Ucrania","61.52","15"
"2025","URY","Uruguay","20.32","15"
"2025","USA","Estados Unidos","3.48","15"
"2025","UZB","Uzbekistán","52.91","15"
"2025","VCT","San Vicente y las Granadinas","60.4","15"
"2025","VEN","Venezuela","52.08","15"
"2025","VGB","Islas Vírgenes Británicas","24.98","15"
"2025","VIR","Islas Vírgenes de EEUU","10.47","15"
"2025","VNM","Vietnam","50.57","15"
"2025","VUT","Vanuatu","97.94","15"
"2025","WSM","Samoa","76.69","15"
"2025","XKX","Kosovo","54.49","15"
"2025","YEM","Yemen","99.6","15"
"2025","ZAF","Sudáfrica","79.75","15"
"2025","ZMB","Zambia","98.3","15"
"2025","ZWE","Zimbabwe","94.09","15"
"2025","LCN","América Latina y el Caribe","51.5567940052119","15"
"2025","HIC","Países de altos ingresos","4.31186916729314","15"
"2025","WLD","Mundo","64.7795733564239","15"
