"anio","geocodigoFundar","geonombreFundar","pib_pc","ranking"
"1870","GAB","Gabón","1350.30427591234","19"
"1880","GAB","Gabón","1268.70861087181","26"
"1890","GAB","Gabón","1305.45925166489","29"
"1900","GAB","Gabón","1374.13326984939","30"
"1913","GAB","Gabón","1356.70340255634","38"
"1925","GAB","Gabón","1285.91570580576","48"
"1929","GAB","Gabón","1270.01277210071","52"
"1933","GAB","Gabón","1307.64332706799","49"
"1938","GAB","Gabón","1363.7956573708","52"
"1950","GAB","Gabón","1856","56"
"1955","GAB","Gabón","2156","54"
"1960","GAB","Gabón","2498","54"
"1965","GAB","Gabón","2902","57"
"1970","GAB","Gabón","3505","57"
"1975","GAB","Gabón","6264","36"
"1980","GAB","Gabón","5271","61"
"1985","GAB","Gabón","5101","65"
"1990","GAB","Gabón","4797","70"
"1995","GAB","Gabón","4907","65"
"2000","GAB","Gabón","4222","76"
"2005","GAB","Gabón","3926","93"
"2010","GAB","Gabón","3748","102"
"2015","GAB","Gabón","4410","95"
"2020","GAB","Gabón","4071.87403505145","101"
"1870","GMB","Gambia","441.638338050855","90"
"1880","GMB","Gambia","456.239203739918","91"
"1890","GMB","Gambia","481.575622504678","92"
"1900","GMB","Gambia","516.043316630206","91"
"1913","GMB","Gambia","875.086752545448","71"
"1925","GMB","Gambia","694.260972343753","90"
"1929","GMB","Gambia","583.112541156612","96"
"1933","GMB","Gambia","493.331866175183","100"
"1938","GMB","Gambia","504.911616399413","102"
"1950","GMB","Gambia","616","120"
"1955","GMB","Gambia","674","119"
"1960","GMB","Gambia","732","120"
"1965","GMB","Gambia","858","117"
"1970","GMB","Gambia","892","119"
"1975","GMB","Gambia","939","119"
"1980","GMB","Gambia","831","140"
"1985","GMB","Gambia","910","138"
"1990","GMB","Gambia","877.530273740986","138"
"1995","GMB","Gambia","796","142"
"2000","GMB","Gambia","839","140"
"2005","GMB","Gambia","865","145"
"2010","GMB","Gambia","958","145"
"2015","GMB","Gambia","958","149"
"2020","GMB","Gambia","1004.43473016065","148"
"1870","GHA","Ghana","473.638785884217","87"
"1880","GHA","Ghana","489.297608278007","88"
"1890","GHA","Ghana","516.469865730468","87"
"1900","GHA","Ghana","553.435036983249","87"
"1913","GHA","Ghana","938.494218704495","60"
"1925","GHA","Ghana","896.190708204691","77"
"1929","GHA","Ghana","958.756050513729","75"
"1933","GHA","Ghana","740.366981448384","82"
"1938","GHA","Ghana","942.493440765915","76"
"1950","GHA","Ghana","1121.79354983879","85"
"1955","GHA","Ghana","1199.61116951647","88"
"1960","GHA","Ghana","1378.42002985752","84"
"1965","GHA","Ghana","1392.62269698544","92"
"1970","GHA","Ghana","1423.97299410552","98"
"1975","GHA","Ghana","1246.92799447658","106"
"1980","GHA","Ghana","1157.06626602988","125"
"1985","GHA","Ghana","978.430244498347","132"
"1990","GHA","Ghana","1062.16507285679","130"
"1995","GHA","Ghana","1169","123"
"2000","GHA","Ghana","1327","123"
"2005","GHA","Ghana","1529","124"
"2010","GHA","Ghana","1874","126"
"2015","GHA","Ghana","2426","121"
"2020","GHA","Ghana","2763.14987650453","117"
"1870","GIN","Guinea","300","108.5"
"1880","GIN","Guinea","300","108.5"
"1890","GIN","Guinea","300","109.5"
"1900","GIN","Guinea","300","110.5"
"1913","GIN","Guinea","300","119"
"1925","GIN","Guinea","300","119"
"1929","GIN","Guinea","300","119"
"1933","GIN","Guinea","300","119"
"1938","GIN","Guinea","300","119"
"1950","GIN","Guinea","326","143"
"1955","GIN","Guinea","375","144"
"1960","GIN","Guinea","421","144"
"1965","GIN","Guinea","474","143"
"1970","GIN","Guinea","499","145"
"1975","GIN","Guinea","536","145"
"1980","GIN","Guinea","547","160"
"1985","GIN","Guinea","515","160"
"1990","GIN","Guinea","540.005870766004","159"
"1995","GIN","Guinea","532","155"
"2000","GIN","Guinea","575","154"
"2005","GIN","Guinea","610","155"
"2010","GIN","Guinea","621","156"
"2015","GIN","Guinea","647","157"
"2020","GIN","Guinea","809.210050042273","153"
"1870","GNB","Guinea-Bissau","300","108.5"
"1880","GNB","Guinea-Bissau","300","108.5"
"1890","GNB","Guinea-Bissau","300","109.5"
"1900","GNB","Guinea-Bissau","300","110.5"
"1913","GNB","Guinea-Bissau","300","119"
"1925","GNB","Guinea-Bissau","300","119"
"1929","GNB","Guinea-Bissau","300","119"
"1933","GNB","Guinea-Bissau","300","119"
"1938","GNB","Guinea-Bissau","300","119"
"1950","GNB","Guinea-Bissau","300","146"
"1955","GNB","Guinea-Bissau","390","143"
"1960","GNB","Guinea-Bissau","502","137"
"1965","GNB","Guinea-Bissau","688","128"
"1970","GNB","Guinea-Bissau","875","121"
"1975","GNB","Guinea-Bissau","928","120"
"1980","GNB","Guinea-Bissau","757","146"
"1985","GNB","Guinea-Bissau","743","148"
"1990","GNB","Guinea-Bissau","797.197559410797","145"
"1995","GNB","Guinea-Bissau","808","140"
"2000","GNB","Guinea-Bissau","746","147"
"2005","GNB","Guinea-Bissau","731","150"
"2010","GNB","Guinea-Bissau","778","150"
"2015","GNB","Guinea-Bissau","813","152"
"2020","GNB","Guinea-Bissau","834.409349288661","152"
"1870","KEN","Kenia","373.972035497338","97"
"1880","KEN","Kenia","382.385663707722","99"
"1890","KEN","Kenia","395.910581306657","99"
"1900","KEN","Kenia","420.06257688538","98"
"1913","KEN","Kenia","419.418279069292","106"
"1925","KEN","Kenia","512.91643905515","101"
"1929","KEN","Kenia","525.701519202536","98"
"1933","KEN","Kenia","502.621861872932","98"
"1938","KEN","Kenia","570.468474693545","97"
"1950","KEN","Kenia","650.600947046863","114"
"1955","KEN","Kenia","717.905163228513","115"
"1960","KEN","Kenia","725.517151175069","121"
"1965","KEN","Kenia","742.759150222766","125"
"1970","KEN","Kenia","914.953266484521","118"
"1975","KEN","Kenia","941.848262650331","118"
"1980","KEN","Kenia","1050.81434799773","129"
"1985","KEN","Kenia","1005.81487103975","130"
"1990","KEN","Kenia","1117.25896849418","127"
"1995","KEN","Kenia","1029","130"
"2000","KEN","Kenia","1009","137"
"2005","KEN","Kenia","1042","139"
"2010","KEN","Kenia","1141","140"
"2015","KEN","Kenia","1324","139"
"2020","KEN","Kenia","1413.15963006178","138"
"1870","LSO","Lesotho","300","108.5"
"1880","LSO","Lesotho","300","108.5"
"1890","LSO","Lesotho","300","109.5"
"1900","LSO","Lesotho","300","110.5"
"1913","LSO","Lesotho","300","119"
"1925","LSO","Lesotho","300","119"
"1929","LSO","Lesotho","300","119"
"1933","LSO","Lesotho","300","119"
"1938","LSO","Lesotho","300","119"
"1950","LSO","Lesotho","396","135.5"
"1955","LSO","Lesotho","451","138"
"1960","LSO","Lesotho","510","136"
"1965","LSO","Lesotho","661","132"
"1970","LSO","Lesotho","673","132"
"1975","LSO","Lesotho","797","126"
"1980","LSO","Lesotho","997","133"
"1985","LSO","Lesotho","1004","131"
"1990","LSO","Lesotho","1181.11151133472","125"
"1995","LSO","Lesotho","1330","119"
"2000","LSO","Lesotho","1555","119"
"2005","LSO","Lesotho","1787","121"
"2010","LSO","Lesotho","2305","118"
"2015","LSO","Lesotho","2762","118"
"2020","LSO","Lesotho","2490.55710303331","121"
"1870","LBR","Liberia","1064.84084568965","30"
"1880","LBR","Liberia","1064.84084568965","33"
"1890","LBR","Liberia","1419.78779425287","25"
"1900","LBR","Liberia","1727.55295799759","23"
"1913","LBR","Liberia","1745.33047240952","26"
"1925","LBR","Liberia","1679.29058416161","33"
"1929","LBR","Liberia","1663.5362643131","36"
"1933","LBR","Liberia","1872.9138240383","29"
"1938","LBR","Liberia","1900.08276027646","35"
"1950","LBR","Liberia","1977","51"
"1955","LBR","Liberia","2167","53"
"1960","LBR","Liberia","2305","59"
"1965","LBR","Liberia","2283","70"
"1970","LBR","Liberia","2796","68"
"1975","LBR","Liberia","2714","77"
"1980","LBR","Liberia","2596","96"
"1985","LBR","Liberia","2051","107"
"1990","LBR","Liberia","1060.34321113488","131"
"1995","LBR","Liberia","311","161"
"2000","LBR","Liberia","1051","134"
"2005","LBR","Liberia","1071","138"
"2010","LBR","Liberia","1591","130"
"2015","LBR","Liberia","1701","130"
"2020","LBR","Liberia","1452.12399982402","136"
"1870","LBY","Libia","261.728205603261","115"
"1880","LBY","Libia","268.689729452014","115"
"1890","LBY","Libia","290.071945159157","115"
"1900","LBY","Libia","294.106325481259","115"
"1913","LBY","Libia","363.901105053629","113"
"1925","LBY","Libia","351.394526055112","113"
"1929","LBY","Libia","352.201402119532","113"
"1933","LBY","Libia","339.021031018293","113"
"1938","LBY","Libia","385.455316395409","112"
"1950","LBY","Libia","389","139"
"1955","LBY","Libia","506","131"
"1960","LBY","Libia","830","112"
"1965","LBY","Libia","2440","65"
"1970","LBY","Libia","4135","45"
"1975","LBY","Libia","4311","49"
"1980","LBY","Libia","5484","59"
"1985","LBY","Libia","3822","82"
"1990","LBY","Libia","3087.08701454772","93"
"1995","LBY","Libia","2979","92"
"2000","LBY","Libia","2904","98"
"2005","LBY","Libia","3383","101"
"2010","LBY","Libia","4105","100"
"2015","LBY","Libia","1112","146"
"2020","LBY","Libia","988.529197320042","150"
"1870","MDG","Madagascar","585.662815765607","74"
"1880","MDG","Madagascar","591.859556294355","76"
"1890","MDG","Madagascar","603.471429588944","75"
"1900","MDG","Madagascar","621.305431662396","79"
"1913","MDG","Madagascar","670.338830852351","90"
"1925","MDG","Madagascar","898.246832439097","76"
"1929","MDG","Madagascar","764.646496306348","85"
"1933","MDG","Madagascar","753.299415667228","80"
"1938","MDG","Madagascar","834.500692559843","80"
"1950","MDG","Madagascar","951.010471404685","97"
"1955","MDG","Madagascar","1052.26334634172","97"
"1960","MDG","Madagascar","1125.43011458076","97"
"1965","MDG","Madagascar","1088.02369917827","103"
"1970","MDG","Madagascar","1226.19968392531","104"
"1975","MDG","Madagascar","1126.28960774674","107"
"1980","MDG","Madagascar","1053.62016516235","128"
"1985","MDG","Madagascar","813.21359157742","141"
"1990","MDG","Madagascar","791.72221330114","146"
"1995","MDG","Madagascar","670","148"
"2000","MDG","Madagascar","694","149"
"2005","MDG","Madagascar","676","152"
"2010","MDG","Madagascar","675","155"
"2015","MDG","Madagascar","673","156"
"2020","MDG","Madagascar","636.895537499728","157"
"1870","MWI","Malawi","300","108.5"
"1880","MWI","Malawi","300","108.5"
"1890","MWI","Malawi","300","109.5"
"1900","MWI","Malawi","300","110.5"
"1913","MWI","Malawi","300","119"
"1925","MWI","Malawi","300","119"
"1929","MWI","Malawi","300","119"
"1933","MWI","Malawi","300","119"
"1938","MWI","Malawi","300","119"
"1950","MWI","Malawi","324.055603357151","144"
"1955","MWI","Malawi","353.785289229865","145"
"1960","MWI","Malawi","394.144976269566","145"
"1965","MWI","Malawi","397.125702402221","145"
"1970","MWI","Malawi","447.452669781118","146"
"1975","MWI","Malawi","586.196902869438","142"
"1980","MWI","Malawi","630.316075715901","154"
"1985","MWI","Malawi","606.497154832533","152"
"1990","MWI","Malawi","539.625114693931","160"
"1995","MWI","Malawi","581","154"
"2000","MWI","Malawi","633","152"
"2005","MWI","Malawi","615","154"
"2010","MWI","Malawi","745","152"
"2015","MWI","Malawi","770","154"
"2020","MWI","Malawi","797.122532784456","154"
"1870","MLI","Malí","399.76989009762","96"
"1880","MLI","Malí","382.934206077343","98"
"1890","MLI","Malí","390.336922855973","101"
"1900","MLI","Malí","404.905350074527","101"
"1913","MLI","Malí","401.141906912464","110"
"1925","MLI","Malí","386.353828837466","112"
"1929","MLI","Malí","383.190066318224","111"
"1933","MLI","Malí","367.261685167853","112"
"1938","MLI","Malí","387.189748753826","111"
"1950","MLI","Malí","456.875229747633","130"
"1955","MLI","Malí","495.766585128674","132"
"1960","MLI","Malí","533.769047787703","135"
"1965","MLI","Malí","553.076774069732","138"
"1970","MLI","Malí","585.692756509166","139"
"1975","MLI","Malí","616.200768302486","137"
"1980","MLI","Malí","732.937747832957","147"
"1985","MLI","Malí","683.181445694992","150"
"1990","MLI","Malí","747.096466481097","149"
"1995","MLI","Malí","721","145"
"2000","MLI","Malí","789","144"
"2005","MLI","Malí","1011","141"
"2010","MLI","Malí","1123","141"
"2015","MLI","Malí","1169","143"
"2020","MLI","Malí","1216.070582033","143"
"1870","MRT","Mauritania","358.314730911556","100"
"1880","MRT","Mauritania","336.662626801323","102"
"1890","MRT","Mauritania","346.414722089403","104"
"1900","MRT","Mauritania","364.637957241175","106"
"1913","MRT","Mauritania","360.012793624099","114"
"1925","MRT","Mauritania","341.228675877085","114"
"1929","MRT","Mauritania","337.008697082023","114"
"1933","MRT","Mauritania","311.083157989583","115"
"1938","MRT","Mauritania","342.327516158306","116"
"1950","MRT","Mauritania","426","132"
"1955","MRT","Mauritania","487","134"
"1960","MRT","Mauritania","573","130"
"1965","MRT","Mauritania","852","118"
"1970","MRT","Mauritania","971","114"
"1975","MRT","Mauritania","1066","111"
"1980","MRT","Mauritania","1055","127"
"1985","MRT","Mauritania","942","135"
"1990","MRT","Mauritania","948.062783055183","135"
"1995","MRT","Mauritania","954","134"
"2000","MRT","Mauritania","987","138"
"2005","MRT","Mauritania","1091","136"
"2010","MRT","Mauritania","1238","138"
"2015","MRT","Mauritania","1392","136"
"2020","MRT","Mauritania","1415.64232087961","137"
"1870","MUS","Mauricio","2476.79259039025","7"
"1880","MUS","Mauricio","2812.67116756265","8"
"1890","MUS","Mauricio","2454.2013009694","11"
"1900","MUS","Mauricio","2187.10669765989","15"
"1913","MUS","Mauricio","2214.62302344269","21"
"1925","MUS","Mauricio","2037.3951162242","26"
"1929","MUS","Mauricio","1967.47811165542","31"
"1933","MUS","Mauricio","1559.76225353336","37"
"1938","MUS","Mauricio","1826.6799958085","39"
"1950","MUS","Mauricio","2473","37"
"1955","MUS","Mauricio","2569","45"
"1960","MUS","Mauricio","2758","50"
"1965","MUS","Mauricio","3279","48"
"1970","MUS","Mauricio","2925","62"
"1975","MUS","Mauricio","3783","59"
"1980","MUS","Mauricio","4373","71"
"1985","MUS","Mauricio","5185","62"
"1990","MUS","Mauricio","7208.00152223346","47"
"1995","MUS","Mauricio","8614","39"
"2000","MUS","Mauricio","10687","37"
"2005","MUS","Mauricio","12046","36"
"2010","MUS","Mauricio","14540","33"
"2015","MUS","Mauricio","16667","31"
"2020","MUS","Mauricio","16303.0093165962","32"
"1870","MAR","Marruecos","772.206360538919","48"
"1880","MAR","Marruecos","784.74212782405","49"
"1890","MAR","Marruecos","808.714368402255","54"
"1900","MAR","Marruecos","841.974380721633","53"
"1913","MAR","Marruecos","882.519298193021","70"
"1925","MAR","Marruecos","924.206208367861","74"
"1929","MAR","Marruecos","1079.19440197523","66"
"1933","MAR","Marruecos","978.447594850514","69"
"1938","MAR","Marruecos","1080.16886707117","67"
"1950","MAR","Marruecos","1455.36135515783","71"
"1955","MAR","Marruecos","1483.16444649566","75"
"1960","MAR","Marruecos","1328.69865127468","88"
"1965","MAR","Marruecos","1393.98445374621","91"
"1970","MAR","Marruecos","1616.22701223029","92"
"1975","MAR","Marruecos","1830.96689978208","90"
"1980","MAR","Marruecos","2272.14973958387","103"
"1985","MAR","Marruecos","2373.90272395","100"
"1990","MAR","Marruecos","2590.76186923457","98"
"1995","MAR","Marruecos","2592","98"
"2000","MAR","Marruecos","2946","97"
"2005","MAR","Marruecos","3516","98"
"2010","MAR","Marruecos","4244","94"
"2015","MAR","Marruecos","4892","91"
"2020","MAR","Marruecos","4795.89347780656","93"
"1870","MOZ","Mozambique","1106.65420711629","28"
"1880","MOZ","Mozambique","1128.85502525451","30"
"1890","MOZ","Mozambique","1179.67882564797","33"
"1900","MOZ","Mozambique","1267.75909064455","34"
"1913","MOZ","Mozambique","1137.06426841488","49"
"1925","MOZ","Mozambique","1091.97085764488","60"
"1929","MOZ","Mozambique","1091.97085764488","63"
"1933","MOZ","Mozambique","947.847496099268","71"
"1938","MOZ","Mozambique","1064.59267860149","68"
"1950","MOZ","Mozambique","1133.42041655113","83"
"1955","MOZ","Mozambique","1258.79695178411","85"
"1960","MOZ","Mozambique","1327.3322143677","89"
"1965","MOZ","Mozambique","1350.91803028711","93"
"1970","MOZ","Mozambique","1742.85163196769","90"
"1975","MOZ","Mozambique","1403.62011803193","102"
"1980","MOZ","Mozambique","1220.47398935857","122"
"1985","MOZ","Mozambique","920.352178405938","137"
"1990","MOZ","Mozambique","1113.56086606851","128"
"1995","MOZ","Mozambique","1085","126"
"2000","MOZ","Mozambique","1652","118"
"2005","MOZ","Mozambique","2268","116"
"2010","MOZ","Mozambique","2905","115"
"2015","MOZ","Mozambique","3627","112"
"2020","MOZ","Mozambique","3533.14357075951","112"
"1870","NAM","Namibia","908.194923776453","37"
"1880","NAM","Namibia","1113.31301124552","31"
"1890","NAM","Namibia","1055.45592790391","37"
"1900","NAM","Namibia","1002.92507694167","46"
"1913","NAM","Namibia","1280.15116227705","41"
"1925","NAM","Namibia","1327.45163379234","44"
"1929","NAM","Namibia","1369.93408103647","49"
"1933","NAM","Namibia","1231.91799101767","54"
"1938","NAM","Namibia","1862.4529033484","37"
"1950","NAM","Namibia","2515","35"
"1955","NAM","Namibia","2690","41"
"1960","NAM","Namibia","3046","41"
"1965","NAM","Namibia","4221","38"
"1970","NAM","Namibia","3867","49"
"1975","NAM","Namibia","3948","56"
"1980","NAM","Namibia","3948","82"
"1985","NAM","Namibia","3385","86"
"1990","NAM","Namibia","3140.96108377098","92"
"1995","NAM","Namibia","3512","83"
"2000","NAM","Namibia","3693","87"
"2005","NAM","Namibia","4179","85"
"2010","NAM","Namibia","4818","90"
"2015","NAM","Namibia","5759","83"
"2020","NAM","Namibia","4792.10811361512","94"
"1870","NER","Níger","539.907479136088","77"
"1880","NER","Níger","517.170119609837","84"
"1890","NER","Níger","527.167826424956","86"
"1900","NER","Níger","546.843152179546","88"
"1913","NER","Níger","541.760450453297","98"
"1925","NER","Níger","521.788476193829","99"
"1929","NER","Níger","517.515670540727","99"
"1933","NER","Níger","496.003664942918","99"
"1938","NER","Níger","522.917424186114","100"
"1950","NER","Níger","617.030846201375","119"
"1955","NER","Níger","679.306334981717","117"
"1960","NER","Níger","760.88091109183","116"
"1965","NER","Níger","934.907975765865","112"
"1970","NER","Níger","838.947480363512","125"
"1975","NER","Níger","658.874573852624","134"
"1980","NER","Níger","810.193880385319","143"
"1985","NER","Níger","596.173171852401","153"
"1990","NER","Níger","546.945635720689","158"
"1995","NER","Níger","444","158"
"2000","NER","Níger","441","159"
"2005","NER","Níger","485","159"
"2010","NER","Níger","523","159"
"2015","NER","Níger","590","158"
"2020","NER","Níger","636.798091891674","158"
"1870","NGA","Nigeria","590.460862394081","73"
"1880","NGA","Nigeria","565.444208736932","77"
"1890","NGA","Nigeria","558.166235093049","80"
"1900","NGA","Nigeria","569.704607230226","83"
"1913","NGA","Nigeria","647.195263969816","92"
"1925","NGA","Nigeria","660.945271639074","92"
"1929","NGA","Nigeria","671.17181976002","92"
"1933","NGA","Nigeria","594.501836884083","94"
"1938","NGA","Nigeria","665.839503620477","92"
"1950","NGA","Nigeria","752.68132376153","107"
"1955","NGA","Nigeria","864.702569715475","106"
"1960","NGA","Nigeria","820.279326325251","113"
"1965","NGA","Nigeria","943.594547658791","111"
"1970","NGA","Nigeria","1094.05342953744","107"
"1975","NGA","Nigeria","1286.89615805787","105"
"1980","NGA","Nigeria","1305.06314057748","119"
"1985","NGA","Nigeria","1016.6438193237","128"
"1990","NGA","Nigeria","1112.36872262911","129"
"1995","NGA","Nigeria","1033","129"
"2000","NGA","Nigeria","1065","133"
"2005","NGA","Nigeria","1479","127"
"2010","NGA","Nigeria","1927","124"
"2015","NGA","Nigeria","2141","124"
"2020","NGA","Nigeria","1908.81939881222","126"
"1870","RWA","Ruanda","300","108.5"
"1880","RWA","Ruanda","300","108.5"
"1890","RWA","Ruanda","300","109.5"
"1900","RWA","Ruanda","400","102.5"
"1913","RWA","Ruanda","689.013509054871","86"
"1925","RWA","Ruanda","764.870403247348","84"
"1929","RWA","Ruanda","777.856349598458","83"
"1933","RWA","Ruanda","781.495755162111","79"
"1938","RWA","Ruanda","622.309113009035","94"
"1950","RWA","Ruanda","640","116"
"1955","RWA","Ruanda","714","116"
"1960","RWA","Ruanda","768","115"
"1965","RWA","Ruanda","642","133"
"1970","RWA","Ruanda","839","124"
"1975","RWA","Ruanda","752","129"
"1980","RWA","Ruanda","1049","130"
"1985","RWA","Ruanda","1017","127"
"1990","RWA","Ruanda","877","139"
"1995","RWA","Ruanda","747","144"
"2000","RWA","Ruanda","827","142"
"2005","RWA","Ruanda","1110","133"
"2010","RWA","Ruanda","1474","133"
"2015","RWA","Ruanda","1806","127"
"2020","RWA","Ruanda","2006.25654809414","125"
"1950","STP","Santo Tomé y Príncipe","802","105"
"1955","STP","Santo Tomé y Príncipe","747","112"
"1960","STP","Santo Tomé y Príncipe","848","109"
"1965","STP","Santo Tomé y Príncipe","1139","102"
"1970","STP","Santo Tomé y Príncipe","1407","99"
"1975","STP","Santo Tomé y Príncipe","1549","97"
"1980","STP","Santo Tomé y Príncipe","1996","109"
"1985","STP","Santo Tomé y Príncipe","1645","117"
"1990","STP","Santo Tomé y Príncipe","1391","118"
"1995","STP","Santo Tomé y Príncipe","1362","118"
"2000","STP","Santo Tomé y Príncipe","1332","122"
"2005","STP","Santo Tomé y Príncipe","1487","125"
"2010","STP","Santo Tomé y Príncipe","1777","127"
"2015","STP","Santo Tomé y Príncipe","2027","125"
"2020","STP","Santo Tomé y Príncipe","2164.42458296918","123"
"1870","SEN","Senegal","1043.33051925345","31"
"1880","SEN","Senegal","973.224873046782","38"
"1890","SEN","Senegal","1004.94996572658","43"
"1900","SEN","Senegal","1063.6238550028","44"
"1913","SEN","Senegal","1048.7859018508","52"
"1925","SEN","Senegal","988.117779220726","65"
"1929","SEN","Senegal","974.356425377996","74"
"1933","SEN","Senegal","886.830661381499","76"
"1938","SEN","Senegal","991.690953667097","75"
"1950","SEN","Senegal","1259","79"
"1955","SEN","Senegal","1367","80"
"1960","SEN","Senegal","1445","82"
"1965","SEN","Senegal","1511","88"
"1970","SEN","Senegal","1435","97"
"1975","SEN","Senegal","1396","104"
"1980","SEN","Senegal","1268","121"
"1985","SEN","Senegal","1255","123"
"1990","SEN","Senegal","1254","123"
"1995","SEN","Senegal","1218","121"
"2000","SEN","Senegal","1318","125.5"
"2005","SEN","Senegal","1451","128"
"2010","SEN","Senegal","1514","132"
"2015","SEN","Senegal","1636","132"
"2020","SEN","Senegal","1831.90701595182","127"
"1950","SYC","Seychelles","1651","63.5"
"1955","SYC","Seychelles","1869","65"
"1960","SYC","Seychelles","2043","68"
"1965","SYC","Seychelles","2102","72"
"1970","SYC","Seychelles","2219","77"
"1975","SYC","Seychelles","2827","73"
"1980","SYC","Seychelles","4030","79"
"1985","SYC","Seychelles","4131","77"
"1990","SYC","Seychelles","5169","65"
"1995","SYC","Seychelles","5632","57"
"2000","SYC","Seychelles","7078","54"
"2005","SYC","Seychelles","6615","66"
"2010","SYC","Seychelles","7780","65"
"2015","SYC","Seychelles","9683","55"
"2020","SYC","Seychelles","9930.20124477373","54"
"1870","SLE","Sierra Leona","373.517678993606","98"
"1880","SLE","Sierra Leona","385.866429076187","96"
"1890","SLE","Sierra Leona","407.294823116411","95"
"1900","SLE","Sierra Leona","436.446035773466","95"
"1913","SLE","Sierra Leona","440.937316723825","104"
"1925","SLE","Sierra Leona","510.401613505633","102"
"1929","SLE","Sierra Leona","468.600434925787","104"
"1933","SLE","Sierra Leona","415.877393593071","107"
"1938","SLE","Sierra Leona","543.979181748345","99"
"1950","SLE","Sierra Leona","566","122"
"1955","SLE","Sierra Leona","655","121"
"1960","SLE","Sierra Leona","738","119"
"1965","SLE","Sierra Leona","804","121"
"1970","SLE","Sierra Leona","974","113"
"1975","SLE","Sierra Leona","973","117"
"1980","SLE","Sierra Leona","994","134"
"1985","SLE","Sierra Leona","1010","129"
"1990","SLE","Sierra Leona","1026","132"
"1995","SLE","Sierra Leona","865","137"
"2000","SLE","Sierra Leona","517","157"
"2005","SLE","Sierra Leona","761","147"
"2010","SLE","Sierra Leona","881","147"
"2015","SLE","Sierra Leona","968","148"
"2020","SLE","Sierra Leona","1026.68311588256","147"
"1870","ZAF","Sudáfrica","1098.12645437572","29"
"1880","ZAF","Sudáfrica","1346.14105148898","24"
"1890","ZAF","Sudáfrica","1276.1842700458","30"
"1900","ZAF","Sudáfrica","1212.66760021831","38"
"1913","ZAF","Sudáfrica","1547.87019844901","29"
"1925","ZAF","Sudáfrica","1605.06265539361","36"
"1929","ZAF","Sudáfrica","1656.42949079874","37"
"1933","ZAF","Sudáfrica","1489.54998551707","39"
"1938","ZAF","Sudáfrica","1993.23209318115","32"
"1950","ZAF","Sudáfrica","2535","34"
"1955","ZAF","Sudáfrica","2830","36"
"1960","ZAF","Sudáfrica","3041","42"
"1965","ZAF","Sudáfrica","3559","45"
"1970","ZAF","Sudáfrica","4045","47"
"1975","ZAF","Sudáfrica","4271","51"
"1980","ZAF","Sudáfrica","4390","69"
"1985","ZAF","Sudáfrica","4006","78"
"1990","ZAF","Sudáfrica","3834","80"
"1995","ZAF","Sudáfrica","3656","77"
"2000","ZAF","Sudáfrica","3936","78"
"2005","ZAF","Sudáfrica","4436","79"
"2010","ZAF","Sudáfrica","4862","88"
"2015","ZAF","Sudáfrica","5161","89"
"2020","ZAF","Sudáfrica","4665.8011308585","97"
"1870","SDN","Sudán","440.650629396739","91"
"1880","SDN","Sudán","540.699524984292","80"
"1890","SDN","Sudán","543.92068612521","83"
"1900","SDN","Sudán","564.252220311937","84"
"1913","SDN","Sudán","642.28814867718","93"
"1925","SDN","Sudán","701.356262455137","88"
"1929","SDN","Sudán","705.943859094052","88"
"1933","SDN","Sudán","616.343081349911","93"
"1938","SDN","Sudán","708.646769085801","87"
"1950","SDN","Sudán","821","101"
"1955","SDN","Sudán","907","104"
"1960","SDN","Sudán","1024","101"
"1965","SDN","Sudán","984","107.5"
"1970","SDN","Sudán","888","120"
"1975","SDN","Sudán","910","121"
"1980","SDN","Sudán","931","138"
"1985","SDN","Sudán","799","142"
"1990","SDN","Sudán","760","148"
"1995","SDN","Sudán","840","138"
"2000","SDN","Sudán","1019","136"
"2005","SDN","Sudán","1259","131"
"2010","SDN","Sudán","1611","128"
"2015","SDN","Sudán","1547","135"
"2020","SDN","Sudán","1312.080616011","141"
"1870","TZA","Tanzanía","330.423691047652","102"
"1880","TZA","Tanzanía","337.857567980938","101"
"1890","TZA","Tanzanía","349.807534208258","103"
"1900","TZA","Tanzanía","371.14707505033","105"
"1913","TZA","Tanzanía","370.577804510509","112"
"1925","TZA","Tanzanía","412.338271375622","108"
"1929","TZA","Tanzanía","378.730057460211","112"
"1933","TZA","Tanzanía","334.006430857129","114"
"1938","TZA","Tanzanía","376.336830890539","113"
"1950","TZA","Tanzanía","424","134"
"1955","TZA","Tanzanía","460","137"
"1960","TZA","Tanzanía","459","141"
"1965","TZA","Tanzanía","497","142"
"1970","TZA","Tanzanía","568","141"
"1975","TZA","Tanzanía","600","140"
"1980","TZA","Tanzanía","601","155"
"1985","TZA","Tanzanía","529","159"
"1990","TZA","Tanzanía","549","157"
"1995","TZA","Tanzanía","512","156"
"2000","TZA","Tanzanía","554","155"
"2005","TZA","Tanzanía","657","153"
"2010","TZA","Tanzanía","767","151"
"2015","TZA","Tanzanía","927","151"
"2020","TZA","Tanzanía","1037.73640310818","146"
"1870","TGO","Togo","521.736643915384","79"
"1880","TGO","Togo","486.679024209639","89"
"1890","TGO","Togo","502.54374116866","89"
"1900","TGO","Togo","531.884700252596","89"
"1913","TGO","Togo","524.464708469323","100"
"1925","TGO","Togo","494.126496263749","103"
"1929","TGO","Togo","487.244877795638","102"
"1933","TGO","Togo","418.949926541329","106"
