"rama","anio","prop_rama"
"Investigación y desarrollo","1996",0.0181981737572197
"Investigación y desarrollo","1997",0.0160102386388051
"Investigación y desarrollo","1998",0.0156218497326835
"Investigación y desarrollo","1999",0.0154948186204568
"Investigación y desarrollo","2000",0.0151303121525235
"Investigación y desarrollo","2001",0.0149154979829697
"Investigación y desarrollo","2002",0.0175926720014777
"Investigación y desarrollo","2003",0.0176912631777729
"Investigación y desarrollo","2004",0.0183061904477472
"Investigación y desarrollo","2005",0.0175822140492342
"Investigación y desarrollo","2006",0.0171360276919292
"Investigación y desarrollo","2007",0.0168401006245004
"Investigación y desarrollo","2008",0.0174101678462829
"Investigación y desarrollo","2009",0.0191017075986957
"Investigación y desarrollo","2010",0.0193566257787921
"Investigación y desarrollo","2011",0.018709809770747
"Investigación y desarrollo","2012",0.0196406577379889
"Investigación y desarrollo","2013",0.020622233624268
"Investigación y desarrollo","2014",0.0218740313978866
"Investigación y desarrollo","2015",0.0226067423453089
"Investigación y desarrollo","2016",0.0236958036094377
"Investigación y desarrollo","2017",0.0238018403731868
"Investigación y desarrollo","2018",0.024216188245762
"Investigación y desarrollo","2019",0.0252644292412361
"Investigación y desarrollo","2020",0.0264075771463489
"Investigación y desarrollo","2021",0.0296038965193242
"Investigación y desarrollo","2022",0.0309026836541068
"Otras","1996",0.109214030227959
"Otras","1997",0.108858184651007
"Otras","1998",0.103112551012605
"Otras","1999",0.0941442561639592
"Otras","2000",0.0916890407615328
"Otras","2001",0.0951360248031157
"Otras","2002",0.0721436440761827
"Otras","2003",0.0818588116099289
"Otras","2004",0.0728650785200267
"Otras","2005",0.0828915179157117
"Otras","2006",0.0797779764320297
"Otras","2007",0.0879739218865195
"Otras","2008",0.0795533827916773
"Otras","2009",0.0808671404917261
"Otras","2010",0.0864094327375858
"Otras","2011",0.0995992738187601
"Otras","2012",0.0901570724539989
"Otras","2013",0.10279517849894
"Otras","2014",0.0921629903722947
"Otras","2015",0.107721002307225
"Otras","2016",0.0899408532101807
"Otras","2017",0.0873194772828935
"Otras","2018",0.0849443934791406
"Otras","2019",0.0798028613127594
"Otras","2020",0.0769781036765455
"Otras","2021",0.0892710829582777
"Otras","2022",0.0841593404636783
"SSI","1996",0.0983729447629383
"SSI","1997",0.101522348333207
"SSI","1998",0.11171256352677
"SSI","1999",0.128434860771698
"SSI","2000",0.144712933582838
"SSI","2001",0.152565681641402
"SSI","2002",0.162234551367897
"SSI","2003",0.155342599614521
"SSI","2004",0.160395365929035
"SSI","2005",0.168344076917225
"SSI","2006",0.183048378551927
"SSI","2007",0.198573680512032
"SSI","2008",0.221728768342943
"SSI","2009",0.237225177515093
"SSI","2010",0.247461354963805
"SSI","2011",0.261785406348379
"SSI","2012",0.273307312496991
"SSI","2013",0.274691186627069
"SSI","2014",0.283782445175123
"SSI","2015",0.284443961928446
"SSI","2016",0.303470762006734
"SSI","2017",0.313788420985366
"SSI","2018",0.325702999099978
"SSI","2019",0.349792160674204
"SSI","2020",0.37704776453814
"SSI","2021",0.390882120115958
"SSI","2022",0.404209456852013
"Ss. Arquitectura","1996",0.148883764430388
"Ss. Arquitectura","1997",0.159051318394772
"Ss. Arquitectura","1998",0.161794253217183
"Ss. Arquitectura","1999",0.152480796455628
"Ss. Arquitectura","2000",0.147373416863288
"Ss. Arquitectura","2001",0.141468255866886
"Ss. Arquitectura","2002",0.117542864305364
"Ss. Arquitectura","2003",0.131232183591069
"Ss. Arquitectura","2004",0.145592516510371
"Ss. Arquitectura","2005",0.15502511981108
"Ss. Arquitectura","2006",0.15960728443404
"Ss. Arquitectura","2007",0.160290443607634
"Ss. Arquitectura","2008",0.160047124526644
"Ss. Arquitectura","2009",0.148880732205318
"Ss. Arquitectura","2010",0.143195207560743
"Ss. Arquitectura","2011",0.140390669465683
"Ss. Arquitectura","2012",0.140503973794854
"Ss. Arquitectura","2013",0.138875874739837
"Ss. Arquitectura","2014",0.138715805349719
"Ss. Arquitectura","2015",0.136300442231119
"Ss. Arquitectura","2016",0.132121641146042
"Ss. Arquitectura","2017",0.130146494983705
"Ss. Arquitectura","2018",0.13166033916862
"Ss. Arquitectura","2019",0.129017092528865
"Ss. Arquitectura","2020",0.116248090436908
"Ss. Arquitectura","2021",0.112245377739307
"Ss. Arquitectura","2022",0.112668850295458
"Ss. Jurídicos y de contabilidad","1996",0.560802176070365
"Ss. Jurídicos y de contabilidad","1997",0.548827518196615
"Ss. Jurídicos y de contabilidad","1998",0.541984329484069
"Ss. Jurídicos y de contabilidad","1999",0.547504893795265
"Ss. Jurídicos y de contabilidad","2000",0.539538415642882
"Ss. Jurídicos y de contabilidad","2001",0.534896469137591
"Ss. Jurídicos y de contabilidad","2002",0.572847878719909
"Ss. Jurídicos y de contabilidad","2003",0.55619419023953
"Ss. Jurídicos y de contabilidad","2004",0.544189102505837
"Ss. Jurídicos y de contabilidad","2005",0.516865056396925
"Ss. Jurídicos y de contabilidad","2006",0.500918641398621
"Ss. Jurídicos y de contabilidad","2007",0.477217045389799
"Ss. Jurídicos y de contabilidad","2008",0.46060535504494
"Ss. Jurídicos y de contabilidad","2009",0.45467227852516
"Ss. Jurídicos y de contabilidad","2010",0.443455252789595
"Ss. Jurídicos y de contabilidad","2011",0.4203930756737
"Ss. Jurídicos y de contabilidad","2012",0.417312916347619
"Ss. Jurídicos y de contabilidad","2013",0.404436212723588
"Ss. Jurídicos y de contabilidad","2014",0.403259615722589
"Ss. Jurídicos y de contabilidad","2015",0.387245123507607
"Ss. Jurídicos y de contabilidad","2016",0.386292392832725
"Ss. Jurídicos y de contabilidad","2017",0.380017093744009
"Ss. Jurídicos y de contabilidad","2018",0.369808013744067
"Ss. Jurídicos y de contabilidad","2019",0.354240998641842
"Ss. Jurídicos y de contabilidad","2020",0.346392911701803
"Ss. Jurídicos y de contabilidad","2021",0.321977734835971
"Ss. Jurídicos y de contabilidad","2022",0.308047909988176
"Ss. publicidad","1996",0.0645289107511298
"Ss. publicidad","1997",0.0657303917855945
"Ss. publicidad","1998",0.0657744530266899
"Ss. publicidad","1999",0.0619403741929927
"Ss. publicidad","2000",0.0615558809969354
"Ss. publicidad","2001",0.0610180705680356
"Ss. publicidad","2002",0.0576383895291688
"Ss. publicidad","2003",0.0576809517671779
"Ss. publicidad","2004",0.0586517460869836
"Ss. publicidad","2005",0.0592920149098234
"Ss. publicidad","2006",0.0595116914914533
"Ss. publicidad","2007",0.059104807979516
"Ss. publicidad","2008",0.0606552014475133
"Ss. publicidad","2009",0.0592529636640063
"Ss. publicidad","2010",0.06012212616948
"Ss. publicidad","2011",0.0591217649227314
"Ss. publicidad","2012",0.0590780671685489
"Ss. publicidad","2013",0.0585793137862987
"Ss. publicidad","2014",0.060205111982387
"Ss. publicidad","2015",0.0616827276802939
"Ss. publicidad","2016",0.0644785471948813
"Ss. publicidad","2017",0.064926672630839
"Ss. publicidad","2018",0.0636680662624325
"Ss. publicidad","2019",0.0618824576010941
"Ss. publicidad","2020",0.0569255525002546
"Ss. publicidad","2021",0.0560197878311621
"Ss. publicidad","2022",0.060011758746567
