anio,sbc,prop_sbc
1996,140069.0,0.0398920114089062
1997,161740.25,0.0423165515962085
1998,179796.25,0.0440237762732606
1999,179947.25,0.0444506432843735
2000,184365.0,0.0461431985897623
2001,182880.25,0.0466459763851241
2002,151583.0,0.0430181587638895
2003,166805.5,0.0447348568250187
2004,192530.5,0.046019551027896
2005,226763.25,0.0483186466370323
2006,258125.75,0.0502276216772153
2007,289591.5,0.0518409260321409
2008,304936.75,0.0514624636571167
2009,295327.0,0.0505517952334512
2010,302351.25,0.0504474996743284
2011,324161.5,0.0515989536997995
2012,321921.5,0.0505646837204923
2013,319630.75,0.0497560286117897
2014,312951.0,0.0486351886081973
2015,320081.5,0.0486417458669887
2016,310076.0,0.0473724927617104
2017,312980.0,0.0474059075549208
2018,316936.75,0.0478700451034879
2019,315869.0,0.048815723883903
2020,306843.75,0.0495933236345446
2021,324340.75,0.0516881025287892
2022,343999.25,0.0523844214786647
