"provincia","anio","prop"
"CABA","1996",0.410582724149095
"CABA","1997",0.414284545200475
"CABA","1998",0.416812500086737
"CABA","1999",0.438702712266922
"CABA","2000",0.459405727575891
"CABA","2001",0.454403087258227
"CABA","2002",0.473624260698903
"CABA","2003",0.459608542269427
"CABA","2004",0.462055644437507
"CABA","2005",0.463627066625218
"CABA","2006",0.479400047553656
"CABA","2007",0.484096345368586
"CABA","2008",0.502156938678098
"CABA","2009",0.509126223135923
"CABA","2010",0.513725877031195
"CABA","2011",0.51641960993322
"CABA","2012",0.528920978239842
"CABA","2013",0.527830241695571
"CABA","2014",0.540957195923605
"CABA","2015",0.535451508684848
"CABA","2016",0.542742103000353
"CABA","2017",0.54448634019939
"CABA","2018",0.547426575386907
"CABA","2019",0.564990633397252
"CABA","2020",0.573503305557861
"CABA","2021",0.581836973259835
"CABA","2022",0.581324660586997
"Córdoba","1996",0.0618139410926145
"Córdoba","1997",0.0686943457523273
"Córdoba","1998",0.0649429410842235
"Córdoba","1999",0.0623278136952823
"Córdoba","2000",0.0655140343447575
"Córdoba","2001",0.0674914113766122
"Córdoba","2002",0.0656927761856214
"Córdoba","2003",0.0663665138203767
"Córdoba","2004",0.0724548327935381
"Córdoba","2005",0.0710531316697442
"Córdoba","2006",0.0699941285792618
"Córdoba","2007",0.0757480604719828
"Córdoba","2008",0.0727652617022827
"Córdoba","2009",0.072276772132966
"Córdoba","2010",0.0666179807041117
"Córdoba","2011",0.0667985299589326
"Córdoba","2012",0.0650839017267094
"Córdoba","2013",0.0652879070472993
"Córdoba","2014",0.0613604643034203
"Córdoba","2015",0.0584507660151856
"Córdoba","2016",0.0645978355208389
"Córdoba","2017",0.0683673200326963
"Córdoba","2018",0.0686196692447372
"Córdoba","2019",0.0669986655257663
"Córdoba","2020",0.0660184095897789
"Córdoba","2021",0.0649661274819517
"Córdoba","2022",0.0659323863198049
"GBA","1996",0.149969324659575
"GBA","1997",0.145739048263147
"GBA","1998",0.148697352516268
"GBA","1999",0.144581893983691
"GBA","2000",0.127480844307488
"GBA","2001",0.119751510695808
"GBA","2002",0.113361715411003
"GBA","2003",0.116981046556426
"GBA","2004",0.116317425631821
"GBA","2005",0.114200849992476
"GBA","2006",0.110915504917921
"GBA","2007",0.112065458044776
"GBA","2008",0.106955339211254
"GBA","2009",0.111614569077361
"GBA","2010",0.121853890718527
"GBA","2011",0.121758758246935
"GBA","2012",0.119429692911568
"GBA","2013",0.114326540140202
"GBA","2014",0.110588647450325
"GBA","2015",0.112197957501747
"GBA","2016",0.111265693762107
"GBA","2017",0.112649508317493
"GBA","2018",0.112381510336693
"GBA","2019",0.10787829658196
"GBA","2020",0.106975434896863
"GBA","2021",0.105313017774703
"GBA","2022",0.105265434631049
"Resto","1996",0.206258127176563
"Resto","1997",0.195717662826553
"Resto","1998",0.200277280101475
"Resto","1999",0.19397249442576
"Resto","2000",0.190776671927362
"Resto","2001",0.19786220486429
"Resto","2002",0.191804841114605
"Resto","2003",0.19665047553578
"Resto","2004",0.189505859705259
"Resto","2005",0.1941779140363
"Resto","2006",0.187935928727746
"Resto","2007",0.181602536913876
"Resto","2008",0.176846047222588
"Resto","2009",0.166972724291371
"Resto","2010",0.159805731404352
"Resto","2011",0.159316590253513
"Resto","2012",0.152861676037617
"Resto","2013",0.156553902647404
"Resto","2014",0.154238825710247
"Resto","2015",0.161603508409089
"Resto","2016",0.146044374882251
"Resto","2017",0.137437785602935
"Resto","2018",0.133709256013267
"Resto","2019",0.126134283346251
"Resto","2020",0.121932209622647
"Resto","2021",0.11786389581286
"Resto","2022",0.119120968805943
"Resto de Buenos Aires","1996",0.105313899059349
"Resto de Buenos Aires","1997",0.108072886508955
"Resto de Buenos Aires","1998",0.104519887700171
"Resto de Buenos Aires","1999",0.101359243700383
"Resto de Buenos Aires","2000",0.0989164965678391
"Resto de Buenos Aires","2001",0.0971887802651609
"Resto de Buenos Aires","2002",0.0979198283791996
"Resto de Buenos Aires","2003",0.102173338268732
"Resto de Buenos Aires","2004",0.100533291710566
"Resto de Buenos Aires","2005",0.0977842855746237
"Resto de Buenos Aires","2006",0.0942096145727692
"Resto de Buenos Aires","2007",0.0912962465457354
"Resto de Buenos Aires","2008",0.0882482252025737
"Resto de Buenos Aires","2009",0.0874209045125633
"Resto de Buenos Aires","2010",0.0865148449357619
"Resto de Buenos Aires","2011",0.0848669467407927
"Resto de Buenos Aires","2012",0.0830031139428507
"Resto de Buenos Aires","2013",0.0837465603712323
"Resto de Buenos Aires","2014",0.0831060053948033
"Resto de Buenos Aires","2015",0.0827246262366077
"Resto de Buenos Aires","2016",0.085347335945136
"Resto de Buenos Aires","2017",0.0846747033005492
"Resto de Buenos Aires","2018",0.0841691982783466
"Resto de Buenos Aires","2019",0.0813199680484677
"Resto de Buenos Aires","2020",0.0787769029127635
"Resto de Buenos Aires","2021",0.0776232058493294
"Resto de Buenos Aires","2022",0.0760612446621443
"Santa Fe","1996",0.0660619838628034
"Santa Fe","1997",0.0674915114485429
"Santa Fe","1998",0.0647500385111252
"Santa Fe","1999",0.0590558419279613
"Santa Fe","2000",0.0579062252766631
"Santa Fe","2001",0.0633030055399012
"Santa Fe","2002",0.0575965782106672
"Santa Fe","2003",0.058220083549257
"Santa Fe","2004",0.0591329457213096
"Santa Fe","2005",0.0591567521016388
"Santa Fe","2006",0.0575447756486464
"Santa Fe","2007",0.0551913526550435
"Santa Fe","2008",0.053028187983203
"Santa Fe","2009",0.0525888068498154
"Santa Fe","2010",0.0514816752060519
