rama,anio,empleo,sbc_perc,total_perc
Investigación y desarrollo,1996,2549.0,0.0181981737572197,0.0007259617551442
Investigación y desarrollo,1997,2589.5,0.0160102386388051,0.0006774980894266
Investigación y desarrollo,1998,2808.75,0.0156218497326835,0.0006877328176061
Investigación y desarrollo,1999,2788.25,0.0154948186204568,0.0006887546552539
Investigación y desarrollo,2000,2789.5,0.0151303121525235,0.0006981609983789
Investigación y desarrollo,2001,2727.75,0.0149154979829697,0.0006957479666859
Investigación y desarrollo,2002,2666.75,0.0175926720014777,0.0007568043572406
Investigación y desarrollo,2003,2951.0,0.0176912631777729,0.0007914161253113
Investigación y desarrollo,2004,3524.5,0.0183061904477472,0.0008424426654364
Investigación y desarrollo,2005,3987.0,0.0175822140492342,0.0008495487877416
Investigación y desarrollo,2006,4423.25,0.0171360276919292,0.0008607019159605
Investigación y desarrollo,2007,4876.75,0.0168401006245004,0.0008730064108485
Investigación y desarrollo,2008,5309.0,0.0174101678462829,0.0008959701300536
Investigación y desarrollo,2009,5641.25,0.0191017075986957,0.0009656256111385
Investigación y desarrollo,2010,5852.5,0.0193566257787921,0.0009764933726717
Investigación y desarrollo,2011,6065.0,0.018709809770747,0.0009654066080928
Investigación y desarrollo,2012,6322.75,0.0196406577379889,0.0009931236465838
Investigación y desarrollo,2013,6591.5,0.020622233624268,0.001026080446248
Investigación y desarrollo,2014,6845.5,0.0218740313978866,0.0010638476426578
Investigación y desarrollo,2015,7236.0,0.0226067423453089,0.001099631416041
Investigación y desarrollo,2016,7347.5,0.0236958036094377,0.001122529284971
Investigación y desarrollo,2017,7449.5,0.0238018403731868,0.0011283478443682
Investigación y desarrollo,2018,7675.0,0.024216188245762,0.0011592300235591
Investigación y desarrollo,2019,7980.25,0.0252644292412361,0.0012333014019245
Investigación y desarrollo,2020,8103.0,0.0264075771463489,0.001309639519823
Investigación y desarrollo,2021,9601.75,0.0296038965193242,0.0015301692385425
Investigación y desarrollo,2022,10630.5,0.0309026836541068,0.0016188192053585
Otras,1996,15297.5,0.109214030227959,0.0043567673398663
Otras,1997,17606.75,0.108858184651007,0.0046065029874539
Otras,1998,18539.25,0.103112551012605,0.004539403876744
Otras,1999,16941.0,0.0941442561639592,0.0041847727480168
Otras,2000,16904.25,0.0916890407615328,0.0042308256163642
Otras,2001,17398.5,0.0951360248031157,0.0044377127663407
Otras,2002,10935.75,0.0721436440761827,0.0031034867346747
Otras,2003,13654.5,0.0818588116099289,0.0036619422172363
Otras,2004,14028.75,0.0728650785200267,0.003353218199104
Otras,2005,18796.75,0.0828915179157117,0.0040052059633765
Otras,2006,20592.75,0.0797779764320297,0.0040070580184017
Otras,2007,25476.5,0.0879739218865195,0.0045606495772764
Otras,2008,24258.75,0.0795533827916773,0.0040940130707173
Otras,2009,23882.25,0.0808671404917261,0.0040879791272524
Otras,2010,26126.0,0.0864094327375858,0.0043591398298882
Otras,2011,32286.25,0.0995992738187601,0.0051392183183078
Otras,2012,29023.5,0.0901570724539989,0.0045587638538019
Otras,2013,32856.5,0.10279517849894,0.0051146798425472
Otras,2014,28842.5,0.0921629903722947,0.004482364419452
Otras,2015,34479.5,0.107721002307225,0.0052397376187653
Otras,2016,27888.5,0.0899408532101807,0.0042607224176813
Otras,2017,27329.25,0.0873194772828935,0.0041394590678168
Otras,2018,26922.0,0.0849443934791406,0.0040662919471348
Otras,2019,25207.25,0.0798028613127594,0.003895634442989
Otras,2020,23620.25,0.0769781036765455,0.0038176000084044
Otras,2021,28954.25,0.0892710829582777,0.0046142528888035
Otras,2022,28950.75,0.0841593404636783,0.0044086383622157
SSI,1996,13779.0,0.0983729447629383,0.0039242946348108
SSI,1997,16420.25,0.101522348333207,0.0042960756914104
SSI,1998,20085.5,0.11171256352677,0.0049180089036149
SSI,1999,23111.5,0.128434860771698,0.0057090121814409
SSI,2000,26680.0,0.144712933582838,0.00667751763282
SSI,2001,27901.25,0.152565681641402,0.0071165751830252
SSI,2002,24592.0,0.162234551367897,0.0069790316877326
SSI,2003,25912.0,0.155342599614521,0.0069492289525818
SSI,2004,30881.0,0.160395365929035,0.0073813227270092
SSI,2005,38174.25,0.168344076917225,0.0081341579660007
SSI,2006,47249.5,0.183048378551927,0.0091940847065338
SSI,2007,57505.25,0.198573680512032,0.0102942434833542
SSI,2008,67613.25,0.221728768342943,0.011410708682586
SSI,2009,70059.0,0.237225177515093,0.0119921585979621
SSI,2010,74820.25,0.247461354963805,0.0124838066239454
SSI,2011,84860.75,0.261785406348379,0.0135078530614532
SSI,2012,87983.5,0.273307312496991,0.0138196978149081
SSI,2013,87799.75,0.274691186627069,0.0136675425412229
SSI,2014,88810.0,0.283782445175123,0.0138018127447875
SSI,2015,91045.25,0.284443961928446,0.0138358509095229
SSI,2016,94099.0,0.303470762006734,0.0143761664765547
SSI,2017,98209.5,0.313788420985366,0.0148754248770369
SSI,2018,103227.25,0.325702999099978,0.0155914172572572
SSI,2019,110488.5,0.349792160674204,0.0170753575322258
SSI,2020,115694.75,0.37704776453814,0.0186990518124216
SSI,2021,126779.0,0.390882120115958,0.0202039551012242
SSI,2022,139047.75,0.404209456852013,0.021174278553398
Ss. Arquitectura,1996,20854.0,0.148883764430388,0.0059392728292579
Ss. Arquitectura,1997,25725.0,0.159051318394772,0.0067305033212973
Ss. Arquitectura,1998,29090.0,0.161794253217183,0.0071227940059325
Ss. Arquitectura,1999,27438.5,0.152480796455628,0.0067778694909662
Ss. Arquitectura,2000,27170.5,0.147373416863288,0.0068002808411745
Ss. Arquitectura,2001,25871.75,0.141468255866886,0.0065989249224114
Ss. Arquitectura,2002,17817.5,0.117542864305364,0.0050564775982504
Ss. Arquitectura,2003,21890.25,0.131232183591069,0.005870652943781
Ss. Arquitectura,2004,28031.0,0.145592516510371,0.0067001022428288
Ss. Arquitectura,2005,35154.0,0.15502511981108,0.0074906039840151
Ss. Arquitectura,2006,41198.75,0.15960728443404,0.0080166942994806
Ss. Arquitectura,2007,46418.75,0.160290443607634,0.0083096050307223
Ss. Arquitectura,2008,48804.25,0.160047124526644,0.0082364193293784
Ss. Arquitectura,2009,43968.5,0.148880732205318,0.0075261882886495
Ss. Arquitectura,2010,43295.25,0.143195207560743,0.0072238401867859
Ss. Arquitectura,2011,45509.25,0.140390669465683,0.0072440116536436
Ss. Arquitectura,2012,45231.25,0.140503973794854,0.0071045389964091
Ss. Arquitectura,2013,44389.0,0.138875874739837,0.0069099119970426
Ss. Arquitectura,2014,43411.25,0.138715805349719,0.0067464693561215
Ss. Arquitectura,2015,43627.25,0.136300442231119,0.0066298914725642
Ss. Arquitectura,2016,40967.75,0.132121641146042,0.0062589314888561
Ss. Arquitectura,2017,40733.25,0.130146494983705,0.0061697127097944
Ss. Arquitectura,2018,41728.0,0.13166033916862,0.0063025863743423
Ss. Arquitectura,2019,40752.5,0.129017092528865,0.006298062765193
Ss. Arquitectura,2020,35670.0,0.116248090436908,0.0057651291709353
Ss. Arquitectura,2021,36405.75,0.112245377739307,0.0058017505929719
Ss. Arquitectura,2022,38758.0,0.112668850295458,0.0059020925413938
Ss. Jurídicos y de contabilidad,1996,78551.0,0.560802176070365,0.0223715268059384
Ss. Jurídicos y de contabilidad,1997,88767.5,0.548827518196615,0.0232244879911861
Ss. Jurídicos y de contabilidad,1998,97446.75,0.541984329484069,0.0238601968648198
Ss. Jurídicos y de contabilidad,1999,98522.0,0.547504893795265,0.0243369447305421
Ss. Jurídicos y de contabilidad,2000,99472.0,0.539538415642882,0.0248960282598153
Ss. Jurídicos y de contabilidad,2001,97822.0,0.534896469137591,0.0249507680678784
Ss. Jurídicos y de contabilidad,2002,86834.0,0.572847878719909,0.0246428609943304
Ss. Jurídicos y de contabilidad,2003,92776.25,0.55619419023953,0.0248812674672726
Ss. Jurídicos y de contabilidad,2004,104773.0,0.544189102505837,0.0250433381715923
Ss. Jurídicos y de contabilidad,2005,117206.0,0.516865056396925,0.0249742200190728
Ss. Jurídicos y de contabilidad,2006,129300.0,0.500918641398621,0.0251599520112346
Ss. Jurídicos y de contabilidad,2007,138198.0,0.477217045389799,0.0247393735513294
Ss. Jurídicos y de contabilidad,2008,140455.5,0.46060535504494,0.0237038863442735
Ss. Jurídicos y de contabilidad,2009,134277.0,0.45467227852516,0.0229844999223306
Ss. Jurídicos y de contabilidad,2010,134079.25,0.443455252789595,0.0223712087206823
Ss. Jurídicos y de contabilidad,2011,136275.25,0.4203930756737,0.0216918428474035
Ss. Jurídicos y de contabilidad,2012,134342.0,0.417312916347619,0.0211012956275936
Ss. Jurídicos y de contabilidad,2013,129270.25,0.404436212723588,0.0201231397719187
Ss. Jurídicos y de contabilidad,2014,126200.5,0.403259615722589,0.0196126074687373
Ss. Jurídicos y de contabilidad,2015,123950.0,0.387245123507607,0.0188362788858877
Ss. Jurídicos y de contabilidad,2016,119780.0,0.386292392832725,0.0182996335833721
Ss. Jurídicos y de contabilidad,2017,118937.75,0.380017093744009,0.0180150552153182
Ss. Jurídicos y de contabilidad,2018,117205.75,0.369808013744067,0.0177027262975598
Ss. Jurídicos y de contabilidad,2019,111893.75,0.354240998641842,0.0172925307780582
Ss. Jurídicos y de contabilidad,2020,106288.5,0.346392911701803,0.0171787757747397
Ss. Jurídicos y de contabilidad,2021,104430.5,0.321977734835971,0.016642418170189
Ss. Jurídicos y de contabilidad,2022,105968.25,0.308047909988176,0.0161369115524424
Ss. publicidad,1996,9038.5,0.0645289107511298,0.0025741880438883
Ss. publicidad,1997,10631.25,0.0657303917855945,0.0027814835154341
Ss. publicidad,1998,11826.0,0.0657744530266899,0.002895639804543
Ss. publicidad,1999,11146.0,0.0619403741929927,0.0027532894781533
Ss. publicidad,2000,11348.75,0.0615558809969354,0.0028403852412093
