"anio","exportaciones_sbc","prop_expo_sbc_servicios","prop_expo_sbc_total"
"2006",2521.420877376,0.318722799510133,0.0462404096843691
"2007",3307.066349365,0.329200984976658,0.0500143888608932
"2008",4251.379841166,0.372139737890637,0.0521107029244223
"2009",4360.837830503,0.413560401713334,0.0657390221922277
"2010",5031.5828706,0.39256663743554,0.0620241097573851
"2011",6139.965268422,0.423534055247829,0.0628987240921577
"2012",6208.098533287,0.435744692980864,0.0658120300772589
"2013",5949.95120578,0.434941394750224,0.0663996878547868
"2014",5313.145712425,0.39661079736524,0.0649236677173767
"2015",5390.261611723,0.407935563906459,0.0769789216779201
"2016",5816.046159684,0.433234498887205,0.0814747558132915
"2017",7367.738243773,0.475147831933869,0.0993384039253151
"2018",6951.349026081,0.453087934571023,0.0901097194102613
"2019",6783.780944376,0.458288616026094,0.0848349258292878
"2020",5821.618277538,0.613335357406634,0.0903455457974686
"2021",6717.989928377,0.707231553363721,0.076789570729949
"2022",8047.51576442,0.555516390591815,0.078129982525142
