anio,sector,share_ventas
2014,SBC,0.0259628439862567
2015,SBC,0.0290615589524413
2016,SBC,0.0284613108615443
2017,SBC,0.029817658747694
2018,SBC,0.0307738302183459
2019,SBC,0.0317198620653264
2020,SBC,0.0323619040678218
2021,SBC,0.0316961410774021
