"anio","exportaciones","prop_sobre_expo_total"
"2006",338.380322309,0.006205566422128
"2007",551.61244237,0.00834230592273952
"2008",816.85141827,0.0100124437667716
"2009",929.18292961,0.0140073030927695
"2010",1142.67162589,0.014085664921663
"2011",1529.50489145,0.0156684772566546
"2012",1533.43452008,0.0162559337961375
"2013",1475.77031358,0.0164691582801353
"2014",1214.3707178,0.0148389306891745
"2015",1327.53431069,0.0189586641778397
"2016",1458.73958406,0.0204349223068973
"2017",2020.31052698,0.0272396245012269
"2018",2051.56006178,0.0265941906853894
"2019",1920.01608929,0.0240108611792652
"2020",1838.45264695,0.0285308998105148
"2021",2197.16822199,0.025114596238887
"2022",2624.69515137,0.0254820732650211
