"anio","sector_sbc","salario_promedio"
"2011","Ss. Jurídicos y de contabilidad",481300.366466936
"2011","Ss. publicidad",555372.064564089
"2011","SBC",544228.736514923
"2012","Investigación y desarrollo",746584.740548411
"2012","Promedio economía",537291.695434164
"2012","SBC Otras",416859.635652234
"2012","SSI",714727.895325421
"2012","Ss. Arquitectura",549050.755749515
"2012","Ss. Jurídicos y de contabilidad",502989.288300083
"2012","Ss. publicidad",576497.027307725
"2012","SBC",568584.174132101
"2013","Investigación y desarrollo",755414.589283363
"2013","Promedio economía",542731.188671404
"2013","SBC Otras",396300.233212473
"2013","SSI",717633.745197139
"2013","Ss. Arquitectura",557144.575536419
"2013","Ss. Jurídicos y de contabilidad",508685.098932343
"2013","Ss. publicidad",590800.255511274
"2013","SBC",571025.950375922
"2014","Investigación y desarrollo",762424.8885463
"2014","Promedio economía",513403.665774849
"2014","SBC Otras",422577.85334978
"2014","SSI",695636.242637096
"2014","Ss. Arquitectura",526561.948229391
"2014","Ss. Jurídicos y de contabilidad",491136.791785787
"2014","Ss. publicidad",584583.05878776
"2014","SBC",559185.551829516
"2015","Investigación y desarrollo",802532.152341283
"2015","Promedio economía",535672.361239444
"2015","SBC Otras",401099.061420104
"2015","SSI",724261.908445627
"2015","Ss. Arquitectura",537704.420118971
"2015","Ss. Jurídicos y de contabilidad",510626.646672133
"2015","Ss. publicidad",599928.16747392
"2015","SBC",575264.517656568
"2016","Investigación y desarrollo",785493.699125075
"2016","Promedio economía",516176.029505504
"2016","SBC Otras",449084.31327503
"2016","SSI",701554.211650686
"2016","Ss. Arquitectura",492981.761826637
"2016","Ss. Jurídicos y de contabilidad",498496.959166181
"2016","Ss. publicidad",599850.376347703
"2016","SBC",568144.851382754
"2017","Investigación y desarrollo",836283.01077393
"2017","Promedio economía",533895.536627598
"2017","SBC Otras",458805.165923777
"2017","SSI",750607.825327754
"2017","Ss. Arquitectura",503960.377839972
"2017","Ss. Jurídicos y de contabilidad",524356.761136764
"2017","Ss. publicidad",612965.898488129
"2017","SBC",600047.359728385
"2018","Investigación y desarrollo",776291.594934564
"2018","Promedio economía",508253.543981316
"2018","SBC Otras",445371.527559079
"2018","SSI",751353.731606511
"2018","Ss. Arquitectura",487335.197064946
"2018","Ss. Jurídicos y de contabilidad",504394.320903858
"2018","Ss. publicidad",590340.925301475
"2018","SBC",589488.86098158
"2019","Investigación y desarrollo",728991.364932208
"2019","Promedio economía",477832.845102182
"2019","SBC Otras",426779.92507732
"2019","SSI",751584.619249482
"2019","Ss. Arquitectura",475186.257252722
"2019","Ss. Jurídicos y de contabilidad",480048.116646493
"2019","Ss. publicidad",568062.97920185
"2019","SBC",581763.265459707
"2020","Investigación y desarrollo",775613.907511919
"2020","Promedio economía",468772.226281541
"2020","SBC Otras",417328.876141073
"2020","SSI",809589.631787186
"2020","Ss. Arquitectura",454868.080949053
"2020","Ss. Jurídicos y de contabilidad",492858.760225303
"2020","Ss. publicidad",613519.169201604
"2020","SBC",616283.140076182
"2021","Investigación y desarrollo",776443.193658638
"2021","Promedio economía",470595.895267455
"2021","SBC Otras",418314.51634153
"2021","SSI",877525.077043429
"2021","Ss. Arquitectura",437123.252386777
"2021","Ss. Jurídicos y de contabilidad",511376.787093266
"2021","Ss. publicidad",642314.685832692
"2021","SBC",652926.890652648
"2022","Investigación y desarrollo",784266.981053201
"2022","Promedio economía",471875.622997444
"2022","SBC Otras",432773.891196746
"2022","SSI",883103.751472227
"2022","Ss. Arquitectura",440012.995500879
"2022","Ss. Jurídicos y de contabilidad",514785.732663597
"2022","Ss. publicidad",601625.613658942
"2022","SBC",661830.637331961
