"provincia","anio","prop"
"CABA","1996",0.410582724149095
"CABA","1997",0.414284545200475
"CABA","1998",0.416812500086737
"CABA","1999",0.438702712266922
"CABA","2000",0.459405727575891
"CABA","2001",0.454403087258227
"CABA","2002",0.473624260698903
"CABA","2003",0.459608542269427
"CABA","2004",0.462055644437507
"CABA","2005",0.463627066625218
"CABA","2006",0.479400047553656
"CABA","2007",0.484096345368586
"CABA","2008",0.502156938678098
"CABA","2009",0.509126223135923
"CABA","2010",0.513725877031195
"CABA","2011",0.51641960993322
"CABA","2012",0.528920978239842
"CABA","2013",0.527830241695571
"CABA","2014",0.540957195923605
"CABA","2015",0.535451508684848
"CABA","2016",0.542742103000353
"CABA","2017",0.54448634019939
"CABA","2018",0.547426575386907
"CABA","2019",0.564990633397252
"CABA","2020",0.573503305557861
"CABA","2021",0.581836973259835
"CABA","2022",0.581324660586997
"Catamarca","1996",0.00439650068594712
"Catamarca","1997",0.00308197338941413
"Catamarca","1998",0.00216633752954254
"Catamarca","1999",0.00280198004746916
"Catamarca","2000",0.00217599407388848
"Catamarca","2001",0.00251577655640614
"Catamarca","2002",0.0019576327753222
"Catamarca","2003",0.00165436593970252
"Catamarca","2004",0.00181579323890168
"Catamarca","2005",0.00234522348826455
"Catamarca","2006",0.00199434208547042
"Catamarca","2007",0.0021993267261389
"Catamarca","2008",0.00207956889063187
"Catamarca","2009",0.00250241301085283
"Catamarca","2010",0.00202010824199189
"Catamarca","2011",0.00222316250668148
"Catamarca","2012",0.00203513950339164
"Catamarca","2013",0.00197122855168934
"Catamarca","2014",0.00207146306520288
"Catamarca","2015",0.00258994293664746
"Catamarca","2016",0.00181634614920124
"Catamarca","2017",0.00197759682433906
"Catamarca","2018",0.00200402853043682
"Catamarca","2019",0.00160863797507559
"Catamarca","2020",0.00160437117924536
"Catamarca","2021",0.00170228353794853
"Catamarca","2022",0.00229339443284089
"Chaco","1996",0.0092652048629805
"Chaco","1997",0.0100720002099942
"Chaco","1998",0.0104528214429945
"Chaco","1999",0.00851652642943143
"Chaco","2000",0.00858006173940633
"Chaco","2001",0.0082743221341875
"Chaco","2002",0.00709330552686722
"Chaco","2003",0.00688639265129139
"Chaco","2004",0.00580247395325243
"Chaco","2005",0.00611735344550129
"Chaco","2006",0.00561909521891665
"Chaco","2007",0.00558383658985148
"Chaco","2008",0.00517272293346935
"Chaco","2009",0.00539124672368632
"Chaco","2010",0.00546763806490706
"Chaco","2011",0.00627111288854097
"Chaco","2012",0.00601727333429019
"Chaco","2013",0.00606066322251854
"Chaco","2014",0.00585521774869409
"Chaco","2015",0.00722222744493433
"Chaco","2016",0.00546111521721278
"Chaco","2017",0.00562676235838209
"Chaco","2018",0.0050506243592227
"Chaco","2019",0.00430919033205417
"Chaco","2020",0.00434449396408226
"Chaco","2021",0.00410410402707031
"Chaco","2022",0.0041794427938317
"Chubut","1996",0.0124847741203868
"Chubut","1997",0.0114879168423052
"Chubut","1998",0.0128925532667843
"Chubut","1999",0.0140900752954382
"Chubut","2000",0.0156649786145263
"Chubut","2001",0.0148404852811356
"Chubut","2002",0.0149387803897997
"Chubut","2003",0.0158516962916519
"Chubut","2004",0.0158140502855062
"Chubut","2005",0.0138725187041185
"Chubut","2006",0.0133790754210682
"Chubut","2007",0.0123321242507302
"Chubut","2008",0.0111232373811514
"Chubut","2009",0.0105858934411018
"Chubut","2010",0.00968441714862178
"Chubut","2011",0.00839603543755072
"Chubut","2012",0.00852902082410279
"Chubut","2013",0.00894205232558597
"Chubut","2014",0.00894875258229807
"Chubut","2015",0.00888383330356387
"Chubut","2016",0.00834424268188018
"Chubut","2017",0.00791438244245593
"Chubut","2018",0.00770350141974988
"Chubut","2019",0.00734158352868488
"Chubut","2020",0.00685600199163319
"Chubut","2021",0.00637740672648259
"Chubut","2022",0.00623203441605679
"Corrientes","1996",0.0104761206336828
"Corrientes","1997",0.010890359877524
"Corrientes","1998",0.00994627871507457
"Corrientes","1999",0.00930307139588923
"Corrientes","2000",0.00820150957886753
"Corrientes","2001",0.00901497987105449
"Corrientes","2002",0.00848141494176914
"Corrientes","2003",0.00926747093528332
"Corrientes","2004",0.00809692902017404
"Corrientes","2005",0.00927873667698858
"Corrientes","2006",0.00783858930625039
"Corrientes","2007",0.00737716034612185
"Corrientes","2008",0.00674877415963721
"Corrientes","2009",0.00721149160933206
"Corrientes","2010",0.00724321125093358
"Corrientes","2011",0.00791953296569414
"Corrientes","2012",0.00765536952329841
"Corrientes","2013",0.00769235001410827
"Corrientes","2014",0.00716093050313733
"Corrientes","2015",0.00845609318154043
"Corrientes","2016",0.00758340619650997
"Corrientes","2017",0.00711135827742128
"Corrientes","2018",0.00626249072792301
"Corrientes","2019",0.00634685110696573
"Corrientes","2020",0.00634507648424673
"Corrientes","2021",0.00593721405753749
"Corrientes","2022",0.00583982864068255
"Córdoba","1996",0.0618139410926145
"Córdoba","1997",0.0686943457523273
"Córdoba","1998",0.0649429410842235
"Córdoba","1999",0.0623278136952823
"Córdoba","2000",0.0655140343447575
"Córdoba","2001",0.0674914113766122
"Córdoba","2002",0.0656927761856214
"Córdoba","2003",0.0663665138203767
"Córdoba","2004",0.0724548327935381
"Córdoba","2005",0.0710531316697442
"Córdoba","2006",0.0699941285792618
"Córdoba","2007",0.0757480604719828
"Córdoba","2008",0.0727652617022827
"Córdoba","2009",0.072276772132966
"Córdoba","2010",0.0666179807041117
"Córdoba","2011",0.0667985299589326
"Córdoba","2012",0.0650839017267094
"Córdoba","2013",0.0652879070472993
