"anio","descripcion","prop_sobre_sbc_expo"
"2006","Propiedad intelectual",0.03193136994082
"2007","Propiedad intelectual",0.0292386596572417
"2008","Propiedad intelectual",0.0233730351355166
"2009","Propiedad intelectual",0.0242993419465859
"2010","Propiedad intelectual",0.0302465098939833
"2011","Propiedad intelectual",0.0253090011898288
"2012","Propiedad intelectual",0.0254751304614463
"2013","Propiedad intelectual",0.0302359490604286
"2014","Propiedad intelectual",0.0327875467577738
"2015","Propiedad intelectual",0.0300070680443834
"2016","Propiedad intelectual",0.0290244300119468
"2017","Propiedad intelectual",0.0483863954141289
"2018","Propiedad intelectual",0.0461854295562542
"2019","Propiedad intelectual",0.0419362068997598
"2020","Propiedad intelectual",0.0359612681574747
"2021","Propiedad intelectual",0.0305145330345151
"2022","Propiedad intelectual",0.0254370246317565
"2006","SSI",0.134202237058157
"2007","SSI",0.166798117756518
"2008","SSI",0.192137952567881
"2009","SSI",0.213074405819586
"2010","SSI",0.227099832254922
"2011","SSI",0.249106440278463
"2012","SSI",0.247005506091427
"2013","SSI",0.248030658158403
"2014","SSI",0.22855964875199
"2015","SSI",0.246283836725627
"2016","SSI",0.250812930985963
"2017","SSI",0.274210410323346
"2018","SSI",0.295131211809777
"2019","SSI",0.283030378638886
"2020","SSI",0.315797525585531
"2021","SSI",0.327057385529724
"2022","SSI",0.326149737161673
"2006","Investigación y desarrollo",0.0489055604871203
"2007","Investigación y desarrollo",0.0446845392951897
"2008","Investigación y desarrollo",0.0421999075812513
"2009","Investigación y desarrollo",0.04351174660859
"2010","Investigación y desarrollo",0.0452566589155365
"2011","Investigación y desarrollo",0.0424536063976778
"2012","Investigación y desarrollo",0.041414820363985
"2013","Investigación y desarrollo",0.0501767286017368
"2014","Investigación y desarrollo",0.0607812405486627
"2015","Investigación y desarrollo",0.0609321279376668
"2016","Investigación y desarrollo",0.0580875831998822
"2017","Investigación y desarrollo",0.0555441167273923
"2018","Investigación y desarrollo",0.0514074982644723
"2019","Investigación y desarrollo",0.0694089976316756
"2020","Investigación y desarrollo",0.0775184640199135
"2021","Investigación y desarrollo",0.0857695322489422
"2022","Investigación y desarrollo",0.0828718377823601
"2006","Servicios profesionales",0.389265300429111
"2007","Servicios profesionales",0.403977012510355
"2008","Servicios profesionales",0.379878645801515
"2009","Servicios profesionales",0.370581709185823
"2010","Servicios profesionales",0.368893518277413
"2011","Servicios profesionales",0.358766083725117
"2012","Servicios profesionales",0.374195333968068
"2013","Servicios profesionales",0.377867454189528
"2014","Servicios profesionales",0.394307521811557
"2015","Servicios profesionales",0.407584383120086
"2016","Servicios profesionales",0.366452124302913
"2017","Servicios profesionales",0.349095727052168
"2018","Servicios profesionales",0.34658509368048
"2019","Servicios profesionales",0.330483332532817
"2020","Servicios profesionales",0.332886287255778
"2021","Servicios profesionales",0.298834766054049
"2022","Servicios profesionales",0.304654825244285
"2006","Ss. arquitectura, ingeniería y otros",0.314426132730786
"2007","Ss. arquitectura, ingeniería y otros",0.277609212856066
"2008","Ss. arquitectura, ingeniería y otros",0.288263711492757
"2009","Ss. arquitectura, ingeniería y otros",0.286807639935956
"2010","Ss. arquitectura, ingeniería y otros",0.274408001986332
"2011","Ss. arquitectura, ingeniería y otros",0.271330772113335
"2012","Ss. arquitectura, ingeniería y otros",0.270528288670826
"2013","Ss. arquitectura, ingeniería y otros",0.253974820872821
"2014","Ss. arquitectura, ingeniería y otros",0.248821968506978
"2015","Ss. arquitectura, ingeniería y otros",0.215747934924121
"2016","Ss. arquitectura, ingeniería y otros",0.257416216999444
"2017","Ss. arquitectura, ingeniería y otros",0.226182018303709
"2018","Ss. arquitectura, ingeniería y otros",0.209167337396627
"2019","Ss. arquitectura, ingeniería y otros",0.228179076277998
"2020","Ss. arquitectura, ingeniería y otros",0.197119169262212
"2021","Ss. arquitectura, ingeniería y otros",0.213903172657355
"2022","Ss. arquitectura, ingeniería y otros",0.218819876578013
"2006","Ss. audiovisuales",0.0812693993540066
"2007","Ss. audiovisuales",0.07769245792463
"2008","Ss. audiovisuales",0.0741467474210784
"2009","Ss. audiovisuales",0.0617251565034585
"2010","Ss. audiovisuales",0.0540954786718126
"2011","Ss. audiovisuales",0.0530340962955785
"2012","Ss. audiovisuales",0.0413809204442477
"2013","Ss. audiovisuales",0.0397143891170823
"2014","Ss. audiovisuales",0.0347420736230384
"2015","Ss. audiovisuales",0.0394446492481163
"2016","Ss. audiovisuales",0.0382067144998508
"2017","Ss. audiovisuales",0.0465813321792562
"2018","Ss. audiovisuales",0.0515234292923888
"2019","Ss. audiovisuales",0.0469620080188636
"2020","Ss. audiovisuales",0.0407172857190915
"2021","Ss. audiovisuales",0.0439206104754139
"2022","Ss. audiovisuales",0.042066698601913
