"iso3","pais_desc","anio","estado","satisfaccion_vida"
"KAZ","Kazajstán","2018","Desocupado","6.8703704"
"LBN","Líbano","2018","Ocupado","6.7388535"
"LBN","Líbano","2018","Desocupado","5.5675673"
"LTU","Lituania","2018","Ocupado","7.1100321"
"LTU","Lituania","2018","Desocupado","5.5716524"
"LVA","Letonia","2021","Ocupado","7.1185799"
"LVA","Letonia","2021","Desocupado","5.6672239"
"LBY","Libia","2022","Ocupado","7.970623"
"LBY","Libia","2022","Desocupado","7.4827585"
"MAR","Marruecos","2021","Ocupado","6.8044443"
"MAR","Marruecos","2021","Desocupado","5.826087"
"MNE","Montenegro","2019","Ocupado","7.6351948"
"MNE","Montenegro","2019","Desocupado","7.7519073"
"MKD","Macedonia del Norte","2019","Ocupado","7.627193"
"MKD","Macedonia del Norte","2019","Desocupado","7.071795"
"MMR","Myanmar","2020","Ocupado","7.2660756"
"MMR","Myanmar","2020","Desocupado","6.5301204"
"MNG","Mongolia","2020","Ocupado","6.5541625"
"MNG","Mongolia","2020","Desocupado","6.4222097"
"MAC","Macao","2019","Ocupado","6.436214"
"MAC","Macao","2019","Desocupado","5.7037039"
"MDV","Maldivas","2021","Ocupado","7.4021888"
"MDV","Maldivas","2021","Desocupado","6.9038463"
"MEX","México","2018","Ocupado","8.1103115"
"MEX","México","2018","Desocupado","8.2468243"
"MYS","Malasia","2018","Ocupado","7.013361"
"MYS","Malasia","2018","Desocupado","6.5"
"NGA","Nigeria","2018","Ocupado","5.6187716"
"NGA","Nigeria","2018","Desocupado","5.5686002"
"NIC","Nicaragua","2020","Ocupado","8.2483664"
"NIC","Nicaragua","2020","Desocupado","7.6208334"
"NLD","Países Bajos","2017","Ocupado","7.9653158"
"NLD","Países Bajos","2017","Desocupado","7.0948734"
"NLD","Países Bajos","2022","Ocupado","7.4683218"
"NLD","Países Bajos","2022","Desocupado","6.2432432"
"NOR","Noruega","2018","Ocupado","8.1141243"
"NOR","Noruega","2018","Desocupado","6.2302699"
"NZL","Nueva Zelandia","2020","Ocupado","7.5057473"
"NZL","Nueva Zelandia","2020","Desocupado","5.8913045"
"PER","Perú","2018","Ocupado","7.7229142"
"PER","Perú","2018","Desocupado","7.433445"
"PHL","Filipinas","2019","Ocupado","7.3278823"
"PHL","Filipinas","2019","Desocupado","7.3439498"
"PAK","Pakistán","2018","Ocupado","7.7801557"
"PAK","Pakistán","2018","Desocupado","7.5346537"
"POL","Polonia","2017","Ocupado","7.7768607"
"POL","Polonia","2017","Desocupado","7.5431376"
"PRI","Puerto Rico","2018","Ocupado","8.4004526"
"PRI","Puerto Rico","2018","Desocupado","7.6033058"
"PRT","Portugal","2020","Ocupado","7.6040711"
"PRT","Portugal","2020","Desocupado","6.9970965"
"ROU","Rumania","2018","Ocupado","7.6235466"
"ROU","Rumania","2018","Desocupado","7.2122021"
"SRB","Serbia","2017","Ocupado","6.8648109"
"SRB","Serbia","2017","Desocupado","6.4844723"
"SRB","Serbia","2018","Ocupado","7.0097303"
"SRB","Serbia","2018","Desocupado","6.3078442"
"RUS","Rusia","2017","Ocupado","6.6958432"
"RUS","Rusia","2017","Desocupado","6.2200346"
"SWE","Suecia","2017","Ocupado","7.7457938"
"SWE","Suecia","2017","Desocupado","5.5689182"
"SGP","Singapur","2020","Ocupado","6.9828148"
"SGP","Singapur","2020","Desocupado","6.0067716"
"SVN","Eslovenia","2017","Ocupado","7.8319302"
"SVN","Eslovenia","2017","Desocupado","6.8929334"
"SVK","Eslovaquia","2017","Ocupado","7.5595732"
"SVK","Eslovaquia","2017","Desocupado","6.2574191"
"SVK","Eslovaquia","2022","Ocupado","7.0562139"
"SVK","Eslovaquia","2022","Desocupado","5.4650626"
"THA","Tailandia","2018","Ocupado","6.5851288"
"THA","Tailandia","2018","Desocupado","6.2256656"
"TJK","Tayikistán","2020","Ocupado","8.0510206"
"TJK","Tayikistán","2020","Desocupado","7.6798682"
"TUN","Túnez","2019","Ocupado","5.5654449"
"TUN","Túnez","2019","Desocupado","4.6126127"
"TUR","Turquía","2018","Ocupado","6.5505199"
"TUR","Turquía","2018","Desocupado","6.40625"
"UKR","Ucrania","2020","Ocupado","6.5175414"
"UKR","Ucrania","2020","Desocupado","5.5079122"
"USA","Estados Unidos","2017","Ocupado","7.2811155"
"USA","Estados Unidos","2017","Desocupado","6.2115679"
"URY","Uruguay","2022","Ocupado","8.2069845"
"URY","Uruguay","2022","Desocupado","7.7960324"
"VEN","Venezuela","2021","Ocupado","6.9844155"
"VEN","Venezuela","2021","Desocupado","6.6346154"
"VNM","Vietnam","2020","Ocupado","8.0208988"
"VNM","Vietnam","2020","Desocupado","7.7272725"
"ZWE","Zimbabwe","2020","Ocupado","5.2242312"
"ZWE","Zimbabwe","2020","Desocupado","4.6285715"
