iso3,pais,anio,tasa_formalidad_productiva,pib_per_capita_ppp,geocodigoFundar,geonombreFundar
ARG,Argentina,2022,0.599,27127.4390969333,ARG,Argentina
BOL,Bolivia,2021,0.25256346,9342.97184473106,BOL,Bolivia
BRA,Brasil,2022,0.58656589,17874.329460837,BRA,Brasil
CHL,Chile,2022,0.71120109,29691.1935886582,CHL,Chile
COL,Colombia,2021,0.41205533,17586.5239590949,COL,Colombia
CRI,Costa Rica,2022,0.64590426,24650.4890119294,CRI,Costa Rica
DOM,Dominicana,2022,0.4952495,22761.2666825432,DOM,Rep. Dominicana
ECU,Ecuador,2022,0.3211603,13530.3964209833,ECU,Ecuador
GTM,Guatemala,2014,0.36824276,10766.681964107,GTM,Guatemala
HND,Honduras,2019,0.36084682,6332.72606022443,HND,Honduras
MEX,México,2022,0.55131406,21809.5928486565,MEX,México
PAN,Panamá,2021,0.5207727,30895.8322499594,PAN,Panamá
PER,Perú,2022,0.3349019,15102.5666366898,PER,Perú
PRY,Paraguay,2021,0.38357658,15361.0847494949,PRY,Paraguay
SLV,El Salvador,2022,0.4714219,11103.4939112367,SLV,El Salvador
URY,Uruguay,2022,0.65891316,30983.6869832399,URY,Uruguay
