"anio","apertura_sexo","valor"
"1986","Mujer","0.29935172"
"1987","Mujer","0.3266845"
"1988","Mujer","0.35970965"
"1991","Mujer","0.34446335"
"1992","Mujer","0.34288558"
"1993","Mujer","0.37904537"
"1994","Mujer","0.33354384"
"1995","Mujer","0.3842088"
"1996","Mujer","0.40615654"
"1997","Mujer","0.42065844"
"1998","Mujer","0.41765898"
"1999","Mujer","0.42705461"
"2000","Mujer","0.44512588"
"2001","Mujer","0.43614876"
"2002","Mujer","0.4998422"
"2003","Mujer","0.50742114"
"2004","Mujer","0.49045798"
"2005","Mujer","0.48247126"
"2006","Mujer","0.44545284"
"2007","Mujer","0.41564175"
"2008","Mujer","0.38069913"
"2009","Mujer","0.36127448"
"2010","Mujer","0.35117772"
"2011","Mujer","0.34642789"
"2012","Mujer","0.33732244"
"2013","Mujer","0.31872791"
"2014","Mujer","0.32231703"
"2015","Mujer","0.31319907"
"2016","Mujer","0.32140806"
"2017","Mujer","0.32078046"
"2018","Mujer","0.3309997"
"2019","Mujer","0.32745188"
"2020","Mujer","0.28221256"
"2021","Mujer","0.31342158"
"1986","Varón","0.13786395"
"1987","Varón","0.15114231"
"1988","Varón","0.19459091"
"1991","Varón","0.2316339"
"1992","Varón","0.22204889"
"1993","Varón","0.23154108"
"1994","Varón","0.20904234"
"1995","Varón","0.24345087"
"1996","Varón","0.2788541"
"1997","Varón","0.29030764"
"1998","Varón","0.2971094"
"1999","Varón","0.30805808"
"2000","Varón","0.30527437"
"2001","Varón","0.31481582"
"2002","Varón","0.36580157"
"2003","Varón","0.38000378"
"2004","Varón","0.37543154"
"2005","Varón","0.3604708"
"2006","Varón","0.32720092"
"2007","Varón","0.30016726"
"2008","Varón","0.27411729"
"2009","Varón","0.27130318"
"2010","Varón","0.26383063"
"2011","Varón","0.251661"
"2012","Varón","0.2567631"
"2013","Varón","0.25657219"
"2014","Varón","0.25062507"
"2015","Varón","0.25283411"
"2016","Varón","0.26423094"
"2017","Varón","0.26293847"
"2018","Varón","0.26453105"
"2019","Varón","0.27718431"
"2020","Varón","0.25199208"
"2021","Varón","0.2585555"
"1986","Brecha","-0.16148776999999997"
"1987","Brecha","-0.17554219"
"1988","Brecha","-0.16511873999999999"
"1991","Brecha","-0.11282945"
"1992","Brecha","-0.12083669000000002"
"1993","Brecha","-0.14750428999999998"
"1994","Brecha","-0.12450149999999999"
"1995","Brecha","-0.14075793"
"1996","Brecha","-0.12730244000000002"
"1997","Brecha","-0.13035080000000004"
"1998","Brecha","-0.12054957999999999"
"1999","Brecha","-0.11899652999999999"
"2000","Brecha","-0.13985150999999996"
"2001","Brecha","-0.12133294"
"2002","Brecha","-0.13404063"
"2003","Brecha","-0.12741736000000004"
"2004","Brecha","-0.11502644000000001"
"2005","Brecha","-0.12200046000000003"
"2006","Brecha","-0.11825192000000001"
"2007","Brecha","-0.11547448999999999"
"2008","Brecha","-0.10658183999999998"
"2009","Brecha","-0.08997130000000003"
"2010","Brecha","-0.08734709000000002"
"2011","Brecha","-0.09476688999999999"
"2012","Brecha","-0.08055933999999998"
"2013","Brecha","-0.062155720000000025"
"2014","Brecha","-0.07169196"
"2015","Brecha","-0.06036496000000002"
"2016","Brecha","-0.05717711999999997"
"2017","Brecha","-0.05784199000000001"
"2018","Brecha","-0.06646865000000002"
"2019","Brecha","-0.050267569999999984"
"2020","Brecha","-0.030220479999999994"
"2021","Brecha","-0.054866079999999984"
