anio,edad,apertura_sexo,tasa_informalidad_legal
2016,18,femenino,0.945638576140111
2016,18,masculino,0.908278705038201
2016,18,total,0.919119750071502
2016,19,femenino,0.914438936366493
2016,19,masculino,0.877819601412479
2016,19,total,0.889349220079093
2016,20,femenino,0.813143984738416
2016,20,masculino,0.789510534214508
2016,20,total,0.797964195493544
2016,21,femenino,0.775637260660167
2016,21,masculino,0.720833305913296
2016,21,total,0.741332743822147
2016,22,femenino,0.711832794205255
2016,22,masculino,0.654373234846839
2016,22,total,0.676458409346488
2016,23,femenino,0.653895966776941
2016,23,masculino,0.585169683368913
2016,23,total,0.610872680271703
2016,24,femenino,0.59363780958873
2016,24,masculino,0.53432294158147
2016,24,total,0.557149830966253
2016,25,femenino,0.546376341055291
2016,25,masculino,0.507738776014873
2016,25,total,0.52250895734707
2016,26,femenino,0.470786615349246
2016,26,masculino,0.48839513161619
2016,26,total,0.481564157629741
2016,27,femenino,0.440792705537086
2016,27,masculino,0.468362988137068
2016,27,total,0.457627296438927
2016,28,femenino,0.425919600711433
2016,28,masculino,0.457731833333849
2016,28,total,0.444967135298116
2016,29,femenino,0.414011970449367
2016,29,masculino,0.432867538087307
2016,29,total,0.425161727284997
2016,30,femenino,0.385175423209148
2016,30,masculino,0.401195490670629
2016,30,total,0.394536026575091
2016,31,femenino,0.390916606702696
2016,31,masculino,0.369670247560265
2016,31,total,0.378578182259341
2016,32,femenino,0.377878375154394
2016,32,masculino,0.350003186390423
2016,32,total,0.361862150260648
2016,33,femenino,0.371615075009147
2016,33,masculino,0.329281236018055
2016,33,total,0.347750601021017
2016,34,femenino,0.346195137263446
2016,34,masculino,0.308092767917374
2016,34,total,0.325161016094868
2016,35,femenino,0.351546241586637
2016,35,masculino,0.272421317096379
2016,35,total,0.307892081023926
2016,36,femenino,0.346937138732463
2016,36,masculino,0.254184263508613
2016,36,total,0.295087340795206
2016,37,femenino,0.340463682405864
2016,37,masculino,0.247650423736244
2016,37,total,0.289400376272331
2016,38,femenino,0.322673587159513
2016,38,masculino,0.237882159877709
2016,38,total,0.27561132031213
2016,39,femenino,0.325207231034381
2016,39,masculino,0.249653250076157
2016,39,total,0.28313237289905
2016,40,femenino,0.310735781336278
2016,40,masculino,0.283159943925128
2016,40,total,0.295603180585101
2016,41,femenino,0.303838736339425
2016,41,masculino,0.27203943128526
2016,41,total,0.287256579746711
2016,42,femenino,0.307918539481716
2016,42,masculino,0.255565983660769
2016,42,total,0.280804042133395
2016,43,femenino,0.322980696041504
2016,43,masculino,0.262804492238386
2016,43,total,0.292640564468038
2016,44,femenino,0.32586701095977
2016,44,masculino,0.258312365915097
2016,44,total,0.29185302982727
2016,45,femenino,0.329626730006237
2016,45,masculino,0.238814333043253
2016,45,total,0.285012664646024
2016,46,femenino,0.324049166967935
2016,46,masculino,0.248879951861923
2016,46,total,0.286359806941579
2016,47,femenino,0.310037241894681
2016,47,masculino,0.246566121149312
2016,47,total,0.278651659299742
2016,48,femenino,0.300343794374538
2016,48,masculino,0.225221709661385
2016,48,total,0.262030822788709
2016,49,femenino,0.287919579470274
2016,49,masculino,0.200401240617542
2016,49,total,0.242815038165865
2016,50,femenino,0.276225112763889
2016,50,masculino,0.183123370509547
2016,50,total,0.227703010700393
2016,51,femenino,0.288303173207428
2016,51,masculino,0.184866789216119
2016,51,total,0.235121139750401
2016,52,femenino,0.288822487220504
2016,52,masculino,0.19270997646031
2016,52,total,0.2396497993901
2016,53,femenino,0.293762599126199
2016,53,masculino,0.218981937990446
2016,53,total,0.256441059723645
2016,54,femenino,0.292720178706626
2016,54,masculino,0.230577124706447
2016,54,total,0.262141689051681
2016,55,femenino,0.304131479078121
2016,55,masculino,0.244653831213458
2016,55,total,0.273964422907881
2016,56,femenino,0.305918914401392
2016,56,masculino,0.244368460617205
2016,56,total,0.274453517739996
2016,57,femenino,0.330475647141611
2016,57,masculino,0.23585029756329
2016,57,total,0.280615990161968
2016,58,femenino,0.316297315680413
2016,58,masculino,0.234606339910465
2016,58,total,0.27355560224316
2016,59,femenino,0.317975451423188
2016,59,masculino,0.24002422907489
2016,59,total,0.277300870156872
2016,60,femenino,0.323814312545291
2016,60,masculino,0.233970600141101
2016,60,total,0.277466531587809
2016,61,femenino,0.311386702494809
2016,61,masculino,0.232426136247783
2016,61,total,0.269769410057832
2016,62,femenino,0.317617308593324
2016,62,masculino,0.234765551874852
2016,62,total,0.272721525779804
2016,63,femenino,0.340531969116342
2016,63,masculino,0.221869899453034
2016,63,total,0.275512067573633
2016,64,femenino,0.371706300989412
2016,64,masculino,0.215229173991787
2016,64,total,0.283019435472652
2016,65,femenino,0.387306470321247
2016,65,masculino,0.218252499074417
2016,65,total,0.29238540063337
2016,66,femenino,0.438837339162875
2016,66,masculino,0.228433040397007
2016,66,total,0.318047951097572
2016,67,femenino,0.453307851225766
2016,67,masculino,0.240893938211455
2016,67,total,0.337132264388528
2016,68,femenino,0.457423184075584
2016,68,masculino,0.239054950674939
2016,68,total,0.338311781266403
2016,69,femenino,0.602248728143303
