geocodigoFundar,geonombreFundar,anio,valor,serie
CRI,Costa Rica,2017,0.23077004,Serie original
CRI,Costa Rica,2018,0.22053618,Serie original
CRI,Costa Rica,2019,0.21537034,Serie original
CRI,Costa Rica,2020,0.17380114,Serie original
CRI,Costa Rica,2021,0.20328514,Serie original
CRI,Costa Rica,2022,0.18113858,Serie original
ECU,Ecuador,2003,0.67606105,Serie original
ECU,Ecuador,2004,0.6706313,Serie original
ECU,Ecuador,2005,0.6731061,Serie original
ECU,Ecuador,2006,0.62608554,Serie original
ECU,Ecuador,2007,0.61458935,Serie original
ECU,Ecuador,2008,0.59868047,Serie original
ECU,Ecuador,2009,0.55102531,Serie original
ECU,Ecuador,2010,0.50502091,Serie original
ECU,Ecuador,2011,0.41873103,Serie original
ECU,Ecuador,2012,0.394513,Serie original
ECU,Ecuador,2013,0.39927151,Serie original
ECU,Ecuador,2014,0.37600928,Serie original
ECU,Ecuador,2015,0.36635015,Serie original
ECU,Ecuador,2016,0.37411558,Serie original
ECU,Ecuador,2017,0.39670687,Serie original
ECU,Ecuador,2018,0.40893477,Serie original
ECU,Ecuador,2019,0.4182373,Serie original
ECU,Ecuador,2020,0.46579001,Serie original
ECU,Ecuador,2021,0.47761285,Serie original
ECU,Ecuador,2022,0.4740249,Serie original
GTM,Guatemala,2000,0.65619812,Serie original
GTM,Guatemala,2006,0.62947652,Serie original
GTM,Guatemala,2011,0.69689711,Serie original
GTM,Guatemala,2014,0.71519486,Serie original
MEX,México,2016,0.64493019,Serie original
MEX,México,2018,0.62509845,Serie original
MEX,México,2020,0.61471044,Serie original
MEX,México,2022,0.6241832,Serie original
