provincia_id,provincia_nombre,anio,pbg_pc_relativo
02,Ciudad Autónoma de Buenos Aires,2004,274.4
02,Ciudad Autónoma de Buenos Aires,2005,275
02,Ciudad Autónoma de Buenos Aires,2006,278.9
02,Ciudad Autónoma de Buenos Aires,2007,285.7
02,Ciudad Autónoma de Buenos Aires,2008,289
02,Ciudad Autónoma de Buenos Aires,2009,299.4
02,Ciudad Autónoma de Buenos Aires,2010,289.3
02,Ciudad Autónoma de Buenos Aires,2011,290.8
02,Ciudad Autónoma de Buenos Aires,2012,293.5
02,Ciudad Autónoma de Buenos Aires,2013,290.1
02,Ciudad Autónoma de Buenos Aires,2014,292.1
02,Ciudad Autónoma de Buenos Aires,2015,291.2
02,Ciudad Autónoma de Buenos Aires,2016,298
02,Ciudad Autónoma de Buenos Aires,2017,299.7
02,Ciudad Autónoma de Buenos Aires,2018,306
02,Ciudad Autónoma de Buenos Aires,2019,298.9
02,Ciudad Autónoma de Buenos Aires,2020,294.7
02,Ciudad Autónoma de Buenos Aires,2021,293.3
06,Buenos Aires,2004,83.6
06,Buenos Aires,2005,83.6
06,Buenos Aires,2006,83.3
06,Buenos Aires,2007,82.5
06,Buenos Aires,2008,83.2
06,Buenos Aires,2009,82.6
06,Buenos Aires,2010,84
06,Buenos Aires,2011,84.6
06,Buenos Aires,2012,85.4
06,Buenos Aires,2013,85.1
06,Buenos Aires,2014,83.6
06,Buenos Aires,2015,83.9
06,Buenos Aires,2016,84
06,Buenos Aires,2017,83.9
06,Buenos Aires,2018,83.5
06,Buenos Aires,2019,82.7
06,Buenos Aires,2020,83.5
06,Buenos Aires,2021,84.2
10,Catamarca,2004,101.3
10,Catamarca,2005,104.6
10,Catamarca,2006,102.4
10,Catamarca,2007,97.8
10,Catamarca,2008,90.7
10,Catamarca,2009,87.8
10,Catamarca,2010,81.7
10,Catamarca,2011,77.1
10,Catamarca,2012,80
10,Catamarca,2013,74.9
10,Catamarca,2014,78.7
10,Catamarca,2015,69.4
10,Catamarca,2016,71
10,Catamarca,2017,68.3
10,Catamarca,2018,67
10,Catamarca,2019,61.7
10,Catamarca,2020,61.7
10,Catamarca,2021,65.1
14,Córdoba,2004,93.5
14,Córdoba,2005,99.9
14,Córdoba,2006,98.8
14,Córdoba,2007,103.9
14,Córdoba,2008,102.8
14,Córdoba,2009,99.3
14,Córdoba,2010,102.1
14,Córdoba,2011,101.2
14,Córdoba,2012,98
14,Córdoba,2013,103
14,Córdoba,2014,103.5
14,Córdoba,2015,104.7
14,Córdoba,2016,105.4
14,Córdoba,2017,104.9
14,Córdoba,2018,100.6
14,Córdoba,2019,104.7
14,Córdoba,2020,103.3
14,Córdoba,2021,104.7
18,Corrientes,2004,45.6
18,Corrientes,2005,47.5
18,Corrientes,2006,46.6
18,Corrientes,2007,46.1
18,Corrientes,2008,46.5
18,Corrientes,2009,48
18,Corrientes,2010,46.2
18,Corrientes,2011,48.2
18,Corrientes,2012,49.2
18,Corrientes,2013,49.4
18,Corrientes,2014,50.6
18,Corrientes,2015,50.6
18,Corrientes,2016,50.8
18,Corrientes,2017,51.9
18,Corrientes,2018,54
18,Corrientes,2019,53
18,Corrientes,2020,53.8
18,Corrientes,2021,53.3
22,Chaco,2004,50.4
22,Chaco,2005,51.7
22,Chaco,2006,52.9
22,Chaco,2007,53.5
22,Chaco,2008,54.6
22,Chaco,2009,55.3
22,Chaco,2010,56.8
22,Chaco,2011,59.5
22,Chaco,2012,55
22,Chaco,2013,56.5
22,Chaco,2014,62.1
22,Chaco,2015,59.8
22,Chaco,2016,60.4
22,Chaco,2017,61.2
22,Chaco,2018,62
22,Chaco,2019,59.6
22,Chaco,2020,62.2
22,Chaco,2021,59.9
26,Chubut,2004,196.6
26,Chubut,2005,185.8
26,Chubut,2006,188.5
26,Chubut,2007,175.8
26,Chubut,2008,169.4
26,Chubut,2009,168.2
26,Chubut,2010,161.7
26,Chubut,2011,158.1
26,Chubut,2012,153.3
26,Chubut,2013,153.4
26,Chubut,2014,159
26,Chubut,2015,154.9
26,Chubut,2016,151.2
26,Chubut,2017,150.3
26,Chubut,2018,152.6
26,Chubut,2019,156
26,Chubut,2020,153.7
26,Chubut,2021,143.9
30,Entre Ríos,2004,80.2
30,Entre Ríos,2005,82.7
30,Entre Ríos,2006,82.2
30,Entre Ríos,2007,84.4
30,Entre Ríos,2008,83.7
30,Entre Ríos,2009,82.3
30,Entre Ríos,2010,86.3
30,Entre Ríos,2011,85.8
30,Entre Ríos,2012,86.7
30,Entre Ríos,2013,87.8
30,Entre Ríos,2014,88.2
30,Entre Ríos,2015,89
30,Entre Ríos,2016,86.8
30,Entre Ríos,2017,88.9
30,Entre Ríos,2018,87.8
30,Entre Ríos,2019,90.7
30,Entre Ríos,2020,94
30,Entre Ríos,2021,90.8
34,Formosa,2004,40.8
34,Formosa,2005,42.2
34,Formosa,2006,41.9
34,Formosa,2007,41.9
34,Formosa,2008,40.2
34,Formosa,2009,42.6
34,Formosa,2010,40.7
34,Formosa,2011,42.1
34,Formosa,2012,42.8
34,Formosa,2013,43
34,Formosa,2014,43.3
34,Formosa,2015,44.7
34,Formosa,2016,45.6
34,Formosa,2017,45.7
34,Formosa,2018,46.8
34,Formosa,2019,44.8
34,Formosa,2020,46.4
34,Formosa,2021,46.5
38,Jujuy,2004,52.7
38,Jujuy,2005,50.9
38,Jujuy,2006,50.3
38,Jujuy,2007,50.4
38,Jujuy,2008,50.9
38,Jujuy,2009,53.4
38,Jujuy,2010,53.6
38,Jujuy,2011,53.4
38,Jujuy,2012,55.4
38,Jujuy,2013,54.3
38,Jujuy,2014,55.7
38,Jujuy,2015,56.7
38,Jujuy,2016,55.8
38,Jujuy,2017,56
38,Jujuy,2018,56.8
38,Jujuy,2019,58.4
38,Jujuy,2020,58.8
38,Jujuy,2021,60.1
42,La Pampa,2004,113.6
42,La Pampa,2005,125.6
42,La Pampa,2006,117.3
42,La Pampa,2007,122
42,La Pampa,2008,127.3
42,La Pampa,2009,125.4
42,La Pampa,2010,122.2
42,La Pampa,2011,124.2
42,La Pampa,2012,126.2
42,La Pampa,2013,124.9
42,La Pampa,2014,121.4
42,La Pampa,2015,124.8
42,La Pampa,2016,132.3
42,La Pampa,2017,125.4
42,La Pampa,2018,126.9
42,La Pampa,2019,132.2
42,La Pampa,2020,132
42,La Pampa,2021,129.4
46,La Rioja,2004,75.2
46,La Rioja,2005,73.9
46,La Rioja,2006,71.6
46,La Rioja,2007,72.4
46,La Rioja,2008,68.4
46,La Rioja,2009,69.5
46,La Rioja,2010,69.5
46,La Rioja,2011,69.3
46,La Rioja,2012,67.5
46,La Rioja,2013,68.9
46,La Rioja,2014,67.5
46,La Rioja,2015,67
46,La Rioja,2016,67.3
46,La Rioja,2017,67.5
46,La Rioja,2018,66.7
46,La Rioja,2019,65.8
46,La Rioja,2020,64.4
46,La Rioja,2021,64.1
50,Mendoza,2004,90.8
50,Mendoza,2005,86.1
50,Mendoza,2006,87.9
50,Mendoza,2007,86.5
50,Mendoza,2008,86.5
50,Mendoza,2009,86.5
50,Mendoza,2010,82.2
50,Mendoza,2011,82.3
50,Mendoza,2012,84
50,Mendoza,2013,82.7
50,Mendoza,2014,82
50,Mendoza,2015,82.6
50,Mendoza,2016,80.4
50,Mendoza,2017,79.2
50,Mendoza,2018,81.3
50,Mendoza,2019,81.5
50,Mendoza,2020,78.7
50,Mendoza,2021,76.1
54,Misiones,2004,48.7
54,Misiones,2005,47.4
54,Misiones,2006,46.4
54,Misiones,2007,44.8
54,Misiones,2008,42.7
54,Misiones,2009,42.9
54,Misiones,2010,42.1
54,Misiones,2011,42.4
54,Misiones,2012,43.4
54,Misiones,2013,44.3
54,Misiones,2014,45.4
54,Misiones,2015,45.4
54,Misiones,2016,45.2
54,Misiones,2017,45.1
54,Misiones,2018,45.6
54,Misiones,2019,45.1
54,Misiones,2020,47.8
54,Misiones,2021,48.5
58,Neuquén,2004,242.4
58,Neuquén,2005,217.3
58,Neuquén,2006,207
58,Neuquén,2007,194.6
58,Neuquén,2008,187.1
58,Neuquén,2009,187.3
58,Neuquén,2010,169.5
58,Neuquén,2011,159.9
58,Neuquén,2012,154.9
58,Neuquén,2013,150.6
58,Neuquén,2014,158.1
58,Neuquén,2015,161.4
58,Neuquén,2016,161.4
58,Neuquén,2017,155.7
58,Neuquén,2018,169.1
58,Neuquén,2019,187
58,Neuquén,2020,191.2
58,Neuquén,2021,203
62,Río Negro,2004,91.7
62,Río Negro,2005,91.6
62,Río Negro,2006,92.9
62,Río Negro,2007,89.7
62,Río Negro,2008,87.8
62,Río Negro,2009,89.8
62,Río Negro,2010,86.1
62,Río Negro,2011,87.4
62,Río Negro,2012,90
62,Río Negro,2013,90.6
62,Río Negro,2014,90
62,Río Negro,2015,90
62,Río Negro,2016,89.1
62,Río Negro,2017,87.6
62,Río Negro,2018,90.2
62,Río Negro,2019,89.9
62,Río Negro,2020,89.5
