provincia_id,provincia_nombre,region_pbg,pib_pc_1895,pib_pc_ultimo_anio,var_pib_pc_1895_ultimo_anio,geocodigoFundar,geonombreFundar
AR-B,Buenos Aires,Pampeana y AMBA,4413.34341,10992.37653,1.49071407067324,AR-B,Buenos Aires
AR-C,CABA,Pampeana y AMBA,5742.60588,38668.75831,5.73366048759731,AR-C,CABA
AR-K,Catamarca,NOA,1889.41266,8957.72395,3.74100980671951,AR-K,Catamarca
AR-H,Chaco,NEA,4941.03423,8023.28456,0.623806714652126,AR-H,Chaco
AR-U,Chubut,Patagonia,3297.75755,18094.6024,4.48694139143128,AR-U,Chubut
AR-W,Corrientes,NEA,2564.34488,6726.50244,1.62308806138432,AR-W,Corrientes
AR-X,Córdoba,Pampeana y AMBA,3369.28968,13393.02815,2.97503017609338,AR-X,Córdoba
AR-E,Entre Ríos,Pampeana y AMBA,4075.34688,11892.11231,1.91806137248371,AR-E,Entre Ríos
AR-P,Formosa,NEA,5685.80886,6253.86289,0.0999073384257241,AR-P,Formosa
AR-Y,Jujuy,NOA,2779.51434,8287.45997,1.98162159148997,AR-Y,Jujuy
AR-L,La Pampa,Pampeana y AMBA,4359.61743,17582.17733,3.03296335339223,AR-L,La Pampa
AR-F,La Rioja,NOA,2062.96128,8632.76208,3.18464571472713,AR-F,La Rioja
AR-M,Mendoza,Cuyo,5156.45967,9680.16432,0.87728886474545,AR-M,Mendoza
AR-N,Misiones,NEA,3429.42574,6252.98695,0.823333532803075,AR-N,Misiones
AR-Q,Neuquén,Patagonia,1710.28623,30843.63685,17.0341958608882,AR-Q,Neuquén
AR-R,Río Negro,Patagonia,3503.49322,11161.17197,2.18572672162899,AR-R,Río Negro
AR-A,Salta,NOA,2596.81464,7732.8822,1.9778337201611,AR-A,Salta
AR-J,San Juan,Cuyo,5437.49213,9844.83211,0.810546456827699,AR-J,San Juan
AR-D,San Luis,Cuyo,2038.31491,11938.00094,4.85679910470752,AR-D,San Luis
AR-Z,Santa Cruz,Patagonia,8466.4488,22325.11275,1.63689219380858,AR-Z,Santa Cruz
AR-S,Santa Fe,Pampeana y AMBA,5771.17051,13161.90521,1.28063010565945,AR-S,Santa Fe
AR-G,Santiago del Estero,NOA,1939.35991,10948.16029,4.64524420327942,AR-G,Santiago del Estero
AR-V,Tierra del Fuego,Patagonia,7198.15244,32134.69137,3.46429714261511,AR-V,Tierra del Fuego
AR-T,Tucumán,NOA,5370.25345,6837.37107,0.273193366692963,AR-T,Tucumán
