iso3,pais_nombre,ranking_pib,ranking_pib_pc,geocodigoFundar,geonombreFundar
AFG,Afganistán,127,187,AFG,Afganistán
ALB,Albania,113,87,ALB,Albania
DZA,Argelia,53,114,DZA,Argelia
AND,Andorra,157,24,AND,Andorra
AGO,Angola,73,144,AGO,Angola
ATG,Antigua y Barbuda,171,56,ATG,Antigua y Barbuda
ARG,Argentina,22,67,ARG,Argentina
ARM,Armenia,112,90,ARM,Armenia
ABW,Aruba,158,32,ABW,Aruba
AUS,Australia,13,11,AUS,Australia
AUT,Austria,29,13,AUT,Austria
AZE,Azerbaiyán,83,97,AZE,Azerbaiyán
BHS,Bahamas,137,31,BHS,Bahamas
BHR,Bahrein,93,43,BHR,Bahrein
BGD,Bangladesh,32,139,BGD,Bangladesh
BRB,Barbados,150,47,BRB,Barbados
BLR,Belarús,84,92,BLR,Belarús
BEL,Bélgica,23,15,BEL,Bélgica
BLZ,Belice,161,95,BLZ,Belice
BEN,Benin,121,161,BEN,Benin
BOL,Bolivia,94,128,BOL,Bolivia
BIH,Bosnia y Herzegovina,110,85,BIH,Bosnia y Herzegovina
BWA,Botswana,123,93,BWA,Botswana
BRA,Brasil,9,83,BRA,Brasil
BRN,Brunei Darussalam,135,37,BRN,Brunei
BGR,Bulgaria,69,66,BGR,Bulgaria
BFA,Burkina Faso,119,175,BFA,Burkina Faso
BDI,Burundi,162,188,BDI,Burundi
CPV,Cabo Verde,164,117,CPV,Cabo Verde
KHM,Camboya,97,143,KHM,Camboya
CMR,Camerún,90,154,CMR,Camerún
CAN,Canadá,10,17,CAN,Canadá
CAF,República Centroafricana,163,186,CAF,Rep. Centroafricana
TCD,Chad,140,179,TCD,Chad
CHL,Chile,46,63,CHL,Chile
CHN,China,2,74,CHN,China
COL,Colombia,42,98,COL,Colombia
COM,Comoras,175,158,COM,Comoras
COD,República Democrática del Congo,87,181,COD,Rep. Dem. Congo
COG,Congo,134,142,COG,Congo
CRI,Costa Rica,71,64,CRI,Costa Rica
CIV,Costa de Marfil,80,140,CIV,Costa de Marfil
HRV,Croacia,74,55,HRV,Croacia
CUW,Curazao,160,52,CUW,Curazao
CYP,Chipre,104,30,CYP,Chipre
CZE,Chequia,44,40,CZE,Chequia
DNK,Dinamarca,35,10,DNK,Dinamarca
DJI,Djibouti,156,130,DJI,Djibouti
DMA,Dominica,182,84,DMA,Dominica
DOM,República Dominicana,62,81,DOM,Rep. Dominicana
ECU,Ecuador,63,103,ECU,Ecuador
EGY,Egipto,38,132,EGY,Egipto
SLV,El Salvador,103,113,SLV,El Salvador
GNQ,Guinea Ecuatorial,143,102,GNQ,Guinea Ecuatorial
EST,Estonia,99,42,EST,Estonia
SWZ,Eswatini,154,129,SWZ,Eswatini
ETH,Etiopía,59,165,ETH,Etiopía
FJI,Fiji,153,108,FJI,Fiji
FIN,Finlandia,47,18,FIN,Finlandia
FRA,Francia,7,25,FRA,Francia
GAB,Gabón,124,94,GAB,Gabón
GMB,Gambia,166,174,GMB,Gambia
GEO,Georgia,107,88,GEO,Georgia
DEU,Alemania,3,16,DEU,Alemania
GHA,Ghana,82,145,GHA,Ghana
GRC,Grecia,54,48,GRC,Grecia
GRD,Granada,176,80,GRD,Granada
GTM,Guatemala,68,110,GTM,Guatemala
GIN,Guinea,115,159,GIN,Guinea
GNB,Guinea-Bissau,170,172,GNB,Guinea-Bissau
GUY,Guyana,128,58,GUY,Guyana
HTI,Haití,120,156,HTI,Haití
HND,Honduras,102,134,HND,Honduras
HKG,Hong Kong,39,20,HKG,Hong Kong
HUN,Hungría,56,53,HUN,Hungría
ISL,Islandia,105,9,ISL,Islandia
IND,India,5,141,IND,India
IDN,Indonesia,16,116,IDN,Indonesia
IRN,Irán,36,118,IRN,Irán
IRQ,Iraq,52,111,IRQ,Iraq
IRL,Irlanda,25,3,IRL,Irlanda
ISR,Israel,28,19,ISR,Israel
ITA,Italia,8,27,ITA,Italia
JAM,Jamaica,122,99,JAM,Jamaica
JPN,Japón,4,33,JPN,Japón
JOR,Jordania,89,119,JOR,Jordania
KAZ,Kazajstán,50,73,KAZ,Kazajstán
KEN,Kenia,67,153,KEN,Kenia
KIR,Kiribati,185,149,KIR,Kiribati
KOR,Corea del Sur,14,36,KOR,Corea del Sur
KWT,Kuwait,58,34,KWT,Kuwait
KGZ,Kirguistán,139,152,KGZ,Kirguistán
LAO,Lao,131,150,LAO,Laos
LVA,Letonia,98,51,LVA,Letonia
LSO,Lesotho,168,173,LSO,Lesotho
LBR,Liberia,155,177,LBR,Liberia
LBY,Libia,95,106,LBY,Libia
LTU,Lituania,78,44,LTU,Lituania
LUX,Luxemburgo,72,2,LUX,Luxemburgo
MDG,Madagascar,132,185,MDG,Madagascar
MWI,Malawi,141,183,MWI,Malawi
MYS,Malasia,37,79,MYS,Malasia
MDV,Maldivas,151,75,MDV,Maldivas
MLI,Malí,117,176,MLI,Malí
MLT,Malta,114,26,MLT,Malta
MHL,Islas Marshall,186,101,MHL,Islas Marshall
MRT,Mauritania,146,148,MRT,Mauritania
MUS,Mauricio,136,78,MUS,Mauricio
MEX,México,12,69,MEX,México
FSM,Micronesia,183,123,FSM,Micronesia
MDA,Moldavia,130,100,MDA,Moldavia
MCO,Mónaco,147,1,MCO,Mónaco
MNG,Mongolia,118,109,MNG,Mongolia
MNE,Montenegro,149,77,MNE,Montenegro
MAR,Marruecos,60,127,MAR,Marruecos
MOZ,Mozambique,116,182,MOZ,Mozambique
MMR,Myanmar,86,166,MMR,Myanmar
NAM,Namibia,142,122,NAM,Namibia
NRU,Nauru,187,72,NRU,Nauru
NPL,Nepal,100,162,NPL,Nepal
NLD,Países Bajos,17,12,NLD,Países Bajos
NZL,Nueva Zelanda,51,23,NZL,Nueva Zelanda
NIC,Nicaragua,125,138,NIC,Nicaragua
NER,Níger,129,180,NER,Níger
NGA,Nigeria,41,157,NGA,Nigeria
