"geocodigoFundar","geonombreFundar","anio","vab_pb","region","participacion"
"AR-B","Buenos Aires","2004","131865.78664","Pampeana y AMBA","0.31996"
"AR-B","Buenos Aires","2005","144239.00162","Pampeana y AMBA","0.32042"
"AR-B","Buenos Aires","2006","154667.80398","Pampeana y AMBA","0.31936"
"AR-B","Buenos Aires","2007","165764.35420","Pampeana y AMBA","0.31683"
"AR-B","Buenos Aires","2008","173660.63063","Pampeana y AMBA","0.31998"
"AR-B","Buenos Aires","2009","162677.77800","Pampeana y AMBA","0.31801"
"AR-B","Buenos Aires","2010","182196.42175","Pampeana y AMBA","0.32380"
"AR-B","Buenos Aires","2011","193596.88392","Pampeana y AMBA","0.32634"
"AR-B","Buenos Aires","2012","192649.04101","Pampeana y AMBA","0.32942"
"AR-B","Buenos Aires","2013","196324.76103","Pampeana y AMBA","0.32848"
"AR-B","Buenos Aires","2014","189466.13557","Pampeana y AMBA","0.32286"
"AR-B","Buenos Aires","2015","195435.29208","Pampeana y AMBA","0.32430"
"AR-B","Buenos Aires","2016","191324.34406","Pampeana y AMBA","0.32467"
"AR-B","Buenos Aires","2017","196195.45457","Pampeana y AMBA","0.32456"
"AR-B","Buenos Aires","2018","189876.09387","Pampeana y AMBA","0.32278"
"AR-B","Buenos Aires","2019","185100.14871","Pampeana y AMBA","0.31981"
"AR-B","Buenos Aires","2020","167866.00714","Pampeana y AMBA","0.32192"
"AR-B","Buenos Aires","2021","186661.14159","Pampeana y AMBA","0.32408"
"AR-B","Buenos Aires","2022","196714.60262","Pampeana y AMBA","0.32504"
"AR-B","Buenos Aires","2023","193076.17531","Pampeana y AMBA","0.32409"
"AR-C","CABA","2004","85706.93900","Pampeana y AMBA","0.20796"
"AR-C","CABA","2005","93498.59366","Pampeana y AMBA","0.20770"
"AR-C","CABA","2006","101670.21287","Pampeana y AMBA","0.20993"
"AR-C","CABA","2007","112133.30308","Pampeana y AMBA","0.21432"
"AR-C","CABA","2008","117261.87111","Pampeana y AMBA","0.21606"
"AR-C","CABA","2009","114087.17857","Pampeana y AMBA","0.22302"
"AR-C","CABA","2010","120846.76538","Pampeana y AMBA","0.21477"
"AR-C","CABA","2011","126825.75799","Pampeana y AMBA","0.21379"
"AR-C","CABA","2012","124949.91986","Pampeana y AMBA","0.21366"
"AR-C","CABA","2013","125041.89658","Pampeana y AMBA","0.20921"
"AR-C","CABA","2014","122464.18037","Pampeana y AMBA","0.20869"
