"anio","iso3","pib_per_capita","cambio_relativo"
"1974","ARG","13284","1.8985380754964"
"1975","ARG","12946","1.82478725725507"
"1976","ARG","12696","1.77023783547894"
"1977","ARG","13236","1.88806458651538"
"1978","ARG","12444","1.71525201832861"
"1979","ARG","13114","1.86144446868863"
"1980","ARG","13080","1.85402574732708"
"1981","ARG","12125","1.64564695614227"
"1982","ARG","11550","1.52018328605717"
"1983","ARG","11775","1.56927776565568"
"1984","ARG","11837","1.58280602225616"
"1985","ARG","10895","1.37726380100371"
"1986","ARG","11515","1.51254636700851"
"1987","ARG","11633","1.53829369408684"
"1988","ARG","11244","1.45341479380319"
"1989","ARG","10393","1.26772856207724"
"1990","ARG","10254","1.23739908356971"
"1991","ARG","11223.9846365402","1.44904748778971"
"1992","ARG","12267.0835867812","1.67664926615343"
"1993","ARG","12926.7946652176","1.8205966976255"
"1994","ARG","13571.379431201","1.96124360270587"
"1995","ARG","13086.0364515543","1.85534288709455"
"1996","ARG","13715.2268187077","1.99263076995587"
"1997","ARG","14722.6459400365","2.21244729217467"
"1998","ARG","15185.9586884861","2.31354106229242"
"1999","ARG","14577.8322730293","2.18084928497258"
"2000","ARG","14368.9427373623","2.1352700714297"
"2001","ARG","13651.980987935","1.97883067596226"
"2002","ARG","12094.7728377935","1.63905145926107"
"2003","ARG","13088.5650108326","1.85589461288077"
"2004","ARG","14183.225137777","2.09474692074558"
"2005","ARG","15344.1571340567","2.34805959721945"
"2006","ARG","16490.4735815761","2.59818319475804"
"2007","ARG","17891.9434108489","2.90398067005213"
"2008","ARG","18520.3040835795","3.04108751550937"
"2009","ARG","17328.97575242","2.7811424290683"
"2010","ARG","18979.9917029921","3.14139029085578"
"2011","ARG","20003","3.36460833515165"
"2012","ARG","19573.9631854518","3.27099349453453"
"2013","ARG","19821.6424799123","3.3250365437295"
"2014","ARG","19112.2329000231","3.17024501418788"
"2015","ARG","19423.6669777037","3.23819920962332"
"2016","ARG","18819.6428869525","3.10640255006601"
"2017","ARG","19150.5204834216","3.17859927633026"
"2018","ARG","18460.8690085816","3.02811891961195"
"2019","ARG","17912.6357651773","2.90849569390733"
"2020","ARG","15975.8387725535","2.48589106972584"
"2021","ARG","17470.6824151873","2.81206249513142"
"2022","ARG","18292.3178246598","2.99134144112149"
"1900","AUS","6397","0"
"1901","AUS","6119","-0.0434578708769736"
"1902","AUS","6094","-0.0473659527903705"
"1903","AUS","6497","0.0156323276535877"
"1904","AUS","6846","0.0701891511646084"
"1905","AUS","6825","0.0669063623573549"
"1906","AUS","7184","0.123026418633735"
"1907","AUS","7358","0.150226668750977"
"1908","AUS","7481","0.16945443176489"
"1909","AUS","7940","0.241206815694857"
"1910","AUS","8305","0.298264811630452"
"1911","AUS","8136","0.271846177895889"
"1912","AUS","8126","0.27028294513053"
"1913","AUS","8220","0.284977333124902"
"1914","AUS","8013","0.252618414881976"
"1915","AUS","7806","0.22025949663905"
"1916","AUS","7775","0.215413475066437"
"1917","AUS","7637","0.193840862904487"
"1918","AUS","7336","0.146787556667188"
"1919","AUS","7517","0.175082069720181"
"1920","AUS","7597","0.187587931843051"
"1921","AUS","7828","0.223698608722839"
"1922","AUS","8072","0.261841488197593"
"1923","AUS","8276","0.293731436610911"
"1924","AUS","8635","0.349851492887291"
"1925","AUS","8851","0.38361732061904"
"1926","AUS","8883","0.388619665468188"
"1927","AUS","8837","0.381428794747538"
"1928","AUS","8690","0.358449273096764"
"1929","AUS","8389","0.311395966859465"
"1930","AUS","7504","0.173049867125215"
"1931","AUS","6940","0.0848835391589808"
"1932","AUS","7275","0.137251836798499"
"1933","AUS","7718","0.206503048303893"
"1934","AUS","8066","0.260903548538377"
"1935","AUS","8477","0.325152415194623"
"1936","AUS","8792","0.374394247303423"
"1937","AUS","9159","0.43176488979209"
"1938","AUS","9382","0.46662498045959"
"1939","AUS","9318","0.456620290761294"
"1940","AUS","9828","0.536345161794591"
"1941","AUS","10820","0.69141785211818"
"1942","AUS","11963","0.870095357198687"
"1943","AUS","12278","0.919337189307488"
"1944","AUS","11735","0.834453650148507"
"1945","AUS","11026","0.723620447084571"
"1946","AUS","10512","0.64327028294513"
"1947","AUS","10622","0.660465843364077"
"1948","AUS","11105","0.735969985930905"
"1949","AUS","11536","0.803345318117868"
"1950","AUS","11815","0.846959512271377"
"1951","AUS","11966","0.870564327028295"
"1952","AUS","11824","0.8483664217602"
"1953","AUS","11963","0.870095357198687"
"1954","AUS","12419","0.941378771299046"
"1955","AUS","12795","1.00015632327654"
"1956","AUS","12924","1.02032202594966"
"1957","AUS","12895","1.01578865093012"
"1958","AUS","13238","1.06940753478193"
"1959","AUS","13753","1.14991402219791"
"1960","AUS","14013","1.19055807409723"
"1961","AUS","13793","1.15616695325934"
"1962","AUS","14389","1.24933562607472"
"1963","AUS","14983","1.34219165233703"
"1964","AUS","15699","1.45411911833672"
"1965","AUS","16182","1.52962326090355"
"1966","AUS","16324","1.55182116617164"
"1967","AUS","17108","1.67437861497577"
"1968","AUS","17770","1.77786462404252"
"1969","AUS","18428","1.88072534000313"
"1970","AUS","19166","1.9960919180866"
"1971","AUS","19590","2.06237298733781"
"1972","AUS","19772","2.09082382366734"
"1973","AUS","20527","2.20884789745193"
"1974","AUS","20698","2.23557917773957"
"1975","AUS","20993","2.28169454431765"
"1976","AUS","21613","2.37861497576989"
"1977","AUS","21592","2.37533218696264"
"1978","AUS","21948","2.43098327340941"
"1979","AUS","22826","2.56823511020791"
"1980","AUS","22972","2.59105830858215"
"1981","AUS","23368","2.65296232609035"
"1982","AUS","22972","2.59105830858215"
"1983","AUS","22697","2.54806940753478"
"1984","AUS","24009","2.75316554634985"
"1985","AUS","24927","2.89667031420979"
"1986","AUS","25116","2.92621541347507"
"1987","AUS","25971","3.05987181491324"
"1988","AUS","26702","3.17414413006097"
"1989","AUS","27407","3.28435204001876"
"1990","AUS","27373","3.27903704861654"
