"geocodigoFundar","geonombreFundar","region_pbg","anio","pib_pc"
"AR-A","Salta","NOA","2023","7865.59052"
"AR-J","San Juan","Cuyo","1895","5437.49213"
"AR-J","San Juan","Cuyo","1914","3026.87602"
"AR-J","San Juan","Cuyo","1937","2712.43787"
"AR-J","San Juan","Cuyo","1946","5345.88215"
"AR-J","San Juan","Cuyo","1953","4676.90558"
"AR-J","San Juan","Cuyo","1965","6278.26186"
"AR-J","San Juan","Cuyo","1975","6563.07222"
"AR-J","San Juan","Cuyo","1986","5826.41319"
"AR-J","San Juan","Cuyo","1993","7212.74986"
"AR-J","San Juan","Cuyo","2004","7371.64507"
"AR-J","San Juan","Cuyo","2005","7994.50590"
"AR-J","San Juan","Cuyo","2006","8839.34215"
"AR-J","San Juan","Cuyo","2007","9310.63790"
"AR-J","San Juan","Cuyo","2008","9839.24443"
"AR-J","San Juan","Cuyo","2009","9825.79264"
"AR-J","San Juan","Cuyo","2010","11317.32875"
"AR-J","San Juan","Cuyo","2011","11767.43930"
"AR-J","San Juan","Cuyo","2012","11727.88284"
"AR-J","San Juan","Cuyo","2013","11875.05981"
"AR-J","San Juan","Cuyo","2014","11172.70180"
"AR-J","San Juan","Cuyo","2015","10678.05637"
"AR-J","San Juan","Cuyo","2016","10052.42173"
"AR-J","San Juan","Cuyo","2017","10168.47108"
"AR-J","San Juan","Cuyo","2018","9907.37572"
"AR-J","San Juan","Cuyo","2019","9500.02974"
"AR-J","San Juan","Cuyo","2020","8447.28454"
"AR-J","San Juan","Cuyo","2021","9326.01280"
"AR-J","San Juan","Cuyo","2022","9834.16903"
"AR-J","San Juan","Cuyo","2023","9605.58668"
"AR-D","San Luis","Cuyo","1895","2038.31491"
"AR-D","San Luis","Cuyo","1914","4159.36678"
"AR-D","San Luis","Cuyo","1937","2736.41870"
"AR-D","San Luis","Cuyo","1946","2936.83971"
"AR-D","San Luis","Cuyo","1953","3563.16973"
"AR-D","San Luis","Cuyo","1965","5633.57156"
"AR-D","San Luis","Cuyo","1975","6189.56132"
"AR-D","San Luis","Cuyo","1986","12810.42411"
"AR-D","San Luis","Cuyo","1993","11749.57121"
"AR-D","San Luis","Cuyo","2004","11350.98644"
"AR-D","San Luis","Cuyo","2005","11872.54939"
"AR-D","San Luis","Cuyo","2006","12044.47086"
"AR-D","San Luis","Cuyo","2007","12611.85738"
"AR-D","San Luis","Cuyo","2008","12811.66709"
"AR-D","San Luis","Cuyo","2009","11921.77206"
"AR-D","San Luis","Cuyo","2010","12519.96307"
"AR-D","San Luis","Cuyo","2011","13107.38134"
"AR-D","San Luis","Cuyo","2012","12735.21740"
"AR-D","San Luis","Cuyo","2013","13441.48316"
"AR-D","San Luis","Cuyo","2014","12949.90117"
"AR-D","San Luis","Cuyo","2015","13492.32115"
"AR-D","San Luis","Cuyo","2016","12895.25581"
"AR-D","San Luis","Cuyo","2017","12899.68884"
"AR-D","San Luis","Cuyo","2018","12030.71718"
"AR-D","San Luis","Cuyo","2019","11584.90877"
"AR-D","San Luis","Cuyo","2020","9977.18065"
"AR-D","San Luis","Cuyo","2021","11601.27307"
"AR-D","San Luis","Cuyo","2022","11970.81464"
"AR-D","San Luis","Cuyo","2023","11526.51127"
"AR-Z","Santa Cruz","Patagonia","1895","8466.44880"
"AR-Z","Santa Cruz","Patagonia","1914","9698.61156"
"AR-Z","Santa Cruz","Patagonia","1937","10114.85409"
"AR-Z","Santa Cruz","Patagonia","1946","10881.14391"
"AR-Z","Santa Cruz","Patagonia","1953","12206.12789"
"AR-Z","Santa Cruz","Patagonia","1965","26217.09621"
"AR-Z","Santa Cruz","Patagonia","1975","18643.63121"
"AR-Z","Santa Cruz","Patagonia","1986","16595.34950"
"AR-Z","Santa Cruz","Patagonia","1993","20690.85050"
"AR-Z","Santa Cruz","Patagonia","2004","33584.13379"
"AR-Z","Santa Cruz","Patagonia","2005","33059.21807"
"AR-Z","Santa Cruz","Patagonia","2006","34649.38155"
"AR-Z","Santa Cruz","Patagonia","2007","33417.98162"
"AR-Z","Santa Cruz","Patagonia","2008","32228.90049"
"AR-Z","Santa Cruz","Patagonia","2009","31755.14954"
"AR-Z","Santa Cruz","Patagonia","2010","31291.63574"
"AR-Z","Santa Cruz","Patagonia","2011","30234.82518"
"AR-Z","Santa Cruz","Patagonia","2012","31411.31470"
"AR-Z","Santa Cruz","Patagonia","2013","30812.74352"
"AR-Z","Santa Cruz","Patagonia","2014","30297.19808"
"AR-Z","Santa Cruz","Patagonia","2015","32177.53877"
"AR-Z","Santa Cruz","Patagonia","2016","28936.03980"
"AR-Z","Santa Cruz","Patagonia","2017","27517.89039"
"AR-Z","Santa Cruz","Patagonia","2018","26439.19987"
"AR-Z","Santa Cruz","Patagonia","2019","25218.91695"
"AR-Z","Santa Cruz","Patagonia","2020","21285.66450"
"AR-Z","Santa Cruz","Patagonia","2021","22078.71386"
"AR-Z","Santa Cruz","Patagonia","2022","21902.14481"
"AR-Z","Santa Cruz","Patagonia","2023","21402.75301"
"AR-S","Santa Fe","Pampeana y AMBA","1895","5771.17051"
"AR-S","Santa Fe","Pampeana y AMBA","1914","4777.40833"
"AR-S","Santa Fe","Pampeana y AMBA","1937","5782.43114"
"AR-S","Santa Fe","Pampeana y AMBA","1946","5441.01043"
"AR-S","Santa Fe","Pampeana y AMBA","1953","5724.78560"
"AR-S","Santa Fe","Pampeana y AMBA","1965","8234.58757"
"AR-S","Santa Fe","Pampeana y AMBA","1975","9580.58683"
"AR-S","Santa Fe","Pampeana y AMBA","1986","8744.97133"
"AR-S","Santa Fe","Pampeana y AMBA","1993","9125.51888"
"AR-S","Santa Fe","Pampeana y AMBA","2004","11094.16504"
"AR-S","Santa Fe","Pampeana y AMBA","2005","12207.95602"
"AR-S","Santa Fe","Pampeana y AMBA","2006","12749.55543"
"AR-S","Santa Fe","Pampeana y AMBA","2007","13574.13810"
"AR-S","Santa Fe","Pampeana y AMBA","2008","13880.87349"
"AR-S","Santa Fe","Pampeana y AMBA","2009","12352.52726"
"AR-S","Santa Fe","Pampeana y AMBA","2010","14212.35351"
"AR-S","Santa Fe","Pampeana y AMBA","2011","14493.80001"
"AR-S","Santa Fe","Pampeana y AMBA","2012","13857.62564"
"AR-S","Santa Fe","Pampeana y AMBA","2013","14343.18290"
"AR-S","Santa Fe","Pampeana y AMBA","2014","13731.53826"
"AR-S","Santa Fe","Pampeana y AMBA","2015","13884.31611"
"AR-S","Santa Fe","Pampeana y AMBA","2016","13033.77265"
"AR-S","Santa Fe","Pampeana y AMBA","2017","13682.08690"
"AR-S","Santa Fe","Pampeana y AMBA","2018","12961.80398"
"AR-S","Santa Fe","Pampeana y AMBA","2019","12998.52383"
"AR-S","Santa Fe","Pampeana y AMBA","2020","11896.54263"
"AR-S","Santa Fe","Pampeana y AMBA","2021","13299.71415"
"AR-S","Santa Fe","Pampeana y AMBA","2022","13438.35862"
"AR-S","Santa Fe","Pampeana y AMBA","2023","12844.21190"
"AR-G","Santiago del Estero","NOA","1895","1939.35991"
"AR-G","Santiago del Estero","NOA","1914","2061.25509"
"AR-G","Santiago del Estero","NOA","1937","1955.94740"
"AR-G","Santiago del Estero","NOA","1946","2398.35338"
"AR-G","Santiago del Estero","NOA","1953","2843.52204"
"AR-G","Santiago del Estero","NOA","1965","2842.45725"
"AR-G","Santiago del Estero","NOA","1975","5396.94431"
"AR-G","Santiago del Estero","NOA","1986","2959.85502"
"AR-G","Santiago del Estero","NOA","1993","4780.06506"
"AR-G","Santiago del Estero","NOA","2004","6209.71423"
"AR-G","Santiago del Estero","NOA","2005","6195.15835"
"AR-G","Santiago del Estero","NOA","2006","7559.42133"
"AR-G","Santiago del Estero","NOA","2007","8373.70129"
"AR-G","Santiago del Estero","NOA","2008","8635.76739"
"AR-G","Santiago del Estero","NOA","2009","7314.66806"
"AR-G","Santiago del Estero","NOA","2010","9536.34439"
"AR-G","Santiago del Estero","NOA","2011","9995.13555"
"AR-G","Santiago del Estero","NOA","2012","9098.07767"
"AR-G","Santiago del Estero","NOA","2013","10110.28548"
"AR-G","Santiago del Estero","NOA","2014","11576.68732"
"AR-G","Santiago del Estero","NOA","2015","11265.54732"
"AR-G","Santiago del Estero","NOA","2016","11458.30011"
"AR-G","Santiago del Estero","NOA","2017","12012.32947"
"AR-G","Santiago del Estero","NOA","2018","10480.16363"
"AR-G","Santiago del Estero","NOA","2019","10904.94243"
"AR-G","Santiago del Estero","NOA","2020","9735.08840"
"AR-G","Santiago del Estero","NOA","2021","10376.28833"
"AR-G","Santiago del Estero","NOA","2022","11025.84137"
"AR-G","Santiago del Estero","NOA","2023","9425.64851"
"AR-V","Tierra del Fuego","Patagonia","1895","7198.15244"
"AR-V","Tierra del Fuego","Patagonia","1914","8520.82005"
"AR-V","Tierra del Fuego","Patagonia","1937","14146.38370"
"AR-V","Tierra del Fuego","Patagonia","1946","16112.88517"
"AR-V","Tierra del Fuego","Patagonia","1953","16123.93930"
"AR-V","Tierra del Fuego","Patagonia","1965","17092.09192"
"AR-V","Tierra del Fuego","Patagonia","1975","26509.49854"
"AR-V","Tierra del Fuego","Patagonia","1986","47233.24590"
"AR-V","Tierra del Fuego","Patagonia","1993","30605.28383"
"AR-V","Tierra del Fuego","Patagonia","2004","30126.52179"
"AR-V","Tierra del Fuego","Patagonia","2005","31859.70557"
"AR-V","Tierra del Fuego","Patagonia","2006","34992.45019"
"AR-V","Tierra del Fuego","Patagonia","2007","35294.85519"
"AR-V","Tierra del Fuego","Patagonia","2008","34218.98518"
"AR-V","Tierra del Fuego","Patagonia","2009","29940.50663"
"AR-V","Tierra del Fuego","Patagonia","2010","36527.23149"
"AR-V","Tierra del Fuego","Patagonia","2011","43943.15791"
"AR-V","Tierra del Fuego","Patagonia","2012","45932.39277"
"AR-V","Tierra del Fuego","Patagonia","2013","44652.21977"
"AR-V","Tierra del Fuego","Patagonia","2014","38602.87634"
"AR-V","Tierra del Fuego","Patagonia","2015","38810.19152"
"AR-V","Tierra del Fuego","Patagonia","2016","35982.05483"
"AR-V","Tierra del Fuego","Patagonia","2017","35252.61396"
"AR-V","Tierra del Fuego","Patagonia","2018","34027.96324"
"AR-V","Tierra del Fuego","Patagonia","2019","30041.63564"
"AR-V","Tierra del Fuego","Patagonia","2020","27384.32173"
"AR-V","Tierra del Fuego","Patagonia","2021","30649.11095"
"AR-V","Tierra del Fuego","Patagonia","2022","32140.32364"
"AR-V","Tierra del Fuego","Patagonia","2023","29940.91500"
"AR-T","Tucumán","NOA","1895","5370.25345"
"AR-T","Tucumán","NOA","1914","3270.49476"
"AR-T","Tucumán","NOA","1937","3471.38038"
"AR-T","Tucumán","NOA","1946","3791.39207"
"AR-T","Tucumán","NOA","1953","4469.89138"
"AR-T","Tucumán","NOA","1965","3664.26451"
"AR-T","Tucumán","NOA","1975","9382.08589"
"AR-T","Tucumán","NOA","1986","5019.72611"
"AR-T","Tucumán","NOA","1993","5980.13007"
"AR-T","Tucumán","NOA","2004","5306.99904"
"AR-T","Tucumán","NOA","2005","5804.42969"
"AR-T","Tucumán","NOA","2006","6363.91099"
"AR-T","Tucumán","NOA","2007","6766.56983"
"AR-T","Tucumán","NOA","2008","7053.87492"
"AR-T","Tucumán","NOA","2009","6675.28662"
"AR-T","Tucumán","NOA","2010","7026.82498"
"AR-T","Tucumán","NOA","2011","7520.56528"
"AR-T","Tucumán","NOA","2012","7346.45138"
"AR-T","Tucumán","NOA","2013","7214.83222"
"AR-T","Tucumán","NOA","2014","6966.79368"
"AR-T","Tucumán","NOA","2015","7070.82698"
"AR-T","Tucumán","NOA","2016","7092.73255"
"AR-T","Tucumán","NOA","2017","7233.43695"
"AR-T","Tucumán","NOA","2018","7216.74198"
"AR-T","Tucumán","NOA","2019","7189.61956"
"AR-T","Tucumán","NOA","2020","6404.26134"
"AR-T","Tucumán","NOA","2021","6899.27540"
"AR-T","Tucumán","NOA","2022","6889.23178"
"AR-T","Tucumán","NOA","2023","6627.69405"
