"geocodigoFundar","geonombreFundar","region_pbg","anio","pib_pc_relativo"
"AR-S","Santa Fe","Pampeana y AMBA","1946","85.99988"
"AR-S","Santa Fe","Pampeana y AMBA","1953","86.77144"
"AR-S","Santa Fe","Pampeana y AMBA","1965","95.72605"
"AR-S","Santa Fe","Pampeana y AMBA","1975","91.37665"
"AR-S","Santa Fe","Pampeana y AMBA","1986","91.19937"
"AR-S","Santa Fe","Pampeana y AMBA","1993","88.77066"
"AR-S","Santa Fe","Pampeana y AMBA","2004","103.17871"
"AR-S","Santa Fe","Pampeana y AMBA","2005","105.02936"
"AR-S","Santa Fe","Pampeana y AMBA","2006","103.01643"
"AR-S","Santa Fe","Pampeana y AMBA","2007","102.58487"
"AR-S","Santa Fe","Pampeana y AMBA","2008","102.18297"
"AR-S","Santa Fe","Pampeana y AMBA","2009","97.47770"
"AR-S","Santa Fe","Pampeana y AMBA","2010","103.02290"
"AR-S","Santa Fe","Pampeana y AMBA","2011","100.81021"
"AR-S","Santa Fe","Pampeana y AMBA","2012","98.89160"
"AR-S","Santa Fe","Pampeana y AMBA","2013","101.27896"
"AR-S","Santa Fe","Pampeana y AMBA","2014","99.84483"
"AR-S","Santa Fe","Pampeana y AMBA","2015","99.37299"
"AR-S","Santa Fe","Pampeana y AMBA","2016","96.41138"
"AR-S","Santa Fe","Pampeana y AMBA","2017","99.69051"
"AR-S","Santa Fe","Pampeana y AMBA","2018","98.04055"
"AR-S","Santa Fe","Pampeana y AMBA","2019","100.92685"
"AR-S","Santa Fe","Pampeana y AMBA","2020","103.52424"
"AR-S","Santa Fe","Pampeana y AMBA","2021","105.77491"
"AR-S","Santa Fe","Pampeana y AMBA","2022","102.66380"
"AR-S","Santa Fe","Pampeana y AMBA","2023","100.58620"
"AR-G","Santiago del Estero","NOA","1895","45.12155"
"AR-G","Santiago del Estero","NOA","1914","46.32096"
"AR-G","Santiago del Estero","NOA","1937","35.05701"
"AR-G","Santiago del Estero","NOA","1946","37.90805"
"AR-G","Santiago del Estero","NOA","1953","43.09969"
"AR-G","Santiago del Estero","NOA","1965","33.04321"
"AR-G","Santiago del Estero","NOA","1975","51.47437"
"AR-G","Santiago del Estero","NOA","1986","30.86767"
"AR-G","Santiago del Estero","NOA","1993","46.49922"
"AR-G","Santiago del Estero","NOA","2004","57.75201"
"AR-G","Santiago del Estero","NOA","2005","53.29913"
"AR-G","Santiago del Estero","NOA","2006","61.08013"
"AR-G","Santiago del Estero","NOA","2007","63.28321"
"AR-G","Santiago del Estero","NOA","2008","63.57153"
"AR-G","Santiago del Estero","NOA","2009","57.72236"
"AR-G","Santiago del Estero","NOA","2010","69.12731"
"AR-G","Santiago del Estero","NOA","2011","69.52019"
"AR-G","Santiago del Estero","NOA","2012","64.92624"
"AR-G","Santiago del Estero","NOA","2013","71.38996"
"AR-G","Santiago del Estero","NOA","2014","84.17647"
"AR-G","Santiago del Estero","NOA","2015","80.62990"
"AR-G","Santiago del Estero","NOA","2016","84.75754"
"AR-G","Santiago del Estero","NOA","2017","87.52432"
"AR-G","Santiago del Estero","NOA","2018","79.26991"
"AR-G","Santiago del Estero","NOA","2019","84.67127"
"AR-G","Santiago del Estero","NOA","2020","84.71517"
"AR-G","Santiago del Estero","NOA","2021","82.52440"
"AR-G","Santiago del Estero","NOA","2022","84.23311"
"AR-G","Santiago del Estero","NOA","2023","73.81459"
"AR-V","Tierra del Fuego","Patagonia","1895","167.47371"
"AR-V","Tierra del Fuego","Patagonia","1914","191.48168"
"AR-V","Tierra del Fuego","Patagonia","1937","253.54970"
"AR-V","Tierra del Fuego","Patagonia","1946","254.67809"
"AR-V","Tierra del Fuego","Patagonia","1953","244.39299"
"AR-V","Tierra del Fuego","Patagonia","1965","198.69344"
"AR-V","Tierra del Fuego","Patagonia","1975","252.83933"
"AR-V","Tierra del Fuego","Patagonia","1986","492.58507"
"AR-V","Tierra del Fuego","Patagonia","1993","297.72020"
"AR-V","Tierra del Fuego","Patagonia","2004","280.18473"
"AR-V","Tierra del Fuego","Patagonia","2005","274.10030"
"AR-V","Tierra del Fuego","Patagonia","2006","282.73904"
"AR-V","Tierra del Fuego","Patagonia","2007","266.73651"
"AR-V","Tierra del Fuego","Patagonia","2008","251.90040"
"AR-V","Tierra del Fuego","Patagonia","2009","236.27001"
"AR-V","Tierra del Fuego","Patagonia","2010","264.77959"
"AR-V","Tierra del Fuego","Patagonia","2011","305.64235"
"AR-V","Tierra del Fuego","Patagonia","2012","327.78544"
"AR-V","Tierra del Fuego","Patagonia","2013","315.29477"
"AR-V","Tierra del Fuego","Patagonia","2014","280.68943"
"AR-V","Tierra del Fuego","Patagonia","2015","277.77274"
"AR-V","Tierra del Fuego","Patagonia","2016","266.16081"
"AR-V","Tierra del Fuego","Patagonia","2017","256.85783"
"AR-V","Tierra del Fuego","Patagonia","2018","257.38086"
"AR-V","Tierra del Fuego","Patagonia","2019","233.25784"
"AR-V","Tierra del Fuego","Patagonia","2020","238.29957"
"AR-V","Tierra del Fuego","Patagonia","2021","243.75764"
"AR-V","Tierra del Fuego","Patagonia","2022","245.53948"
"AR-V","Tierra del Fuego","Patagonia","2023","234.47472"
"AR-T","Tucumán","NOA","1895","124.94543"
"AR-T","Tucumán","NOA","1914","73.49525"
"AR-T","Tucumán","NOA","1937","62.21855"
"AR-T","Tucumán","NOA","1946","59.92623"
"AR-T","Tucumán","NOA","1953","67.75082"
"AR-T","Tucumán","NOA","1965","42.59662"
"AR-T","Tucumán","NOA","1975","89.48341"
"AR-T","Tucumán","NOA","1986","52.34961"
"AR-T","Tucumán","NOA","1993","58.17314"
"AR-T","Tucumán","NOA","2004","49.35651"
"AR-T","Tucumán","NOA","2005","49.93756"
"AR-T","Tucumán","NOA","2006","51.42041"
"AR-T","Tucumán","NOA","2007","51.13752"
"AR-T","Tucumán","NOA","2008","51.92655"
"AR-T","Tucumán","NOA","2009","52.67680"
"AR-T","Tucumán","NOA","2010","50.93624"
"AR-T","Tucumán","NOA","2011","52.30856"
"AR-T","Tucumán","NOA","2012","52.42618"
"AR-T","Tucumán","NOA","2013","50.94481"
"AR-T","Tucumán","NOA","2014","50.65698"
"AR-T","Tucumán","NOA","2015","50.60740"
"AR-T","Tucumán","NOA","2016","52.46525"
"AR-T","Tucumán","NOA","2017","52.70432"
"AR-T","Tucumán","NOA","2018","54.58602"
"AR-T","Tucumán","NOA","2019","55.82370"
"AR-T","Tucumán","NOA","2020","55.73016"
"AR-T","Tucumán","NOA","2021","54.87112"
"AR-T","Tucumán","NOA","2022","52.63103"
"AR-T","Tucumán","NOA","2023","51.90311"
