geocodigoFundar,geonombreFundar,anio,valor_en_porcentaje
BEL,Bélgica,2002,18.56499
BEL,Bélgica,2003,17.79731
BEL,Bélgica,2004,17.71652
BEL,Bélgica,2005,18.162628
BEL,Bélgica,2006,18.006485
BEL,Bélgica,2007,18.555157
BEL,Bélgica,2008,17.604237
BEL,Bélgica,2009,20.233507
BEL,Bélgica,2010,19.889294
BEL,Bélgica,2011,21.971338
BEL,Bélgica,2012,20.627127
BEL,Bélgica,2013,21.34844
BEL,Bélgica,2014,19.61335
BEL,Bélgica,2015,17.058008
BEL,Bélgica,2016,22.241262
BEL,Bélgica,2017,22.120995
BEL,Bélgica,2018,17.703554
BEL,Bélgica,2019,22.987457
BEL,Bélgica,2020,23.932657
BEL,Bélgica,2021,26.659117
BEL,Bélgica,2022,26.636648
BEL,Bélgica,2023,25.3089
NLD,Países Bajos,1965,0.0
NLD,Países Bajos,1966,0.0
NLD,Países Bajos,1967,0.0
NLD,Países Bajos,1968,0.015150955
NLD,Países Bajos,1969,0.152845
NLD,Países Bajos,1970,0.15826146
NLD,Países Bajos,1971,0.16516818
NLD,Países Bajos,1972,0.11446433
NLD,Países Bajos,1973,0.36571285
NLD,Países Bajos,1974,1.1395861
NLD,Países Bajos,1975,1.461569
NLD,Países Bajos,1976,1.5344442
NLD,Países Bajos,1977,1.5085223
NLD,Países Bajos,1978,1.711121
NLD,Países Bajos,1979,1.4459108
NLD,Países Bajos,1980,1.7411675
NLD,Países Bajos,1981,1.6736997
NLD,Países Bajos,1982,1.5572321
NLD,Países Bajos,1983,1.4219129
NLD,Países Bajos,1984,1.3274013
NLD,Países Bajos,1985,1.5166957
NLD,Países Bajos,1986,1.5909495
NLD,Países Bajos,1987,1.3999912
NLD,Países Bajos,1988,1.4865474
NLD,Países Bajos,1989,1.6269062
NLD,Países Bajos,1990,1.3717154
NLD,Países Bajos,1991,1.3369759
NLD,Países Bajos,1992,1.4881597
NLD,Países Bajos,1993,1.5572782
NLD,Países Bajos,1994,1.628229
NLD,Países Bajos,1995,1.6255144
NLD,Países Bajos,1996,1.7244614
NLD,Países Bajos,1997,1.3200631
NLD,Países Bajos,1998,1.8012743
NLD,Países Bajos,1999,1.8878543
