"anio","tipo_energia","valor_en_twh","porcentaje"
1992,"Biocombustibles","108.705635","0.100419100110438"
1993,"Biocombustibles","114.34005","0.104740344504998"
1994,"Biocombustibles","124.101776","0.112264116647802"
1995,"Biocombustibles","131.0704","0.116153492630907"
1996,"Biocombustibles","125.784515","0.108532482454463"
1997,"Biocombustibles","130.03065","0.111052562645347"
1998,"Biocombustibles","133.38396","0.113189986524403"
1999,"Biocombustibles","135.24736","0.112854137495798"
2000,"Biocombustibles","132.50879","0.107846414009552"
2001,"Biocombustibles","131.42497","0.10603442562123"
2002,"Biocombustibles","149.31444","0.118241248758804"
2003,"Biocombustibles","168.93098","0.129807901651373"
2004,"Biocombustibles","201.0801","0.147973826987065"
2005,"Biocombustibles","234.50827","0.167564700690274"
2006,"Biocombustibles","294.60794","0.205327891274554"
2007,"Biocombustibles","391.5707","0.265591233971782"
2008,"Biocombustibles","535.71674","0.359638649479466"
2009,"Biocombustibles","611.32715","0.416720762948279"
2010,"Biocombustibles","692.14124","0.452011961251296"
2011,"Biocombustibles","728.7748","0.466383241709165"
2012,"Biocombustibles","757.5906","0.478924531943414"
2013,"Biocombustibles","820.7763","0.510975737090711"
2014,"Biocombustibles","866.74524","0.534661550946353"
2015,"Biocombustibles","900.52325","0.551972186510477"
2016,"Biocombustibles","941.4909","0.571574884565223"
2017,"Biocombustibles","960.00476","0.570199181048526"
2018,"Biocombustibles","1039.946","0.602415219838584"
2019,"Biocombustibles","1119.6278","0.641776501284906"
2020,"Biocombustibles","1070.2726","0.634127676326151"
2021,"Biocombustibles","1131.0247","0.639575047434778"
2022,"Biocombustibles","1193.2262","0.663569977999696"
2023,"Biocombustibles","1317.6246","0.719109368500973"
1800,"Solar","0","0"
1810,"Solar","0","0"
1820,"Solar","0","0"
1830,"Solar","0","0"
1840,"Solar","0","0"
1850,"Solar","0","0"
1860,"Solar","0","0"
1870,"Solar","0","0"
1880,"Solar","0","0"
1890,"Solar","0","0"
1900,"Solar","0","0"
1910,"Solar","0","0"
1920,"Solar","0","0"
1930,"Solar","0","0"
1940,"Solar","0","0"
1950,"Solar","0","0"
1960,"Solar","0","0"
1965,"Solar","0","0"
1966,"Solar","0","0"
1967,"Solar","0","0"
1968,"Solar","0","0"
1969,"Solar","0","0"
1970,"Solar","0","0"
1971,"Solar","0","0"
1972,"Solar","0","0"
1973,"Solar","0","0"
1974,"Solar","0","0"
1975,"Solar","0","0"
1976,"Solar","0","0"
1977,"Solar","0","0"
1978,"Solar","0","0"
1979,"Solar","0","0"
1980,"Solar","0","0"
1981,"Solar","0","0"
1982,"Solar","0","0"
1983,"Solar","0.008870971","9.9760756521404e-06"
1984,"Solar","0.018661888","2.01618842478021e-05"
1985,"Solar","0.03473722","3.66134705522149e-05"
1986,"Solar","0.04489833","4.63532548423211e-05"
1987,"Solar","0.031353053","3.13244579579603e-05"
1988,"Solar","0.030149443","2.91207438438003e-05"
1989,"Solar","0.77539134","0.000735367460221809"
1990,"Solar","1.1483465","0.00107668492739003"
1991,"Solar","1.4942344","0.00138931503766589"
1992,"Solar","1.379965","0.0012747714824894"
1993,"Solar","1.6460894","0.00150788783844354"
1994,"Solar","1.7652723","0.00159688879393905"
1995,"Solar","1.8891695","0.00167416621599372"
1996,"Solar","2.0676155","0.00178403075272284"
1997,"Solar","2.2167242","0.00189319135979061"
1998,"Solar","2.4006376","0.00203718751185656"
1999,"Solar","2.6769266","0.00223370158635672"
2000,"Solar","3.1288824","0.00254653858583722"
2001,"Solar","4.1780615","0.0033708841734008"
2002,"Solar","5.2459383","0.00415422845575843"
2003,"Solar","6.5339413","0.00502073219291243"
2004,"Solar","8.554863","0.00629548034569328"
2005,"Solar","11.978459","0.0085590452612427"
2006,"Solar","16.379019","0.0114154066330183"
2007,"Solar","22.07666","0.0149739686125021"
2008,"Solar","35.639404","0.0239255303517547"
2009,"Solar","58.8195","0.0400952369222212"
2010,"Solar","94.092354","0.0614482521953051"
2011,"Solar","181.25386","0.115994354907852"
2012,"Solar","278.34863","0.175963095819616"
2013,"Solar","377.7912","0.235194579675831"
2014,"Solar","534.4909","0.329706723928143"
2015,"Solar","689.4229","0.422579056724404"
2016,"Solar","879.1254","0.533713070432604"
2017,"Solar","1185.098","0.703894331797111"
2018,"Solar","1520.514","0.88079647941109"
2019,"Solar","1859.5966","1.06593048131648"
2020,"Solar","2245.2683","1.33030292451453"
2021,"Solar","2751.7534","1.55606929833965"
2022,"Solar","3446.4075","1.91659598905303"
