"anio","geocodigoFundar","fuente_energia","valor_en_twh","porcentaje","tipo_energia","geonombreFundar"
"2006","DZA","Otras renovables","0","0","Limpias","Argelia"
"2007","DZA","Otras renovables","0","0","Limpias","Argelia"
"2008","DZA","Otras renovables","0","0","Limpias","Argelia"
"2009","DZA","Otras renovables","0","0","Limpias","Argelia"
"2010","DZA","Otras renovables","0","0","Limpias","Argelia"
"2011","DZA","Otras renovables","0","0","Limpias","Argelia"
"2012","DZA","Otras renovables","0","0","Limpias","Argelia"
"2013","DZA","Otras renovables","0","0","Limpias","Argelia"
"2014","DZA","Otras renovables","0","0","Limpias","Argelia"
"2015","DZA","Otras renovables","0","0","Limpias","Argelia"
"2016","DZA","Otras renovables","0","0","Limpias","Argelia"
"2017","DZA","Otras renovables","0","0","Limpias","Argelia"
"2018","DZA","Otras renovables","0","0","Limpias","Argelia"
"2019","DZA","Otras renovables","0","0","Limpias","Argelia"
"2020","DZA","Otras renovables","0","0","Limpias","Argelia"
"2021","DZA","Otras renovables","0","0","Limpias","Argelia"
"2022","DZA","Otras renovables","0","0","Limpias","Argelia"
"2023","DZA","Otras renovables","0","0","Limpias","Argelia"
"2024","DZA","Otras renovables","0","0","Limpias","Argelia"
"1965","ARG","Otras renovables","0","0","Limpias","Argentina"
"1966","ARG","Otras renovables","0","0","Limpias","Argentina"
"1967","ARG","Otras renovables","0","0","Limpias","Argentina"
"1968","ARG","Otras renovables","0","0","Limpias","Argentina"
"1969","ARG","Otras renovables","0","0","Limpias","Argentina"
"1970","ARG","Otras renovables","0.17575578","0.049760456963907","Limpias","Argentina"
"1971","ARG","Otras renovables","0.18434606","0.0492297551037892","Limpias","Argentina"
"1972","ARG","Otras renovables","0.2375856","0.0626588012938075","Limpias","Argentina"
"1973","ARG","Otras renovables","0.18740703","0.0473349798331881","Limpias","Argentina"
"1974","ARG","Otras renovables","0.1906351","0.0463475114493981","Limpias","Argentina"
"1975","ARG","Otras renovables","0.19996977","0.049807461935807","Limpias","Argentina"
"1976","ARG","Otras renovables","0.19050796","0.045180738500507","Limpias","Argentina"
"1977","ARG","Otras renovables","0.20000958","0.0454234023306168","Limpias","Argentina"
"1978","ARG","Otras renovables","0.19991502","0.0451355236301862","Limpias","Argentina"
"1979","ARG","Otras renovables","0.29682425","0.062662077743235","Limpias","Argentina"
"1980","ARG","Otras renovables","0.3094301","0.0657771573862964","Limpias","Argentina"
"1981","ARG","Otras renovables","0.2719313","0.0596257634007504","Limpias","Argentina"
"1982","ARG","Otras renovables","0.35929188","0.0769225176613868","Limpias","Argentina"
"1983","ARG","Otras renovables","0.48429877","0.0993731698179665","Limpias","Argentina"
"1984","ARG","Otras renovables","0.3593389","0.0735526504912504","Limpias","Argentina"
"1985","ARG","Otras renovables","0.37502003","0.0777987509193216","Limpias","Argentina"
"1986","ARG","Otras renovables","0.38746953","0.0766371613126293","Limpias","Argentina"
"1987","ARG","Otras renovables","0.3312072","0.0626882420788122","Limpias","Argentina"
"1988","ARG","Otras renovables","0.38425404","0.0713837283963846","Limpias","Argentina"
"1989","ARG","Otras renovables","0.33125484","0.0637713135972939","Limpias","Argentina"
"1990","ARG","Otras renovables","0.41569316","0.0815073157038314","Limpias","Argentina"
"1991","ARG","Otras renovables","0.4094003","0.0788608605505421","Limpias","Argentina"
"1992","ARG","Otras renovables","0.406206","0.0729966391222836","Limpias","Argentina"
"1993","ARG","Otras renovables","0.29998463","0.0522528782039125","Limpias","Argentina"
"1994","ARG","Otras renovables","0.30938876","0.0510721501759454","Limpias","Argentina"
"1995","ARG","Otras renovables","0.37192538","0.0594631822732721","Limpias","Argentina"
"1996","ARG","Otras renovables","0.6969395","0.106465555900585","Limpias","Argentina"
"1997","ARG","Otras renovables","0.5586204","0.0841946356941414","Limpias","Argentina"
"1998","ARG","Otras renovables","0.6465414","0.0938311924881647","Limpias","Argentina"
"1999","ARG","Otras renovables","0.8187499","0.116753239778843","Limpias","Argentina"
"2000","ARG","Otras renovables","1.2063384","0.172800007673262","Limpias","Argentina"
"2001","ARG","Otras renovables","1.1343695","0.166698147057587","Limpias","Argentina"
"2002","ARG","Otras renovables","1.656188","0.254274794535264","Limpias","Argentina"
"2003","ARG","Otras renovables","2.7518704","0.394070816948221","Limpias","Argentina"
"2004","ARG","Otras renovables","2.7109761","0.363682506541044","Limpias","Argentina"
"2005","ARG","Otras renovables","2.8640618","0.362591219612216","Limpias","Argentina"
"2006","ARG","Otras renovables","3.2697155","0.394409379944581","Limpias","Argentina"
"2007","ARG","Otras renovables","3.3464108","0.387604535179965","Limpias","Argentina"
"2008","ARG","Otras renovables","3.7686877","0.43159365379367","Limpias","Argentina"
"2009","ARG","Otras renovables","3.7154243","0.439279827114057","Limpias","Argentina"
"2010","ARG","Otras renovables","4.3042603","0.491339798714669","Limpias","Argentina"
"2011","ARG","Otras renovables","4.34224","0.481573725878762","Limpias","Argentina"
"2012","ARG","Otras renovables","4.5409484","0.483683457098603","Limpias","Argentina"
"2013","ARG","Otras renovables","4.7715893","0.475538447983279","Limpias","Argentina"
"2014","ARG","Otras renovables","4.633831","0.469407979641382","Limpias","Argentina"
"2015","ARG","Otras renovables","4.648035","0.462856033724105","Limpias","Argentina"
"2016","ARG","Otras renovables","3.6781874","0.367748826899092","Limpias","Argentina"
"2017","ARG","Otras renovables","4.5678077","0.460759241376986","Limpias","Argentina"
"2018","ARG","Otras renovables","4.4288235","0.451800286582028","Limpias","Argentina"
"2019","ARG","Otras renovables","4.6114106","0.50137712270383","Limpias","Argentina"
"2020","ARG","Otras renovables","6.8735213","0.801200027773108","Limpias","Argentina"
"2021","ARG","Otras renovables","7.0427136","0.747471862557737","Limpias","Argentina"
"2022","ARG","Otras renovables","7.494013","0.753349408378465","Limpias","Argentina"
"2023","ARG","Otras renovables","7.511261","0.754290364901437","Limpias","Argentina"
"2024","ARG","Otras renovables","8.232407","0.84432442397709","Limpias","Argentina"
"1965","AUS","Otras renovables","0.925","0.217974257673761","Limpias","Australia"
"1966","AUS","Otras renovables","0.88750005","0.199543081196197","Limpias","Australia"
"1967","AUS","Otras renovables","0.90625","0.192119952485467","Limpias","Australia"
"1968","AUS","Otras renovables","0.88125","0.176161926777166","Limpias","Australia"
"1969","AUS","Otras renovables","0.87812495","0.168593600368056","Limpias","Australia"
"1970","AUS","Otras renovables","0.815625","0.143529910267731","Limpias","Australia"
"1971","AUS","Otras renovables","0.82187504","0.137730338060292","Limpias","Australia"
"1972","AUS","Otras renovables","0.875","0.140223073146756","Limpias","Australia"
"1973","AUS","Otras renovables","1.05625","0.158327118765956","Limpias","Australia"
"1974","AUS","Otras renovables","1.3406249","0.188983871274566","Limpias","Australia"
"1975","AUS","Otras renovables","1.5281249","0.211886644016711","Limpias","Australia"
"1976","AUS","Otras renovables","1.5125","0.202607000062073","Limpias","Australia"
"1977","AUS","Otras renovables","1.3406249","0.171104478507761","Limpias","Australia"
"1978","AUS","Otras renovables","1.265625","0.156527562984171","Limpias","Australia"
"1979","AUS","Otras renovables","1.3062501","0.155745094915084","Limpias","Australia"
"1980","AUS","Otras renovables","1.203125","0.142921591574939","Limpias","Australia"
"1981","AUS","Otras renovables","1.2625","0.14761217402789","Limpias","Australia"
"1982","AUS","Otras renovables","1.6125","0.190243890957487","Limpias","Australia"
"1983","AUS","Otras renovables","1.346875","0.160462625875566","Limpias","Australia"
"1984","AUS","Otras renovables","1.3781251","0.15859231680808","Limpias","Australia"
"1985","AUS","Otras renovables","1.425","0.159438024487465","Limpias","Australia"
"1986","AUS","Otras renovables","1.4375","0.15799016689424","Limpias","Australia"
"1987","AUS","Otras renovables","1.46875","0.157074350084597","Limpias","Australia"
"1988","AUS","Otras renovables","2.284375","0.233410007752426","Limpias","Australia"
"1989","AUS","Otras renovables","2.53125","0.246445333362282","Limpias","Australia"
"1990","AUS","Otras renovables","2.3734376","0.226390266403073","Limpias","Australia"
"1991","AUS","Otras renovables","2.2484374","0.21597054973135","Limpias","Australia"
"1992","AUS","Otras renovables","2.09375","0.197987519888215","Limpias","Australia"
"1993","AUS","Otras renovables","2.09375","0.193604371055442","Limpias","Australia"
"1994","AUS","Otras renovables","2.1765625","0.193884767540508","Limpias","Australia"
"1995","AUS","Otras renovables","2.5796876","0.224040664189956","Limpias","Australia"
"1996","AUS","Otras renovables","2.9578125","0.249561116668168","Limpias","Australia"
"1997","AUS","Otras renovables","3.115625","0.256566178077902","Limpias","Australia"
"1998","AUS","Otras renovables","3.378125","0.271680759146308","Limpias","Australia"
"1999","AUS","Otras renovables","3.5421875","0.273667812919942","Limpias","Australia"
"2000","AUS","Otras renovables","2.7796876","0.213458202468193","Limpias","Australia"
"2001","AUS","Otras renovables","2.4921875","0.189888978958434","Limpias","Australia"
"2002","AUS","Otras renovables","3.9587502","0.295722362747234","Limpias","Australia"
"2003","AUS","Otras renovables","5.286875","0.389378693760948","Limpias","Australia"
"2004","AUS","Otras renovables","8.797656","0.627769977397755","Limpias","Australia"
"2005","AUS","Otras renovables","12.096875","0.859679549569218","Limpias","Australia"
"2006","AUS","Otras renovables","12.2890625","0.837345560258949","Limpias","Australia"
"2007","AUS","Otras renovables","13.359375","0.888735695134175","Limpias","Australia"
"2008","AUS","Otras renovables","11.550312","0.755488487458188","Limpias","Australia"
"2009","AUS","Otras renovables","8.70875","0.578101864095175","Limpias","Australia"
"2010","AUS","Otras renovables","7.6298437","0.506866732480614","Limpias","Australia"
"2011","AUS","Otras renovables","8.043594","0.517699737017914","Limpias","Australia"
"2012","AUS","Otras renovables","9.680781","0.632139166837501","Limpias","Australia"
"2013","AUS","Otras renovables","10.4114065","0.671721923018174","Limpias","Australia"
"2014","AUS","Otras renovables","11.082381","0.709766345763415","Limpias","Australia"
"2015","AUS","Otras renovables","11.493943","0.720082607604788","Limpias","Australia"
"2016","AUS","Otras renovables","11.335978","0.708331509719304","Limpias","Australia"
"2017","AUS","Otras renovables","11.130262","0.697366300825549","Limpias","Australia"
"2018","AUS","Otras renovables","11.212966","0.692839951901173","Limpias","Australia"
"2019","AUS","Otras renovables","10.836644","0.648227022325833","Limpias","Australia"
"2020","AUS","Otras renovables","10.657576","0.676406708255534","Limpias","Australia"
"2021","AUS","Otras renovables","10.45014","0.662348462313732","Limpias","Australia"
"2022","AUS","Otras renovables","9.958081","0.604279516245484","Limpias","Australia"
"2023","AUS","Otras renovables","9.767759","0.594659145330444","Limpias","Australia"
"2024","AUS","Otras renovables","9.331409","0.562941216965824","Limpias","Australia"
"1965","AUT","Otras renovables","0","0","Limpias","Austria"
"1966","AUT","Otras renovables","0","0","Limpias","Austria"
"1967","AUT","Otras renovables","0","0","Limpias","Austria"
"1968","AUT","Otras renovables","0","0","Limpias","Austria"
"1969","AUT","Otras renovables","0","0","Limpias","Austria"
"1970","AUT","Otras renovables","0","0","Limpias","Austria"
"1971","AUT","Otras renovables","0","0","Limpias","Austria"
"1972","AUT","Otras renovables","0","0","Limpias","Austria"
"1973","AUT","Otras renovables","0","0","Limpias","Austria"
"1974","AUT","Otras renovables","0","0","Limpias","Austria"
"1975","AUT","Otras renovables","0","0","Limpias","Austria"
"1976","AUT","Otras renovables","0","0","Limpias","Austria"
"1977","AUT","Otras renovables","0","0","Limpias","Austria"
"1978","AUT","Otras renovables","0","0","Limpias","Austria"
"1979","AUT","Otras renovables","0","0","Limpias","Austria"
"1980","AUT","Otras renovables","0","0","Limpias","Austria"
"1981","AUT","Otras renovables","0","0","Limpias","Austria"
"1982","AUT","Otras renovables","0","0","Limpias","Austria"
"1983","AUT","Otras renovables","0","0","Limpias","Austria"
"1984","AUT","Otras renovables","0","0","Limpias","Austria"
"1985","AUT","Otras renovables","2.947897","0.950238907530565","Limpias","Austria"
"1986","AUT","Otras renovables","4.0234404","1.29450263217997","Limpias","Austria"
"1987","AUT","Otras renovables","2.8306751","0.864021672167838","Limpias","Austria"
"1988","AUT","Otras renovables","3.27175","1.01375831544418","Limpias","Austria"
"1989","AUT","Otras renovables","3.4514062","1.0632409779575","Limpias","Austria"
"1990","AUT","Otras renovables","3.5702658","1.08816226909219","Limpias","Austria"
"1991","AUT","Otras renovables","3.830725","1.11461088621101","Limpias","Austria"
"1992","AUT","Otras renovables","4.1536374","1.22722557917941","Limpias","Austria"
"1993","AUT","Otras renovables","4.253472","1.23013222596662","Limpias","Austria"
"1994","AUT","Otras renovables","3.7829843","1.10314447407219","Limpias","Austria"
"1995","AUT","Otras renovables","5.803816","1.60818003908732","Limpias","Austria"
"1996","AUT","Otras renovables","4.9670124","1.34440994417505","Limpias","Austria"
"1997","AUT","Otras renovables","5.3480906","1.43005057642751","Limpias","Austria"
