"anio","iso3","valor_en_twh"
"1983","NLD","3.589"
"1984","NLD","3.711"
"1985","NLD","3.899"
"1986","NLD","4.216"
"1987","NLD","3.556"
"1988","NLD","3.675"
"1989","NLD","4.019"
"1990","NLD","3.5"
"1991","NLD","3.33"
"1992","NLD","3.8"
"1993","NLD","3.95"
"1994","NLD","3.97"
"1995","NLD","4.02"
"1996","NLD","4.16"
"1997","NLD","2.41"
"1998","NLD","3.81"
"1999","NLD","3.83"
"2000","NLD","3.93"
"2001","NLD","3.98"
"2002","NLD","3.91"
"2003","NLD","4.02"
"2004","NLD","3.82"
"2005","NLD","4"
"2006","NLD","3.47"
"2007","NLD","4.2"
"2008","NLD","4.17"
"2009","NLD","4.25"
"2010","NLD","3.97"
"2011","NLD","4.14"
"2012","NLD","3.91"
"2013","NLD","2.89"
"2014","NLD","4.09"
"2015","NLD","4.08"
"2016","NLD","3.96"
"2017","NLD","3.4"
"2018","NLD","3.51"
"2019","NLD","3.91"
"2020","NLD","4.09"
"2021","NLD","3.83"
"2022","NLD","4.16"
"2023","NLD","4"
"1965","DEU","0.117"
"1966","DEU","0.265"
"1967","DEU","1.225"
"1968","DEU","1.766"
"1969","DEU","4.937"
"1970","DEU","6.494"
"1971","DEU","6.216"
"1972","DEU","9.522"
"1973","DEU","12.106"
"1974","DEU","14.459"
"1975","DEU","24.138"
"1976","DEU","29.533"
"1977","DEU","41.255"
"1978","DEU","43.873"
"1979","DEU","52.064"
"1980","DEU","55.589"
"1981","DEU","65.533"
"1982","DEU","74.426"
"1983","DEU","78.063"
"1984","DEU","104.317"
"1985","DEU","138.641"
"1986","DEU","130.489"
"1987","DEU","141.725"
"1988","DEU","156.82"
"1989","DEU","161.671"
"1990","DEU","152.47"
"1991","DEU","147.23"
"1992","DEU","158.8"
"1993","DEU","153.28"
"1994","DEU","150.7"
"1995","DEU","153.09"
"1996","DEU","160.02"
"1997","DEU","170.33"
"1998","DEU","161.64"
"1999","DEU","170"
"2000","DEU","169.61"
"2001","DEU","171.3"
"2002","DEU","164.84"
"2003","DEU","165.06"
"2004","DEU","167.07"
"2005","DEU","163.05"
"2006","DEU","167.27"
"2007","DEU","140.53"
"2008","DEU","148.49"
"2009","DEU","134.93"
"2010","DEU","140.56"
"2011","DEU","107.97"
"2012","DEU","99.46"
"2013","DEU","97.29"
"2014","DEU","97.13"
"2015","DEU","91.79"
"2016","DEU","84.63"
"2017","DEU","76.32"
"2018","DEU","76"
"2019","DEU","75.07"
"2020","DEU","64.38"
"2021","DEU","69.13"
"2022","DEU","34.71"
"2023","DEU","8.75"
"1965","CHE","0"
"1966","CHE","0"
"1967","CHE","0"
"1968","CHE","0"
"1969","CHE","0.535"
"1970","CHE","1.766"
"1971","CHE","1.391"
"1972","CHE","3.84"
"1973","CHE","6.31"
"1974","CHE","7.067"
"1975","CHE","7.761"
"1976","CHE","7.939"
"1977","CHE","8.114"
"1978","CHE","8.395"
"1979","CHE","11.805"
"1980","CHE","14.346"
"1981","CHE","15.33"
"1982","CHE","15.133"
"1983","CHE","15.71"
"1984","CHE","18.44"
"1985","CHE","22.401052"
"1986","CHE","22.42421"
"1987","CHE","22.843159"
"1988","CHE","22.633684"
"1989","CHE","22.676842"
"1990","CHE","23.471579"
"1991","CHE","22.793684"
"1992","CHE","23.285263"
"1993","CHE","23.188421"
"1994","CHE","24.193684"
"1995","CHE","24.722105"
"1996","CHE","24.96737"
"1997","CHE","25.232632"
"1998","CHE","25.650526"
"1999","CHE","24.761053"
"2000","CHE","26.45"
"2001","CHE","26.81"
"2002","CHE","27.23"
"2003","CHE","27.49"
"2004","CHE","26.96"
"2005","CHE","23.34"
"2006","CHE","27.82"
"2007","CHE","27.92"
"2008","CHE","27.7"
"2009","CHE","27.69"
"2010","CHE","26.34"
"2011","CHE","26.71"
"2012","CHE","25.44"
"2013","CHE","25.99"
"2014","CHE","27.56"
"2015","CHE","23.09"
"2016","CHE","21.15"
"2017","CHE","20.38"
"2018","CHE","25.51"
"2019","CHE","26.42"
"2020","CHE","24.02"
"2021","CHE","19.36"
"2022","CHE","23.95"
"2023","CHE","24.19"
"1965","ITA","3.51"
"1966","ITA","3.863"
"1967","ITA","3.152"
"1968","ITA","2.576"
"1969","ITA","1.679"
"1970","ITA","3.176"
"1971","ITA","3.365"
"1972","ITA","3.626"
"1973","ITA","3.142"
"1974","ITA","3.41"
"1975","ITA","3.8"
"1976","ITA","3.807"
"1977","ITA","3.385"
"1978","ITA","4.428"
"1979","ITA","2.628"
"1980","ITA","2.208"
"1981","ITA","2.707"
"1982","ITA","6.804"
"1983","ITA","5.783"
"1984","ITA","6.887"
"1985","ITA","7.024"
"1986","ITA","8.758"
"1987","ITA","0.174"
"1988","ITA","0"
"1989","ITA","0"
"1990","ITA","0"
"1991","ITA","0"
"1992","ITA","0"
"1993","ITA","0"
"1994","ITA","0"
"1995","ITA","0"
"1996","ITA","0"
"1997","ITA","0"
"1998","ITA","0"
"1999","ITA","0"
"2000","ITA","0"
"2001","ITA","0"
"2002","ITA","0"
"2003","ITA","0"
"2004","ITA","0"
"2005","ITA","0"
"2006","ITA","0"
"2007","ITA","0"
"2008","ITA","0"
"2009","ITA","0"
"2010","ITA","0"
"2011","ITA","0"
"2012","ITA","0"
"2013","ITA","0"
"2014","ITA","0"
"2015","ITA","0"
"2016","ITA","0"
"2017","ITA","0"
"2018","ITA","0"
"2019","ITA","0"
"2020","ITA","0"
"2021","ITA","0"
"2022","ITA","0"
"2023","ITA","0"
"1965","ESP","0"
"1966","ESP","0"
"1967","ESP","0"
"1968","ESP","0.083"
"1969","ESP","0.829"
"1970","ESP","0.923"
"1971","ESP","2.523"
"1972","ESP","4.751"
"1973","ESP","6.545"
"1974","ESP","7.223"
"1975","ESP","7.544"
"1976","ESP","7.555"
"1977","ESP","6.524"
"1978","ESP","7.649"
"1979","ESP","6.7"
"1980","ESP","5.186"
"1981","ESP","9.568"
"1982","ESP","8.771"
"1983","ESP","10.661"
"1984","ESP","23.086"
"1985","ESP","28.044"
"1986","ESP","37.458"
"1987","ESP","41.271"
"1988","ESP","50.466"
"1989","ESP","56.126"
"1990","ESP","54.27"
"1991","ESP","55.58"
"1992","ESP","55.78"
"1993","ESP","56.06"
"1994","ESP","55.31"
"1995","ESP","55.46"
"1996","ESP","56.33"
"1997","ESP","55.3"
"1998","ESP","58.99"
"1999","ESP","58.85"
"2000","ESP","62.21"
"2001","ESP","63.71"
"2002","ESP","63.02"
"2003","ESP","61.88"
"2004","ESP","63.61"
"2005","ESP","57.54"
"2006","ESP","60.13"
"2007","ESP","55.1"
"2008","ESP","58.97"
"2009","ESP","52.76"
"2010","ESP","61.99"
"2011","ESP","57.72"
"2012","ESP","61.47"
"2013","ESP","56.73"
"2014","ESP","57.31"
"2015","ESP","57.2"
"2016","ESP","58.63"
"2017","ESP","58.04"
"2018","ESP","55.77"
"2019","ESP","58.35"
"2020","ESP","58.3"
"2021","ESP","56.56"
"2022","ESP","58.59"
"2023","ESP","56.8"
"1965","SWE","0.018"
"1966","SWE","0.045"
"1967","SWE","0.05"
"1968","SWE","0.023"
"1969","SWE","0.061"
"1970","SWE","0.056"
"1971","SWE","0.09"
"1972","SWE","1.465"
"1973","SWE","2.111"
"1974","SWE","2.054"
"1975","SWE","11.969"
"1976","SWE","15.993"
"1977","SWE","19.913"
"1978","SWE","23.781"
"1979","SWE","21.039"
"1980","SWE","26.488"
"1981","SWE","37.679"
"1982","SWE","39.045"
"1983","SWE","41.004"
"1984","SWE","50.926"
"1985","SWE","58.561"
"1986","SWE","69.951"
"1987","SWE","67.385"
"1988","SWE","69.424"
"1989","SWE","65.603"
"1990","SWE","68.18"
"1991","SWE","76.76"
"1992","SWE","63.54"
"1993","SWE","61.4"
"1994","SWE","73.16"
"1995","SWE","69.93"
"1996","SWE","74.27"
"1997","SWE","69.93"
"1998","SWE","73.58"
"1999","SWE","73.19"
"2000","SWE","57.32"
"2001","SWE","72.11"
"2002","SWE","68.11"
"2003","SWE","67.42"
"2004","SWE","77.49"
"2005","SWE","72.38"
"2006","SWE","66.98"
"2007","SWE","66.97"
"2008","SWE","63.89"
"2009","SWE","52.17"
"2010","SWE","57.83"
"2011","SWE","60.47"
"2012","SWE","64.04"
"2013","SWE","66.46"
"2014","SWE","64.88"
"2015","SWE","56.35"
"2016","SWE","63.1"
"2017","SWE","65.7"
"2018","SWE","68.55"
"2019","SWE","66.13"
"2020","SWE","49.2"
"2021","SWE","52.97"
"2022","SWE","51.94"
"2023","SWE","48.4"
"1965","POL","0"
"1966","POL","0"
"1967","POL","0"
"1968","POL","0"
"1969","POL","0"
"1970","POL","0"
"1971","POL","0"
"1972","POL","0"
"1973","POL","0"
"1974","POL","0"
"1975","POL","0"
"1976","POL","0"
"1977","POL","0"
"1978","POL","0"
"1979","POL","0"
"1980","POL","0"
"1981","POL","0"
"1982","POL","0"
"1983","POL","0"
"1984","POL","0"
"1985","POL","0"
"1986","POL","0"
"1987","POL","0"
"1988","POL","0"
"1989","POL","0"
"1990","POL","0"
"1991","POL","0"
"1992","POL","0"
"1993","POL","0"
"1994","POL","0"
"1995","POL","0"
"1996","POL","0"
"1997","POL","0"
"1998","POL","0"
"1999","POL","0"
"2000","POL","0"
"2001","POL","0"
"2002","POL","0"
"2003","POL","0"
"2004","POL","0"
"2005","POL","0"
"2006","POL","0"
"2007","POL","0"
"2008","POL","0"
"2009","POL","0"
"2010","POL","0"
"2011","POL","0"
"2012","POL","0"
"2013","POL","0"
"2014","POL","0"
"2015","POL","0"
"2016","POL","0"
"2017","POL","0"
"2018","POL","0"
"2019","POL","0"
"2020","POL","0"
"2021","POL","0"
"2022","POL","0"
"2023","POL","0"
"1965","USA","3.8491569"
"1966","USA","5.8104305"
"1967","USA","8.05812"
"1968","USA","13.18781"
"1969","USA","14.660883"
"1970","USA","22.952051"
"1971","USA","40.110046"
"1972","USA","56.938038"
"1973","USA","87.873116"
"1974","USA","119.974464"
"1975","USA","181.58429"
"1976","USA","201.1616"
"1977","USA","264.08768"
"1978","USA","290.9506"
"1979","USA","268.5838"
"1980","USA","264.33218"
"1981","USA","287.02475"
"1982","USA","297.65604"
"1983","USA","309.13382"
"1984","USA","344.8774"
"1985","USA","403.88498"
"1986","USA","435.82953"
"1987","USA","479.232"
"1988","USA","554.7085"
"1989","USA","557.2155"
"1990","USA","607.22284"
"1991","USA","644.80536"
"1992","USA","651.34344"
"1993","USA","642.4118"
"1994","USA","674.1472"
"1995","USA","708.84436"
"1996","USA","710.2406"
"1997","USA","661.7307"
"1998","USA","709.1601"
"1999","USA","766.5833"
"2000","USA","753.89"
"2001","USA","768.83"
"2002","USA","780.06"
"2003","USA","763.73"
"2004","USA","788.53"
"2005","USA","781.99"
"2006","USA","787.22"
"2007","USA","806.42"
"2008","USA","806.21"
"2009","USA","798.85"
"2010","USA","806.97"
"2011","USA","790.2"
"2012","USA","769.33"
"2013","USA","789.02"
"2014","USA","797.17"
"2015","USA","797.18"
"2016","USA","805.69"
"2017","USA","804.95"
"2018","USA","807.08"
"2019","USA","809.41"
"2020","USA","789.88"
"2021","USA","779.65"
"2022","USA","771.54"
"2023","USA","775.35"
"1965","JPN","0.025"
"1966","JPN","0.584"
"1967","JPN","0.629"
"1968","JPN","1.044"
"1969","JPN","1.082"
"1970","JPN","4.581"
"1971","JPN","8.01"
"1972","JPN","9.48"
"1973","JPN","9.707"
"1974","JPN","19.699"
"1975","JPN","25.125"
"1976","JPN","34.079"
"1977","JPN","31.659"
"1978","JPN","59.313"
"1979","JPN","70.393"
"1980","JPN","82.591"
"1981","JPN","87.82"
"1982","JPN","102.43"
"1983","JPN","114.291"
"1984","JPN","134.264"
"1985","JPN","159.578"
"1986","JPN","165.36972"
"1987","JPN","188.605"
