"anio","iso3","valor_en_gw"
"2016","ARM","0.001"
"2017","ARM","0.0024"
"2018","ARM","0.01732"
"2019","ARM","0.05"
"2020","ARM","0.10647"
"2021","ARM","0.21683002"
"2022","ARM","0.305925"
"2000","ARM",
"2001","ARM",
"2002","ARM",
"2003","ARM",
"2004","ARM",
"2005","ARM",
"2006","ARM","0"
"2007","ARM","0"
"2008","ARM","0"
"2009","ABW","0"
"2010","ABW","0.000100000005"
"2011","ABW","3e-04"
"2012","ABW","0.001"
"2013","ABW","0.0016000001"
"2014","ABW","0.0049000005"
"2015","ABW","0.0061000003"
"2016","ABW","0.0061000003"
"2017","ABW","0.0061000003"
"2018","ABW","0.013600001"
"2019","ABW","0.013600001"
"2020","ABW","0.013600001"
"2021","ABW","0.013600001"
"2022","ABW","0.013600001"
"2000","ABW",
"2001","ABW",
"2002","ABW",
"2003","ABW",
"2004","ABW",
"2005","ABW",
"2006","ABW",
"2007","ABW",
"2008","ABW",
"2009","AUS","0.33200002"
"2010","AUS","1.0910001"
"2011","AUS","2.473"
"2012","AUS","3.7990003"
"2013","AUS","4.5680003"
"2014","AUS","5.287"
"2015","AUS","5.946"
"2016","AUS","6.689"
"2017","AUS","7.3540006"
"2018","AUS","8.626"
"2019","AUS","12.97"
"2020","AUS","17.986"
"2021","AUS","22.87"
"2022","AUS","26.792002"
"2000","AUS","0.025"
"2001","AUS","0.029000001"
"2002","AUS","0.034"
"2003","AUS","0.039400004"
"2004","AUS","0.046400003"
"2005","AUS","0.052400004"
"2006","AUS","0.061400004"
"2007","AUS","0.07300001"
"2008","AUS","0.085"
"2009","AUT","0.048915002"
"2010","AUT","0.08881301"
"2011","AUT","0.17407002"
"2012","AUT","0.33748302"
"2013","AUT","0.625974"
"2014","AUT","0.785246"
"2015","AUT","0.9370981"
"2016","AUT","1.096016"
"2017","AUT","1.268971"
"2018","AUT","1.455132"
"2019","AUT","1.7020931"
"2020","AUT","2.042934"
"2021","AUT","2.782602"
"2022","AUT","3.5476022"
"2000","AUT","0.0050000004"
"2001","AUT","0.007"
"2002","AUT","0.009000001"
"2003","AUT","0.023000002"
"2004","AUT","0.027"
"2005","AUT","0.021018"
"2006","AUT","0.022387"
"2007","AUT","0.024238002"
"2008","AUT","0.030120002"
"2009","AZE","0.000100000005"
"2010","AZE","3e-04"
"2011","AZE","0.001"
"2012","AZE","0.001"
"2013","AZE","0.001"
"2014","AZE","0.0024"
"2015","AZE","0.0048"
"2016","AZE","0.0249"
"2017","AZE","0.0284"
"2018","AZE","0.034900002"
"2019","AZE","0.0331"
"2020","AZE","0.0351"
"2021","AZE","0.047900002"
"2022","AZE","0.050900005"
"2000","AZE",
"2001","AZE",
"2002","AZE",
"2003","AZE",
"2004","AZE",
"2005","AZE",
"2006","AZE",
"2007","AZE","0.000100000005"
"2008","AZE","0.000100000005"
"2009","BHS","0.00020000001"
"2010","BHS","3e-04"
"2011","BHS","0.00041100004"
"2012","BHS","0.00062"
"2013","BHS","0.00062500004"
"2014","BHS","0.001276"
"2015","BHS","0.0012970001"
"2016","BHS","0.0014500001"
"2017","BHS","0.001396"
"2018","BHS","0.001365"
"2019","BHS","0.0022330002"
"2020","BHS","0.0022330002"
"2021","BHS","0.0022330002"
"2022","BHS","0.0025330002"
"2000","BHS",
"2001","BHS",
"2002","BHS",
"2003","BHS",
"2004","BHS",
"2005","BHS",
"2006","BHS",
"2007","BHS","0.000100000005"
"2008","BHS","0.000100000005"
"2009","BHR",
"2010","BHR","4.0000004e-06"
"2011","BHR","9e-06"
"2012","BHR","0.00050900003"
"2013","BHR","0.00050900003"
"2014","BHR","0.005009"
"2015","BHR","0.005009"
"2016","BHR","0.006009"
"2017","BHR","0.006009"
"2018","BHR","0.006349"
"2019","BHR","0.009349001"
"2020","BHR","0.009756"
"2021","BHR","0.011322"
"2022","BHR","0.011672"
"2000","BHR",
"2001","BHR",
"2002","BHR",
"2003","BHR",
"2004","BHR",
"2005","BHR",
"2006","BHR",
"2007","BHR",
"2008","BHR",
"2009","BGD","0.018304002"
"2010","BGD","0.032334"
"2011","BGD","0.042712003"
"2012","BGD","0.066186"
"2013","BGD","0.09413"
"2014","BGD","0.12006501"
"2015","BGD","0.146956"
"2016","BGD","0.16377"
"2017","BGD","0.19573101"
"2018","BGD","0.21757002"
"2019","BGD","0.26871502"
"2020","BGD","0.31701502"
"2021","BGD","0.480123"
"2022","BGD","0.53723603"
"2000","BGD","7.0000006e-06"
"2001","BGD","1.0000001e-05"
"2002","BGD","4.8e-05"
"2003","BGD","0.000817"
"2004","BGD","0.001397"
"2005","BGD","0.002483"
"2006","BGD","0.0039580003"
"2007","BGD","0.0065960004"
"2008","BGD","0.011097001"
"2009","BRB","0.00080000004"
"2010","BRB","0.001"
"2011","BRB","0.0012500001"
"2012","BRB","0.0015"
"2013","BRB","0.000426"
"2014","BRB","0.0012940001"
"2015","BRB","0.0030940003"
"2016","BRB","0.014937001"
"2017","BRB","0.016397"
"2018","BRB","0.017246"
"2019","BRB","0.033210002"
"2020","BRB","0.049154002"
"2021","BRB","0.063926004"
"2022","BRB","0.06888401"
"2000","BRB",
"2001","BRB","0.000100000005"
"2002","BRB","0.000100000005"
"2003","BRB","0.000100000005"
"2004","BRB","0.000100000005"
"2005","BRB","0.00020000001"
"2006","BRB","0.00020000001"
"2007","BRB","6e-04"
"2008","BRB","6e-04"
"2009","BLR",
"2010","BLR",
"2011","BLR",
"2012","BLR",
"2013","BLR","0"
"2014","BLR","0.004"
"2015","BLR","0.006"
"2016","BLR","0.047000002"
"2017","BLR","0.080000006"
"2018","BLR","0.15400001"
"2019","BLR","0.15400001"
"2020","BLR","0.16000001"
"2021","BLR","0.16000001"
"2022","BLR","0.26900002"
"2000","BLR",
"2001","BLR",
"2002","BLR",
"2003","BLR",
"2004","BLR",
"2005","BLR",
"2006","BLR",
"2007","BLR",
"2008","BLR",
"2009","BEL","0.386"
"2010","BEL","1.0066"
"2011","BEL","1.9786"
"2012","BEL","2.6466002"
"2013","BEL","2.9016001"
"2014","BEL","3.015"
"2015","BEL","3.1316001"
"2016","BEL","3.3288002"
"2017","BEL","3.6206002"
"2018","BEL","4"
"2019","BEL","4.6366005"
"2020","BEL","5.5728"
"2021","BEL","6.0124"
"2022","BEL","6.8984003"
"2000","BEL",
"2001","BEL",
"2002","BEL","0.001"
"2003","BEL","0.001"
"2004","BEL","0.001"
"2005","BEL","0.002"
"2006","BEL","0.002"
"2007","BEL","0.020000001"
"2008","BEL","0.062000003"
"2009","BLZ","1.0000001e-06"
"2010","BLZ","1.0000001e-06"
"2011","BLZ","1.0000001e-06"
"2012","BLZ","8.000001e-06"
"2013","BLZ","9e-06"
"2014","BLZ","0.00049500004"
"2015","BLZ","0.000499"
"2016","BLZ","0.000499"
"2017","BLZ","0.000506"
"2018","BLZ","0.000789"
"2019","BLZ","0.0065500005"
"2020","BLZ","0.0065500005"
"2021","BLZ","0.0065500005"
"2022","BLZ","0.0065500005"
"2000","BLZ","1.0000001e-06"
"2001","BLZ","1.0000001e-06"
"2002","BLZ","1.0000001e-06"
"2003","BLZ","1.0000001e-06"
"2004","BLZ","1.0000001e-06"
"2005","BLZ","1.0000001e-06"
"2006","BLZ","1.0000001e-06"
"2007","BLZ","1.0000001e-06"
"2008","BLZ","1.0000001e-06"
"2009","BEN","0"
"2010","BEN","0"
"2011","BEN","0"
"2012","BEN","0"
"2013","BEN","0"
"2014","BEN","0.00020000001"
"2015","BEN","0.0012"
"2016","BEN","0.0029000002"
"2017","BEN","0.0029000002"
"2018","BEN","0.0029000002"
"2019","BEN","0.0029000002"
"2020","BEN","0.0029400003"
"2021","BEN","0.0029400003"
"2022","BEN","0.027940001"
"2000","BEN","0"
"2001","BEN","0"
"2002","BEN","0"
"2003","BEN","0"
"2004","BEN","0"
"2005","BEN","0"
"2006","BEN","0"
"2007","BEN","0"
"2008","BEN","0"
"2009","BTN","0.00027500003"
"2010","BTN","0.00027500003"
"2011","BTN","0.00027500003"
"2012","BTN","0.00027500003"
"2013","BTN","0.00027500003"
"2014","BTN","0.00027500003"
"2015","BTN","0.00027500003"
"2016","BTN","0.00027500003"
"2017","BTN","0.00027500003"
"2018","BTN","0.00027500003"
"2019","BTN","0.00027500003"
"2020","BTN","0.00027500003"
"2021","BTN","0.00045500003"
"2022","BTN","0.00045500003"
"2000","BTN",
"2001","BTN",
"2002","BTN",
"2003","BTN",
"2004","BTN",
"2005","BTN","0.00013100001"
"2006","BTN","0.00027500003"
"2007","BTN","0.00027500003"
"2008","BTN","0.00027500003"
"2009","BOL","0.002813"
"2010","BOL","0.0029790003"
"2011","BOL","0.003432"
"2012","BOL","0.004131"
"2013","BOL","0.005535"
