"anio","iso3","valor_en_gco2_por_kwh"
"2016","CMR","299.57806"
"2017","CMR","288.19873"
"2018","CMR","324.35596"
"2019","CMR","295.69266"
"2020","CMR","314.44446"
"2021","CMR","298.75003"
"2022","CMR","305.4187"
"2023","CMR",
"1990","CMR",
"1991","CMR",
"1992","CMR",
"1993","CMR",
"1994","CMR",
"1995","CMR",
"1996","CMR",
"1997","CMR",
"1998","CMR",
"1999","CMR",
"2000","CAN","245.6858"
"2001","CAN","255.64856"
"2002","CAN","245.11913"
"2003","CAN","251.63614"
"2004","CAN","235.33838"
"2005","CAN","225.01207"
"2006","CAN","216.50806"
"2007","CAN","227.7551"
"2008","CAN","213.47485"
"2009","CAN","204.32664"
"2010","CAN","214.78346"
"2011","CAN","206.18233"
"2012","CAN","193.38927"
"2013","CAN","186.96335"
"2014","CAN","188.86014"
"2015","CAN","184.36496"
"2016","CAN","180.678"
"2017","CAN","172.01057"
"2018","CAN","170.79106"
"2019","CAN","169.916"
"2020","CAN","160.64651"
"2021","CAN","164.04594"
"2022","CAN","161.43408"
"2023","CAN","170.04251"
"1990","CAN",
"1991","CAN",
"1992","CAN",
"1993","CAN",
"1994","CAN",
"1995","CAN",
"1996","CAN",
"1997","CAN",
"1998","CAN",
"1999","CAN",
"2000","CPV","600.00006"
"2001","CPV","647.0588"
"2002","CPV","631.5789"
"2003","CPV","684.2105"
"2004","CPV","636.36365"
"2005","CPV","625.00006"
"2006","CPV","640"
"2007","CPV","629.62964"
"2008","CPV","620.6897"
"2009","CPV","645.16125"
"2010","CPV","647.0588"
"2011","CPV","594.5946"
"2012","CPV","526.3158"
"2013","CPV","512.19507"
"2014","CPV","511.6279"
"2015","CPV","511.6279"
"2016","CPV","533.3333"
"2017","CPV","534.8837"
"2018","CPV","511.6279"
"2019","CPV","545.4545"
"2020","CPV","547.6191"
"2021","CPV","547.6191"
"2022","CPV","558.1395"
"2023","CPV",
"1990","CPV",
"1991","CPV",
"1992","CPV",
"1993","CPV",
"1994","CPV",
"1995","CPV",
"1996","CPV",
"1997","CPV",
"1998","CPV",
"1999","CPV",
"2000","CYM","659.0909"
"2001","CYM","659.57446"
"2002","CYM","666.6667"
"2003","CYM","666.6667"
"2004","CYM","666.6667"
"2005","CYM","666.6667"
"2006","CYM","660.7143"
"2007","CYM","650"
"2008","CYM","661.29034"
"2009","CYM","650.79364"
"2010","CYM","661.29034"
"2011","CYM","650.79364"
"2012","CYM","655.7377"
"2013","CYM","661.29034"
"2014","CYM","661.29034"
"2015","CYM","656.24994"
"2016","CYM","656.7164"
"2017","CYM","647.0588"
"2018","CYM","641.7911"
"2019","CYM","638.8889"
"2020","CYM","637.68115"
"2021","CYM","642.8571"
"2022","CYM","642.8571"
"2023","CYM",
"1990","CYM",
"1991","CYM",
"1992","CYM",
"1993","CYM",
"1994","CYM",
"1995","CYM",
"1996","CYM",
"1997","CYM",
"1998","CYM",
"1999","CYM",
"2000","CAF","100"
"2001","CAF","181.81818"
"2002","CAF","181.81818"
"2003","CAF","181.81818"
"2004","CAF","133.33333"
"2005","CAF","125"
"2006","CAF","117.64706"
"2007","CAF","62.5"
"2008","CAF","62.5"
"2009","CAF","62.5"
"2010","CAF","125"
"2011","CAF","111.111115"
"2012","CAF","111.111115"
"2013","CAF","0"
"2014","CAF","0"
"2015","CAF","0"
"2016","CAF","0"
"2017","CAF","0"
"2018","CAF","0"
"2019","CAF","0"
"2020","CAF","0"
"2021","CAF","0"
"2022","CAF","0"
"2023","CAF",
"1990","CAF",
"1991","CAF",
"1992","CAF",
"1993","CAF",
"1994","CAF",
"1995","CAF",
"1996","CAF",
"1997","CAF",
"1998","CAF",
"1999","CAF",
"2000","TCD","666.6666"
"2001","TCD","700"
"2002","TCD","700"
"2003","TCD","636.36365"
"2004","TCD","666.6667"
"2005","TCD","666.6667"
"2006","TCD","666.6667"
"2007","TCD","666.6667"
"2008","TCD","642.8572"
"2009","TCD","647.0588"
"2010","TCD","684.2105"
"2011","TCD","650"
"2012","TCD","625.00006"
"2013","TCD","642.8572"
"2014","TCD","633.3333"
"2015","TCD","633.3333"
"2016","TCD","612.9032"
"2017","TCD","625"
"2018","TCD","625"
"2019","TCD","606.0606"
"2020","TCD","628.5714"
"2021","TCD","628.5714"
"2022","TCD","628.5714"
"2023","TCD",
"1990","TCD",
"1991","TCD",
"1992","TCD",
"1993","TCD",
"1994","TCD",
"1995","TCD",
"1996","TCD",
"1997","TCD",
"1998","TCD",
"1999","TCD",
"2000","CHL","380.4627"
"2001","CHL","327.6711"
"2002","CHL","323.34198"
"2003","CHL","343.37616"
"2004","CHL","388.6149"
"2005","CHL","349.46664"
"2006","CHL","349.82266"
"2007","CHL","450.51804"
"2008","CHL","442.61133"
"2009","CHL","433.05698"
"2010","CHL","468.9324"
"2011","CHL","498.2269"
"2012","CHL","525.0912"
"2013","CHL","549.9487"
"2014","CHL","498.78485"
"2015","CHL","483.62372"
"2016","CHL","524.26385"
"2017","CHL","474.93936"
"2018","CHL","452.4368"
"2019","CHL","453.6762"
"2020","CHL","436.3987"
"2021","CHL","442.39972"
"2022","CHL","353.52075"
"2023","CHL","291.1135"
"1990","CHL",
"1991","CHL",
"1992","CHL",
"1993","CHL",
"1994","CHL",
"1995","CHL",
"1996","CHL",
"1997","CHL",
"1998","CHL",
"1999","CHL",
"2000","CHN","783.31366"
"2001","CHN","762.73474"
"2002","CHN","773.1633"
"2003","CHN","790.7861"
"2004","CHN","778.35614"
"2005","CHN","781.9307"
"2006","CHN","786.51086"
"2007","CHN","785.12524"
"2008","CHN","746.9477"
"2009","CHN","753.02856"
"2010","CHN","740.6397"
"2011","CHN","752.2311"
"2012","CHN","720.1506"
"2013","CHN","717.38873"
"2014","CHN","693.72754"
"2015","CHN","667.7146"
"2016","CHN","651.6657"
"2017","CHN","644.1666"
"2018","CHN","636.8756"
"2019","CHN","619.61664"
"2020","CHN","606.25757"
"2021","CHN","598.85565"
"2022","CHN","585.82074"
"2023","CHN","582.31696"
"1990","CHN",
"1991","CHN",
"1992","CHN",
"1993","CHN",
"1994","CHN",
"1995","CHN",
"1996","CHN",
"1997","CHN",
"1998","CHN",
"1999","CHN",
"2000","COL","189.20815"
"2001","COL","197.72833"
"2002","COL","183.40416"
"2003","COL","172.07791"
"2004","COL","148.38841"
"2005","COL","159.99199"
"2006","COL","158.98012"
"2007","COL","155.13779"
"2008","COL","137.52704"
"2009","COL","211.62997"
"2010","COL","229.45375"
"2011","COL","151.37762"
"2012","COL","179.03584"
"2013","COL","236.02231"
"2014","COL","236.73007"
"2015","COL","275.3623"
"2016","COL","259.55103"
"2017","COL","166.17815"
"2018","COL","187.44406"
"2019","COL","240.92409"
"2020","COL","273.20514"
"2021","COL","196.28049"
"2022","COL","214.88087"
"2023","COL","259.51117"
"1990","COL",
"1991","COL",
"1992","COL",
"1993","COL",
"1994","COL",
"1995","COL",
"1996","COL",
"1997","COL",
"1998","COL",
"1999","COL",
"2000","COM","666.6667"
"2001","COM","666.6667"
"2002","COM","666.6667"
"2003","COM","750"
"2004","COM","750"
"2005","COM","600"
"2006","COM","600"
"2007","COM","600"
"2008","COM","750"
"2009","COM","600"
"2010","COM","666.6667"
"2011","COM","666.6667"
"2012","COM","666.6667"
"2013","COM","666.6667"
"2014","COM","600"
"2015","COM","600"
"2016","COM","666.6667"
"2017","COM","666.6666"
"2018","COM","700"
"2019","COM","636.36365"
"2020","COM","692.3078"
"2021","COM","692.3078"
"2022","COM","642.8572"
"2023","COM",
"1990","COM",
"1991","COM",
"1992","COM",
"1993","COM",
"1994","COM",
"1995","COM",
"1996","COM",
"1997","COM",
"1998","COM",
"1999","COM",
"2000","COG","34.482758"
"2001","COG","30.30303"
"2002","COG","25.641026"
"2003","COG","150"
"2004","COG","175"
"2005","COG","186.04651"
"2006","COG","177.77777"
"2007","COG","175"
"2008","COG","195.65219"
"2009","COG","351.85184"
"2010","COG","423.07693"
"2011","COG","375"
"2012","COG","396.4497"
"2013","COG","411.76468"
"2014","COG","427.74567"
"2015","COG","543.4783"
"2016","COG","561.2245"
"2017","COG","545.7627"
"2018","COG","592.23303"
"2019","COG","693.9891"
"2020","COG","691.90607"
"2021","COG","697.20105"
"2022","COG","700"
"2023","COG",
"1990","COG",
"1991","COG",
"1992","COG",
"1993","COG",
"1994","COG",
"1995","COG",
"1996","COG",
"1997","COG",
"1998","COG",
"1999","COG",
"2000","COK","666.6667"
"2001","COK","666.6667"
"2002","COK","666.6667"
"2003","COK","666.6667"
"2004","COK","666.6667"
"2005","COK","666.6667"
"2006","COK","666.6667"
"2007","COK","666.6667"
"2008","COK","666.6667"
"2009","COK","666.6667"
"2010","COK","666.6667"
"2011","COK","666.6667"
"2012","COK","666.6667"
"2013","COK","666.6667"
"2014","COK","666.6667"
"2015","COK","666.6667"
"2016","COK","666.6667"
"2017","COK","500"
"2018","COK","400"
"2019","COK","500"
"2020","COK","500"
"2021","COK","250"
"2022","COK","250"
"2023","COK",
"1990","COK",
"1991","COK",
"1992","COK",
"1993","COK",
"1994","COK",
"1995","COK",
"1996","COK",
"1997","COK",
"1998","COK",
"1999","COK",
"2000","CRI","30.612242"
"2001","CRI","34.782608"
"2002","CRI","36.38814"
"2003","CRI","39.726025"
"2004","CRI","31.32832"
"2005","CRI","47.61905"
"2006","CRI","67.28538"
"2007","CRI","77.951004"
"2008","CRI","72.34043"
"2009","CRI","58.441566"
"2010","CRI","69.40063"
"2011","CRI","84.10257"
"2012","CRI","80.11869"
"2013","CRI","103.042206"
"2014","CRI","93.41199"
"2015","CRI","33.426186"
"2016","CRI","38.674034"
"2017","CRI","28.368793"
"2018","CRI","34.965034"
"2019","CRI","31.496063"
"2020","CRI","27.280478"
"2021","CRI","26.128267"
"2022","CRI","26.463512"
"2023","CRI","53.377815"
"1990","CRI",
"1991","CRI",
"1992","CRI",
"1993","CRI",
"1994","CRI",
"1995","CRI",
"1996","CRI",
"1997","CRI",
"1998","CRI",
"1999","CRI",
"2000","CIV","364.5833"
"2001","CIV","362.7049"
"2002","CIV","385.63327"
"2003","CIV","368.11023"
"2004","CIV","383.63632"
"2005","CIV","416.2257"
"2006","CIV","409.57443"
"2007","CIV","380.78296"
"2008","CIV","378.23834"
"2009","CIV","362.39313"
"2010","CIV","413.4454"
"2011","CIV","399.67108"
"2012","CIV","425.7143"
"2013","CIV","446.92004"
"2014","CIV","440.14508"
"2015","CIV","475.86203"
"2016","CIV","475.07336"
"2017","CIV","446.64035"
"2018","CIV","399.40244"
"2019","CIV","382.7392"
"2020","CIV","396.09235"
"2021","CIV","431.71802"
"2022","CIV","393.8849"
"2023","CIV",
"1990","CIV",
"1991","CIV",
"1992","CIV",
"1993","CIV",
"1994","CIV",
"1995","CIV",
"1996","CIV",
"1997","CIV",
"1998","CIV",
"1999","CIV",
"2000","HRV","302.40857"
"2001","HRV","306.6667"
"2002","HRV","370.37036"
"2003","HRV","414.13376"
"2004","HRV","315.06848"
"2005","HRV","336.39844"
"2006","HRV","347.01782"
"2007","HRV","420.25516"
"2008","HRV","382.62915"
"2009","HRV","301.87265"
"2010","HRV","268.42462"
"2011","HRV","374.88873"
"2012","HRV","351.93948"
"2013","HRV","256.09756"
"2014","HRV","226.35887"
"2015","HRV","274.91104"
"2016","HRV","275.39682"
"2017","HRV","255.73491"
"2018","HRV","201.18344"
"2019","HRV","242.68774"
"2020","HRV","226.75739"
"2021","HRV","210.45667"
"2022","HRV","242.27528"
"2023","HRV","204.96161"
"1990","HRV","360.95346"
"1991","HRV","242.42424"
"1992","HRV","332.5843"
"1993","HRV","323.89935"
"1994","HRV","217.3913"
"1995","HRV","252.1645"
"1996","HRV","186.71452"
"1997","HRV","283.05582"
"1998","HRV","310.31467"
"1999","HRV","288.58026"
"2000","CUB","630.7385"
"2001","CUB","632.0262"
"2002","CUB","630.9751"
"2003","CUB","637.5711"
"2004","CUB","637.468"
"2005","CUB","648.8599"
"2006","CUB","650.27325"
"2007","CUB","650.1987"
"2008","CUB","645.9276"
"2009","CUB","645.79816"
"2010","CUB","648.8505"
"2011","CUB","648.45074"
"2012","CUB","645.68634"
"2013","CUB","639.4805"
"2014","CUB","643.335"
"2015","CUB","643.9432"
"2016","CUB","643.3091"
"2017","CUB","645.6004"
"2018","CUB","645.8733"
"2019","CUB","640.4441"
"2020","CUB","638.32025"
"2021","CUB","637.3811"
"2022","CUB","637.6096"
"2023","CUB",
"1990","CUB",
"1991","CUB",
"1992","CUB",
"1993","CUB",
"1994","CUB",
"1995","CUB",
"1996","CUB",
"1997","CUB",
"1998","CUB",
"1999","CUB",
"2000","CYP","658.7537"
"2001","CYP","659.1549"
"2002","CYP","656.99207"
"2003","CYP","656.7901"
"2004","CYP","657.1429"
"2005","CYP","657.53424"
"2006","CYP","658.0645"
"2007","CYP","657.08417"
"2008","CYP","656.80475"
"2009","CYP","656.43"
"2010","CYP","649.15576"
"2011","CYP","638.2114"
"2012","CYP","622.88135"
"2013","CYP","610.7226"
"2014","CYP","612.9032"
"2015","CYP","603.5243"
"2016","CYP","603.272"
"2017","CYP","606"
"2018","CYP","598.8143"
"2019","CYP","596.11646"
"2020","CYP","581.4433"
"2021","CYP","564.4531"
"2022","CYP","555.13306"
"2023","CYP","534.3229"
"1990","CYP","659.89844"
"1991","CYP","658.65393"
"1992","CYP","658.43616"
"1993","CYP","656.3707"
"1994","CYP","656.7164"
"1995","CYP","660"
"1996","CYP","659.0039"
"1997","CYP","659.34064"
"1998","CYP","658.86285"
"1999","CYP","659.23566"
"2000","CZE","767.0781"
"2001","CZE","751.81885"
"2002","CZE","699.3421"
"2003","CZE","651.8904"
"2004","CZE","640.1718"
"2005","CZE","646.64954"
"2006","CZE","634.1142"
"2007","CZE","652.273"
"2008","CZE","627.5216"
"2009","CZE","603.13574"
"2010","CZE","593.64"
"2011","CZE","583.5642"
"2012","CZE","552.7835"
"2013","CZE","527.5288"
"2014","CZE","530.83075"
"2015","CZE","553.15796"
"2016","CZE","573.90247"
"2017","CZE","542.3274"
"2018","CZE","532.5887"
"2019","CZE","503.4998"
"2020","CZE","460.1748"
"2021","CZE","471.7906"
"2022","CZE","488.29712"
"2023","CZE","449.72433"
"1990","CZE","777.74207"
"1991","CZE","779.1045"
"1992","CZE","766.9772"
"1993","CZE","758.4797"
"1994","CZE","746.9177"
"1995","CZE","756.025"
"1996","CZE","749.33417"
"1997","CZE","757.67017"
"1998","CZE","749.3035"
"1999","CZE","736.9488"
"2000","COD","23.569023"
"2001","COD","25.33784"
"2002","COD","24.752478"
"2003","COD","24.54992"
"2004","COD","25.64103"
"2005","COD","24.55662"
"2006","COD","27.999998"
"2007","COD","30.651339"
"2008","COD","31.957388"
"2009","COD","30.729834"
"2010","COD","30.651339"
"2011","COD","30.690535"
"2012","COD","28.68318"
"2013","COD","27.644232"
"2014","COD","28.089888"
"2015","COD","28.856825"
"2016","COD","28.291622"
"2017","COD","28.183716"
"2018","COD","29.878618"
"2019","COD","28.293545"
"2020","COD","25.083612"
"2021","COD","24.456524"
"2022","COD","24.456524"
"2023","COD",
"1990","COD",
"1991","COD",
"1992","COD",
"1993","COD",
"1994","COD",
"1995","COD",
"1996","COD",
"1997","COD",
"1998","COD",
"1999","COD",
"2000","DNK","627.894"
"2001","DNK","630.7938"
"2002","DNK","618.6701"
"2003","DNK","651.51184"
"2004","DNK","581.2624"
"2005","DNK","552.66077"
"2006","DNK","635.3433"
"2007","DNK","597.0874"
"2008","DNK","577.3026"
"2009","DNK","582.89655"
"2010","DNK","540.3871"
"2011","DNK","486.4711"
"2012","DNK","431.14166"
"2013","DNK","472.40683"
"2014","DNK","400.74902"
"2015","DNK","313.75955"
"2016","DNK","360.85526"
"2017","DNK","282.8479"
"2018","DNK","296.92157"
"2019","DNK","204.29008"
"2020","DNK","188.94333"
"2021","DNK","222.96477"
"2022","DNK","201.77702"
"2023","DNK","151.6503"
"1990","DNK","889.74554"
"1991","DNK","894.9245"
"1992","DNK","872.2222"
"1993","DNK","863.82477"
"1994","DNK","850.91626"
"1995","DNK","813.0125"
"1996","DNK","817.1599"
"1997","DNK","761.2143"
"1998","DNK","709.18866"
"1999","DNK","673.2955"
"2000","DJI","666.6666"
"2001","DJI","684.2105"
"2002","DJI","650"
"2003","DJI","650"
"2004","DJI","636.36365"
"2005","DJI","666.6666"
"2006","DJI","645.16125"
"2007","DJI","656.24994"
"2008","DJI","647.0588"
"2009","DJI","657.1429"
"2010","DJI","657.8947"
"2011","DJI","666.6666"
"2012","DJI","666.6666"
"2013","DJI","651.1628"
"2014","DJI","700"
"2015","DJI","666.6666"
"2016","DJI","666.6666"
"2017","DJI","666.6667"
"2018","DJI","600"
"2019","DJI","666.6666"
"2020","DJI","692.3078"
"2021","DJI","692.3078"
"2022","DJI","692.3078"
"2023","DJI",
"1990","DJI",
"1991","DJI",
"1992","DJI",
"1993","DJI",
"1994","DJI",
"1995","DJI",
"1996","DJI",
"1997","DJI",
"1998","DJI",
"1999","DJI",
"2000","DMA","375"
"2001","DMA","375"
"2002","DMA","428.5714"
"2003","DMA","375"
"2004","DMA","454.54544"
"2005","DMA","499.99997"
"2006","DMA","499.99997"
"2007","DMA","583.3333"
"2008","DMA","538.4616"
"2009","DMA","538.4616"
"2010","DMA","571.4286"
"2011","DMA","466.6667"
"2012","DMA","533.3333"
"2013","DMA","466.6667"
"2014","DMA","533.3333"
"2015","DMA","600.00006"
"2016","DMA","500"
"2017","DMA","538.4616"
"2018","DMA","545.4545"
"2019","DMA","571.4286"
"2020","DMA","500"
"2021","DMA","500"
"2022","DMA","529.4118"
"2023","DMA",
"1990","DMA",
"1991","DMA",
"1992","DMA",
"1993","DMA",
"1994","DMA",
"1995","DMA",
"1996","DMA",
"1997","DMA",
"1998","DMA",
"1999","DMA",
"2000","DOM","615.6803"
"2001","DOM","619.9377"
"2002","DOM","621.5828"
"2003","DOM","612.12976"
"2004","DOM","584.02655"
"2005","DOM","574.9625"
"2006","DOM","588.2353"
"2007","DOM","588.19495"
"2008","DOM","601.6427"
"2009","DOM","593.4545"
"2010","DOM","587.9567"
"2011","DOM","590.1015"
"2012","DOM","582.24854"
"2013","DOM","571.6705"
"2014","DOM","593.75006"
"2015","DOM","606.11115"
"2016","DOM","589.9893"
"2017","DOM","550.5208"
"2018","DOM","561.9959"
"2019","DOM","578.5124"
"2020","DOM","536.3096"
"2021","DOM","578.8452"
"2022","DOM","580.7799"
"2023","DOM",
"1990","DOM",
"1991","DOM",
"1992","DOM",
"1993","DOM",
"1994","DOM",
"1995","DOM",
"1996","DOM",
"1997","DOM",
"1998","DOM",
"1999","DOM",
"2000","TLS",
"2001","TLS",
"2002","TLS",
"2003","TLS","666.6667"
"2004","TLS","714.2857"
"2005","TLS","714.2857"
"2006","TLS","714.2857"
"2007","TLS","666.6666"
"2008","TLS","636.36365"
"2009","TLS","692.3078"
"2010","TLS","642.8572"
"2011","TLS","642.8572"
"2012","TLS","692.3078"
"2013","TLS","655.17236"
"2014","TLS","657.1429"
"2015","TLS","657.1429"
"2016","TLS","658.5366"
"2017","TLS","651.1628"
"2018","TLS","666.6667"
"2019","TLS","653.8462"
"2020","TLS","660"
"2021","TLS","666.6667"
"2022","TLS","666.6667"
"2023","TLS",
"1990","TLS",
"1991","TLS",
"1992","TLS",
"1993","TLS",
"1994","TLS",
"1995","TLS",
"1996","TLS",
"1997","TLS",
"1998","TLS",
"1999","TLS",
"2000","ECU","204.17854"
"2001","ECU","254.09836"
"2002","ECU","262.48938"
"2003","ECU","274.39026"
"2004","ECU","303.90625"
"2005","ECU","327.53165"
"2006","ECU","352.2727"
"2007","ECU","340.28983"
"2008","ECU","283.93726"
"2009","ECU","349.66962"
"2010","ECU","389.80432"
"2011","ECU","325.50174"
"2012","ECU","329.96042"
"2013","ECU","368.7392"
"2014","ECU","369.1608"
"2015","ECU","345.72205"
"2016","ECU","288.6598"
"2017","ECU","201.2217"
"2018","ECU","206.61157"
"2019","ECU","169.29742"
"2020","ECU","159.47585"
"2021","ECU","149.12828"
"2022","ECU","150.68912"
"2023","ECU","150.22354"
"1990","ECU",
"1991","ECU",
"1992","ECU",
"1993","ECU",
"1994","ECU",
"1995","ECU",
"1996","ECU",
"1997","ECU",
"1998","ECU",
"1999","ECU",
"2000","EGY","525.64105"
"2001","EGY","533.7629"
"2002","EGY","542.9665"
"2003","EGY","556.0256"
"2004","EGY","559.89825"
"2005","EGY","566.9906"
"2006","EGY","570.2131"
"2007","EGY","567.57886"
"2008","EGY","567.3913"
"2009","EGY","576.45044"
"2010","EGY","582.70447"
"2011","EGY","583.1773"
"2012","EGY","587.8777"
"2013","EGY","589.1689"
"2014","EGY","591.8594"
"2015","EGY","592.25653"
"2016","EGY","592.96454"
"2017","EGY","594.6897"
"2018","EGY","592.40686"
"2019","EGY","579.42755"
"2020","EGY","566.4653"
"2021","EGY","570.3792"
"2022","EGY","570.12695"
"2023","EGY","570.30554"
"1990","EGY",
"1991","EGY",
"1992","EGY",
"1993","EGY",
"1994","EGY",
"1995","EGY",
"1996","EGY",
"1997","EGY",
"1998","EGY",
"1999","EGY",
"2000","SLV","285.71426"
"2001","SLV","297.7099"
"2002","SLV","314.76993"
"2003","SLV","283.44672"
"2004","SLV","303.57144"
"2005","SLV","284.8233"
"2006","SLV","293.80533"
"2007","SLV","308.6207"
"2008","SLV","271.81207"
"2009","SLV","313.14877"
"2010","SLV","259.63147"
"2011","SLV","273.0263"
"2012","SLV","290.5297"
"2013","SLV","291.40128"
"2014","SLV","289.80893"
"2015","SLV","307.5658"
"2016","SLV","308.19675"
"2017","SLV","211.46953"
"2018","SLV","195.57193"
"2019","SLV","239.73726"
"2020","SLV","153.23856"
"2021","SLV","155.9055"
"2022","SLV","116.53543"
"2023","SLV","271.46817"
"1990","SLV",
"1991","SLV",
"1992","SLV",
"1993","SLV",
"1994","SLV",
"1995","SLV",
"1996","SLV",
"1997","SLV",
"1998","SLV",
"1999","SLV",
"2000","GNQ","800"
"2001","GNQ","666.6667"
"2002","GNQ","714.2857"
"2003","GNQ","714.2857"
"2004","GNQ","777.7778"
"2005","GNQ","800"
"2006","GNQ","818.1819"
"2007","GNQ","846.1539"
"2008","GNQ","650"
"2009","GNQ","681.81824"
"2010","GNQ","772.7273"
"2011","GNQ","800"
"2012","GNQ","740.7407"
"2013","GNQ","623.52936"
"2014","GNQ","577.9816"
"2015","GNQ","569.2308"
"2016","GNQ","585.7143"
"2017","GNQ","597.0149"
"2018","GNQ","592.5926"
"2019","GNQ","599.99994"
"2020","GNQ","574.4681"
"2021","GNQ","594.4056"
"2022","GNQ","591.83673"
"2023","GNQ",
"1990","GNQ",
"1991","GNQ",
"1992","GNQ",
"1993","GNQ",
"1994","GNQ",
"1995","GNQ",
"1996","GNQ",
"1997","GNQ",
"1998","GNQ",
"1999","GNQ",
"2000","ERI","666.6667"
"2001","ERI","652.17395"
"2002","ERI","653.8462"
"2003","ERI","642.8572"
"2004","ERI","642.8572"
"2005","ERI","655.17236"
"2006","ERI","666.66675"
"2007","ERI","655.17236"
"2008","ERI","642.8572"
"2009","ERI","655.17236"
"2010","ERI","645.16125"
"2011","ERI","656.24994"
"2012","ERI","656.24994"
"2013","ERI","666.66675"
"2014","ERI","666.66675"
"2015","ERI","653.8462"
"2016","ERI","666.66675"
"2017","ERI","647.0588"
"2018","ERI","628.5714"
"2019","ERI","638.8889"
"2020","ERI","648.6486"
"2021","ERI","631.5789"
"2022","ERI","631.5789"
"2023","ERI",
"1990","ERI",
"1991","ERI",
"1992","ERI",
"1993","ERI",
"1994","ERI",
"1995","ERI",
"1996","ERI",
"1997","ERI",
"1998","ERI",
"1999","ERI",
"2000","EST","634.5476"
"2001","EST","633.6867"
"2002","EST","634.2321"
"2003","EST","638.7795"
"2004","EST","639.18524"
"2005","EST","634.3137"
"2006","EST","632.0658"
"2007","EST","642.03613"
"2008","EST","633.2703"
"2009","EST","621.868"
"2010","EST","609.8689"
"2011","EST","604.3444"
"2012","EST","592.8093"
"2013","EST","606.17474"
"2014","EST","595.98395"
"2015","EST","573.39905"
"2016","EST","588.3319"
"2017","EST","582.8268"
"2018","EST","573.9693"
"2019","EST","509.85544"
"2020","EST","404.60526"
"2021","EST","450.62585"
"2022","EST","489.8877"
"2023","EST","416.6667"
"1990","EST","639.69727"
"1991","EST","636.36365"
"1992","EST","650.0423"
"1993","EST","653.5088"
"1994","EST","650.2732"
"1995","EST","647.87115"
"1996","EST","647.9648"
"1997","EST","648.58997"
"1998","EST","646.7836"
"1999","EST","648.12573"
"2000","SWZ","166.66666"
"2001","SWZ","171.42856"
"2002","SWZ","194.44444"
"2003","SWZ","218.75"
"2004","SWZ","224.13792"
"2005","SWZ","193.54839"
"2006","SWZ","188.40579"
"2007","SWZ","183.09859"
"2008","SWZ","188.40579"
"2009","SWZ","181.81818"
"2010","SWZ","175.67567"
"2011","SWZ","155.17242"
"2012","SWZ","173.07695"
"2013","SWZ","150.00002"
"2014","SWZ","166.66667"
"2015","SWZ","184.21053"
"2016","SWZ","222.22223"
"2017","SWZ","139.53488"
"2018","SWZ","142.85715"
"2019","SWZ","204.08163"
"2020","SWZ","188.67926"
"2021","SWZ","175.4386"
"2022","SWZ","172.41379"
"2023","SWZ",
"1990","SWZ",
"1991","SWZ",
"1992","SWZ",
"1993","SWZ",
"1994","SWZ",
"1995","SWZ",
"1996","SWZ",
"1997","SWZ",
"1998","SWZ",
"1999","SWZ",
"2000","ETH","35.502956"
"2001","ETH","34.313725"
"2002","ETH","33.980583"
"2003","ETH","30.042921"
"2004","ETH","31.128407"
"2005","ETH","31.250002"
"2006","ETH","30.211481"
"2007","ETH","34.98542"
"2008","ETH","30.030031"
"2009","ETH","35.911602"
"2010","ETH","31.936125"
"2011","ETH","29.96845"
"2012","ETH","25.099073"
"2013","ETH","25.374855"
"2014","ETH","23.231256"
"2015","ETH","24.061596"
"2016","ETH","24.05774"
"2017","ETH","23.628048"
"2018","ETH","23.367697"
"2019","ETH","24.55209"
"2020","ETH","24.005053"
"2021","ETH","24.453024"
"2022","ETH","24.643318"
"2023","ETH",
"1990","ETH",
"1991","ETH",
"1992","ETH",
"1993","ETH",
"1994","ETH",
"1995","ETH",
"1996","ETH",
"1997","ETH",
"1998","ETH",
"1999","ETH",
"2000","FLK","1000"
"2001","FLK","1000"
"2002","FLK","1000"
"2003","FLK","1000"
"2004","FLK","1000"
"2005","FLK","1000"
"2006","FLK","500"
"2007","FLK","500"
"2008","FLK","1000"
"2009","FLK","1000"
"2010","FLK","1000"
"2011","FLK","500"
"2012","FLK","500"
"2013","FLK","500"
"2014","FLK","500"
"2015","FLK","500"
"2016","FLK","500"
"2017","FLK","500"
"2018","FLK","500"
"2019","FLK","500"
"2020","FLK","500"
"2021","FLK","500"
"2022","FLK","500"
"2023","FLK",
"1990","FLK",
"1991","FLK",
"1992","FLK",
"1993","FLK",
"1994","FLK",
"1995","FLK",
"1996","FLK",
"1997","FLK",
"1998","FLK",
"1999","FLK",
"2000","FRO","409.09094"
"2001","FRO","458.3333"
"2002","FRO","375.00003"
"2003","FRO","458.3333"
"2004","FRO","400"
"2005","FRO","360.00003"
"2006","FRO","360.00003"
"2007","FRO","370.37036"
"2008","FRO","407.4074"
"2009","FRO","407.4074"
"2010","FRO","464.2857"
"2011","FRO","407.4074"
"2012","FRO","413.7931"
"2013","FRO","413.7931"
"2014","FRO","322.58063"
"2015","FRO","281.25003"
"2016","FRO","354.8387"
"2017","FRO","333.3333"
"2018","FRO","342.85712"
"2019","FRO","394.73688"
"2020","FRO","390.2439"
"2021","FRO","404.76193"
"2022","FRO","404.76193"
"2023","FRO",
"1990","FRO",
"1991","FRO",
"1992","FRO",
"1993","FRO",
"1994","FRO",
"1995","FRO",
"1996","FRO",
