"anio","iso3","valor_en_gco2_por_kwh"
"2019","ARG","397.6206"
"2020","ARG","394.7041"
"2021","ARG","406.98663"
"2022","ARG","394.61646"
"2023","ARG","354.10287"
"1990","ARG",
"1991","ARG",
"1992","ARG",
"1993","ARG",
"1994","ARG",
"1995","ARG",
"1996","ARG",
"1997","ARG",
"1998","ARG",
"1999","ARG",
"2000","ARM","280.2768"
"2001","ARM","290.94077"
"2002","ARM","184.55745"
"2003","ARM","179.24527"
"2004","ARM","172.71156"
"2005","ARM","184.21053"
"2006","ARM","161.12083"
"2007","ARM","162.25749"
"2008","ARM","193.22034"
"2009","ARM","134.19118"
"2010","ARM","146.73045"
"2011","ARM","203.8835"
"2012","ARM","263.4271"
"2013","ARM","256.3418"
"2014","ARM","264.2762"
"2015","ARM","225.16556"
"2016","ARM","222.53523"
"2017","ARM","231.0757"
"2018","ARM","268.7747"
"2019","ARM","248.33112"
"2020","ARM","251.3089"
"2021","ARM","265.54404"
"2022","ARM","264.53815"
"2023","ARM",
"1990","ARM",
"1991","ARM",
"1992","ARM",
"1993","ARM",
"1994","ARM",
"1995","ARM",
"1996","ARM",
"1997","ARM",
"1998","ARM",
"1999","ARM",
"2000","ABW","653.8461"
"2001","ABW","654.3209"
"2002","ABW","658.5366"
"2003","ABW","654.7619"
"2004","ABW","655.1724"
"2005","ABW","659.3407"
"2006","ABW","659.3407"
"2007","ABW","659.57446"
"2008","ABW","659.3407"
"2009","ABW","642.1053"
"2010","ABW","585.1064"
"2011","ABW","580.6452"
"2012","ABW","554.3478"
"2013","ABW","553.19147"
"2014","ABW","542.55316"
"2015","ABW","536.08246"
"2016","ABW","563.8297"
"2017","ABW","567.0103"
"2018","ABW","552.0833"
"2019","ABW","556.70105"
"2020","ABW","556.70105"
"2021","ABW","561.2245"
"2022","ABW","561.2245"
"2023","ABW",
"1990","ABW",
"1991","ABW",
"1992","ABW",
"1993","ABW",
"1994","ABW",
"1995","ABW",
"1996","ABW",
"1997","ABW",
"1998","ABW",
"1999","ABW",
"2000","AUS","805.977"
"2001","AUS","803.1303"
"2002","AUS","794.66644"
"2003","AUS","792.1665"
"2004","AUS","792.8281"
