"anio","sector","subsector","valor_en_mtco2e"
"2018","AGSyOUT","Emisiones de la quema de biomasa","5.21"
"2018","AGSyOUT","Emisiones directas e indirectas de N2O y otros","21.46"
"2018","AGSyOUT","Ganado","80.61"
"2018","AGSyOUT","Tierras","37.31"
"2019","AGSyOUT","Emisiones de la quema de biomasa","3.15"
"2019","AGSyOUT","Emisiones directas e indirectas de N2O y otros","22.93"
"2019","AGSyOUT","Ganado","80.59"
"2019","AGSyOUT","Tierras","7.79"
"2020","AGSyOUT","Emisiones de la quema de biomasa","6.01"
"2020","AGSyOUT","Emisiones directas e indirectas de N2O y otros","23.82"
"2020","AGSyOUT","Ganado","79.8"
"2020","AGSyOUT","Tierras","67.88"
"2021","AGSyOUT","Emisiones de la quema de biomasa","4.14"
"2021","AGSyOUT","Emisiones directas e indirectas de N2O y otros","24.95"
"2021","AGSyOUT","Ganado","79.44"
"2021","AGSyOUT","Tierras","51.81"
"2022","AGSyOUT","Emisiones de la quema de biomasa","4.43"
"2022","AGSyOUT","Emisiones directas e indirectas de N2O y otros","23.39"
"2022","AGSyOUT","Ganado","78.75"
"2022","AGSyOUT","Tierras","47.03"
